index,filename,mode,source,mu_source,nmse_orig_csv,nmse_refined_csv,nmse_recomputed,sqerr_mu,sqerr_D_mu,sqerr_T0_mu,sqerr_Ly,sqerr_op_x,sqerr_op_y,pct_mu,pct_D_mu,pct_T0_mu,pct_Ly,pct_op_x,pct_op_y
0,random_IR_0001.npz,full_or_composite,refined_composite_vs_gt_composite,,5.279047923113251e-06,2.6323776845758413e-14,2.6323776845758413e-14,1.1002477136125326e-13,1.871594717468805e-16,8.538580530887575e-15,1.4144732929594437e-15,3.773778211581153e-14,3.9894301891801445e-17,69.66121161484071,0.11849836546602148,5.406126801204952,0.8955612646616093,23.893343229160184,0.02525872466652372
1,random_IR_0002.npz,full_or_composite,refined_composite_vs_gt_composite,,0.028831404818650614,5.996162934471927e-14,5.996162934471926e-14,3.04490405286791e-13,2.5334029540302173e-16,3.9622200429162365e-14,1.9233417175835802e-16,9.315948996776685e-15,5.895546888424161e-15,84.63479300967523,0.07041733693463892,11.013209853859049,0.053460347297721936,2.5894195723121856,1.6386998799211732
2,random_IR_0003.npz,full_or_composite,refined_composite_vs_gt_composite,,0.0007338348699249534,1.812666606488863e-13,1.812666606488863e-13,1.0726266008730236e-12,8.173795654402158e-19,1.6462585594415294e-15,1.0495812226793917e-15,6.285968349615901e-16,1.1648109023646152e-14,98.62326558317513,7.515443109378332e-05,0.1513661837159651,0.09650434511988865,0.05779669509287046,1.0709920384650464
3,random_IR_0004.npz,full_or_composite,refined_composite_vs_gt_composite,,9.918104169259517e-06,1.0002469149534183e-14,1.0002469149534181e-14,1.4645139374297988e-14,7.460541748273423e-16,1.6676909845647512e-15,2.108961436953161e-16,3.01998946351518e-14,1.2545139584667894e-14,24.4025402717355,1.2431166806149498,2.7787988472866494,0.3514068052305825,50.32073278386171,20.903404611270616
4,random_IR_0005.npz,full_or_composite,refined_composite_vs_gt_composite,,0.006864353473782377,1.908470889534875e-14,1.9084708895348753e-14,1.2712197084741492e-16,2.0603896646899892e-17,1.7214523034669277e-15,3.581361166493971e-15,9.422098712256043e-14,1.4836726912076873e-14,0.11101555311854626,0.017993372564986995,1.5033434296417911,3.127600903016485,82.28314060156957,12.956906140088604
5,random_IR_0006.npz,full_or_composite,refined_composite_vs_gt_composite,,0.011995314204056149,1.5327595974925725e-14,1.5327595974925725e-14,2.4964870267409744e-15,1.0562561769746978e-16,2.3307472080634753e-14,7.205053468264713e-18,6.173017868047496e-14,4.3186073905379186e-15,2.7145885878265528,0.11485342936389785,25.343691773064343,0.007834511339385723,67.12313614113482,4.695895557271005
6,random_IR_0007.npz,full_or_composite,refined_composite_vs_gt_composite,,0.0012974546038858963,1.172271467757053e-15,1.172271467757053e-15,2.6418838273578563e-15,2.4893046722673244e-20,4.20908021654138e-20,1.7453737190815124e-15,5.015855054203595e-16,2.144718770833702e-15,37.560751356405284,0.00035391470615451045,0.000598422284187973,24.814697606135486,7.131247883792369,30.492350816676527
7,random_IR_0008.npz,full_or_composite,refined_composite_vs_gt_composite,,0.00037228689932775055,2.009034882382626e-14,2.009034882382626e-14,1.0015640860760984e-14,1.9592067622647023e-17,6.354985444270208e-17,2.377673882796424e-16,1.0920639415262562e-13,9.991486192259702e-16,8.308832720782892,0.016253299693343055,0.05272005229971815,0.19724843204121048,90.5960660599313,0.8288794352515376
8,random_IR_0009.npz,full_or_composite,refined_composite_vs_gt_composite,,3.544338579272436e-05,1.0427390298911136e-14,1.0427390298911136e-14,8.136944769936283e-16,2.083305593971382e-17,7.261457000632259e-16,1.5112278945911828e-19,6.062921551780008e-14,3.7430191988071046e-16,1.3005722647570428,0.033298609627328134,1.1606382793258323,0.00024154779723887235,96.9069821240111,0.5982671744814814
9,random_IR_0010.npz,full_or_composite,refined_composite_vs_gt_composite,,7.962602430807324e-06,3.313779520877867e-15,3.313779520877867e-15,2.534411108734956e-15,6.493471315979312e-18,3.4834439946986667e-15,5.703372099023862e-16,4.851923299441305e-15,8.43606804117391e-15,12.746830282297289,0.032658938608057526,17.51999478114471,2.8685131600190457,24.40276663385238,42.42923620407852
10,random_IR_0011.npz,full_or_composite,refined_composite_vs_gt_composite,,6.335389460951584e-06,2.3546363881574818e-14,2.3546363881574818e-14,2.002870387708686e-15,2.545253950738497e-16,9.832426241684052e-14,3.4388386222087966e-14,4.528602747866954e-15,1.779536119870922e-15,1.4176784702881062,0.1801590232459186,69.59621091346783,24.340903472430337,3.2054508646878697,1.259597255879934
11,random_IR_0012.npz,full_or_composite,refined_composite_vs_gt_composite,,0.03208028060103478,9.865739822051551e-15,9.865739822051551e-15,2.695391893143903e-15,7.000489125525849e-18,5.449157888472239e-14,1.1337227522561924e-16,1.5942373070301688e-15,2.9285808306170933e-16,4.553454584181747,0.011826261472857487,92.05523334216448,0.19152521296006197,2.693221417054445,0.49473918216642226
12,random_IR_0013.npz,full_or_composite,refined_composite_vs_gt_composite,,0.000953812636172814,1.7653133080683138e-14,1.765313308068314e-14,6.184575693936781e-14,4.582341207775232e-18,4.283666757000587e-15,2.488130707998036e-19,3.9708692742172e-14,7.585089127987005e-17,58.38978332883229,0.0043262775572960824,4.044293192811923,0.00023490926479604744,37.489749988179206,0.07161230335449588
13,random_IR_0014.npz,full_or_composite,refined_composite_vs_gt_composite,,0.00031261638520600575,6.027733612578312e-15,6.0277336125783106e-15,5.640399436295068e-16,3.2026542393139096e-17,9.034479586725344e-15,3.1521126087881627e-15,7.841176704607551e-15,1.5542566289326164e-14,1.559568874699722,0.08855330060347513,24.980310918940678,8.715582592575437,21.680831770239084,42.97515254294161
14,random_IR_0015.npz,full_or_composite,refined_composite_vs_gt_composite,,0.00020169353946623044,1.245070570247e-14,1.245070570247e-14,5.669879608884954e-16,1.7265118057226292e-20,7.193314618720313e-14,1.8503272750265443e-15,3.4063036405329726e-16,1.3125162530470827e-17,0.7589770069231431,2.3111297824938013e-05,96.29058773342311,2.4768706813936823,0.45597196415102564,0.017569502811216862
15,random_IR_0016.npz,full_or_composite,refined_composite_vs_gt_composite,,0.00033190074326776655,4.660932575929449e-13,4.660932575929449e-13,3.376357328883174e-14,9.219354133271619e-16,2.7306048583366478e-12,2.9231892133762886e-15,1.3928342855809956e-14,1.44176464496767e-14,1.2073253845949792,0.03296677214657041,97.6415775832204,0.10452805190648523,0.49805279054168916,0.5155494175898777
16,random_IR_0017.npz,full_or_composite,refined_composite_vs_gt_composite,,0.00015618580865579235,1.6923239449240139e-15,1.6923239449240139e-15,2.1789861914033612e-16,8.249999374457048e-17,1.3897613408668275e-16,2.7155351882468466e-15,2.6083839155038096e-15,4.3906498188218375e-15,2.145950639788411,0.812492135366305,1.3686912061914447,26.743650315806562,25.688382764299178,43.240832938548095
17,random_IR_0018.npz,full_or_composite,refined_composite_vs_gt_composite,,0.003097249012908308,3.51077287423486e-14,3.51077287423486e-14,1.2996535142372876e-13,3.485024058025426e-17,1.41408338529464e-17,8.764555718362738e-16,7.393685864949466e-14,5.818715734598707e-15,61.69835725609445,0.01654442949775911,0.006713067824620745,0.4160791195335154,35.09999141599673,2.7623147110529245
18,random_IR_0019.npz,full_or_composite,refined_composite_vs_gt_composite,,0.0012299977327581916,3.222251882444232e-14,3.222251882444232e-14,1.5785409047884155e-15,1.6259668366312646e-17,5.284939977693807e-15,1.9020939762983857e-16,1.6154013463222173e-13,2.472502836595381e-14,0.8164791592844157,0.008410095878858333,2.733564481456639,0.09838326558007193,83.55447294087483,12.788690056925187
19,random_IR_0020.npz,full_or_composite,refined_composite_vs_gt_composite,,0.004854348959880563,2.465236577222781e-15,2.4652365772227813e-15,8.561792064467585e-15,1.258362273618887e-16,6.728482274629588e-17,1.0333661743767947e-15,1.70414889577624e-15,3.2989912786078835e-15,57.883505269319116,0.8507380084365631,0.4548909109979198,6.986254273554928,11.521199165504656,22.303412372186816
20,random_IR_0021.npz,full_or_composite,refined_composite_vs_gt_composite,,0.001362239806531736,6.637585364770175e-15,6.637585364770175e-15,5.123980299264427e-15,2.185462092089121e-18,2.2551446902915668e-14,2.325528328744208e-15,9.383444410421864e-15,4.389267851827902e-16,12.866075080205627,0.005487593183330236,56.625629310447565,5.839292958066861,23.561390412206435,1.10212464589018
21,random_IR_0022.npz,full_or_composite,refined_composite_vs_gt_composite,,4.6644824521138366e-08,1.2111449132693374e-14,1.2111449132693372e-14,3.37120733481662e-18,7.240006566307316e-19,5.683421343461187e-14,1.5264600255123515e-15,4.044913523076388e-15,1.0259012604968173e-14,0.0046391466700661755,0.00099630337198376,78.21003747767182,2.100574435517464,5.566239402568874,14.117513234199789
22,random_IR_0023.npz,full_or_composite,refined_composite_vs_gt_composite,,0.002929963433261778,1.5683057760013844e-14,1.5683057760013844e-14,2.044805501479215e-14,3.659472668095175e-16,2.369862848992927e-14,9.89675538397827e-19,4.922308745098956e-14,3.6163866202416185e-16,21.730514682036194,0.3888987215900284,25.184957394333573,0.0010517459387725861,52.31025756606675,0.3843198900346785
23,random_IR_0024.npz,full_or_composite,refined_composite_vs_gt_composite,,0.0023896501422298595,6.566357008726544e-14,6.566357008726546e-14,1.9219629883903708e-13,4.169423665823452e-17,7.225305262690314e-14,9.060374657740006e-16,1.2498834525600535e-13,3.595992099214915e-15,48.78308692415302,0.01058279261058143,18.339203034214254,0.22996959211170329,31.724426266065684,0.9127313908447562
24,random_IR_0025.npz,full_or_composite,refined_composite_vs_gt_composite,,1.7798329633907714e-07,2.1194781388264702e-15,2.1194781388264702e-15,6.412753629192849e-18,4.526963059432011e-17,1.7486266000221648e-15,2.486181621713167e-16,1.0441709658173781e-14,2.2623202836804515e-16,0.05042714298171149,0.3559809508846469,13.750449288980468,1.9550265512447766,82.10912446554126,1.7789916003671475
25,random_IR_0026.npz,full_or_composite,refined_composite_vs_gt_composite,,8.7613126081995e-05,2.6195986280550923e-15,2.6195986280550923e-15,7.173716750517535e-15,9.072249305344613e-18,1.2021389624159163e-15,7.626936126569451e-16,5.6860888294041145e-15,8.838813640306978e-16,45.641322514635405,0.05772035206833867,7.64836611190088,4.852483916739076,36.17659062033308,5.6235164843232175
