filename,target_npz,runtime,best_loss,n_restarts_run,total_evaluations,cmaes_gen_count,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,1035.583468437195,0.6296595931053162,20,73163,1616,50,SC+LogMag,0.3883597552776337,0.009815164030632796,True,47.02159779432942,13.87575394624099,14.0666865205884,126859268890.7478,12157.26692393489,0.003867777033154926,2.7314035793645,661.4380758700229,0.7081651501513361,0.7273101770401655,131819184298.8524,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193
random_IR_0002.npz,random_IR_0002.npz,550.4342408180237,0.5302609801292419,20,22040,551,40,SC+LogMag,0.5499035120010376,0.006674166126459255,True,63.29987078441752,17.89461921279889,4.663710939823856,127507140567.5382,13640.23093725176,0.0046406744193417,3.686082372500274,295.2122998667245,0.7883382649386084,0.9635411557852193,147920922722.1944,17314.43071595409,0.0048546510420041,3.686141702268032,383.4476844105894,0.7883418349360268,0.9635423527634041
random_IR_0003.npz,random_IR_0003.npz,435.2754368782043,1.184691905975342,20,46546,1087,56,SC+LogMag,0.7011764049530029,0.04652853972750314,True,45.01256577443009,26.61488590386101,20.60697939321356,152439076045.5402,10104.05197453526,0.004454902437940049,2.611638874079174,927.573015349351,0.8684277365591722,0.9891410067266408,186057982895.3271,18083.25309630123,0.0013485171988061,1.306004568773872,20.22819525635132,0.9363059526409414,0.9895229876940544
random_IR_0004.npz,random_IR_0004.npz,661.3841352462769,0.8246121406555176,20,48902,1033,38,SC+LogMag,0.4773486852645874,0.01433980299279408,True,21.40253695292371,24.91700837666887,41.52956528702951,147964721222.3731,6229.885865298789,0.003435462128148833,3.388874405249731,888.8380556945068,0.7163901128282456,0.9594324676325183,164907916263.1111,4653.559206335945,0.0028459174490117,3.417559836228498,780.5313709946926,0.5802431108304328,0.972887769354296
random_IR_0005.npz,random_IR_0005.npz,803.6448328495026,0.3614026606082916,20,30060,501,60,SC+LogMag,0.3738212883472443,0.002650080899757894,True,58.23750187454155,5.059950278831487,5.880825648329541,132741530228.6864,19923.75416001779,0.00292301849374403,2.613431916934725,342.4845947184436,0.7885422997584655,0.5191950969396592,136791000829.1319,16985.59336136327,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814
random_IR_0006.npz,random_IR_0006.npz,773.9365935325623,0.3543464839458466,20,40218,865,48,SC+LogMag,0.3671861886978149,0.003350641892767192,True,84.2686300407607,8.974606726535828,8.917319748734046,133889657728.6524,21117.23160902145,0.003990515025878699,2.891047304171325,751.4503188612385,0.6861594500119877,0.7241300945560166,171318505762.8329,20172.46387607493,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774
random_IR_0007.npz,random_IR_0007.npz,1805.678743839264,0.6510122418403625,20,11194,193,58,SC+LogMag,0.3631578087806702,0.009681891540041726,True,23.15482624368216,0.7747677379601303,35.80336824542377,140883492540.4668,20540.28052233857,0.001127288705648404,3.766948652675393,829.0207706613548,0.5749777048402427,0.6238187682565864,99188531844.29764,15037.9919488214,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501
random_IR_0008.npz,random_IR_0008.npz,1006.877453804016,0.2850688099861145,20,43684,1076,35,SC+LogMag,0.3003284633159637,0.007157198132324096,True,47.44039822339318,3.761939810132863,6.379215224274545,83631574722.75261,16445.01170763911,0.002884789568216358,2.154801773164608,302.6325105923169,0.6123493666914395,0.5890387676688694,82612856044.4483,21011.42815551345,0.0032807870816715,2.154761235733606,438.6071274471857,0.612349610486469,0.5890416637636482
random_IR_0009.npz,random_IR_0009.npz,990.4526510238647,0.3288090825080872,20,20916,581,36,SC+LogMag,0.3363275825977325,0.002005920059160686,True,25.52165818936373,4.683198824055983,32.95367066325565,198083971401.0153,13478.98936451341,0.001893440042066911,2.994013474552304,841.0323187524738,0.5640825749444309,0.8316031073155807,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984
random_IR_0010.npz,random_IR_0010.npz,1544.955750465393,0.5026602745056152,20,84943,1613,51,SC+LogMag,0.4083503484725952,0.0005931199100064302,True,26.31138895293642,1.301153787670712,11.52509751212772,201130848280.3398,21188.24701239021,0.001241791684680207,1.501769520340702,303.2413233621123,0.9083661507615759,0.5548954070057496,81856495196.33838,17864.67272114118,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419
