filename,target_npz,runtime,best_loss,optimizer,loss_name,budget,num_particles,max_iter,realized_budget,w,c1,c2,seed,optuna_trial,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0015.npz,random_IR_0015.npz,465.762,0.250063,PSO+Optuna,L1_STFT,2000,45,43,1980,0.4040650804171346,2.592059194789668,2.0811361538622117,34320,33,4.301e-05,0.00037952,True,12.25227419,2.18634162,81.61750091,67000000512.0,7422.42626953,0.00165071,3.50249243,1000.0,0.97960567,0.63179779,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,242.481,0.00325364,PSO+Optuna,L1_STFT,2000,54,36,1998,0.35060435568948334,2.205715757762257,1.0644336819855131,34643,23,1.542e-05,0.00047532,True,16.77783104,32.39262581,24.60313073,130885754880.0,4658.59667969,0.00360148,2.77083635,412.78717041,0.72909284,0.92473966,212770598762.0987,6623.93469364,0.00336817,2.77085627,572.25618327,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,453.862,0.0033622,PSO+Optuna,L1_STFT,2000,30,65,1980,0.6173996832113346,1.867077122642835,1.2759583211699328,76499,16,1.814e-05,0.00115627,True,13.00531146,8.70166875,37.52224828,123949514752.0,5982.88183594,0.00217375,3.12842798,487.98852539,0.79511303,0.94201601,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,443.908,0.00051396,PSO+Optuna,L1_STFT,2000,47,41,1974,0.399306312232955,1.1904845251292868,1.5819619380320973,17829,22,1.266e-05,0.05225799,True,21.51942812,10.97416279,6.28586211,157109452800.0,8383.91015625,0.00256675,3.10833645,135.26815796,0.71764922,0.80714029,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,211.825,0.00163544,PSO+Optuna,L1_STFT,2000,53,36,1961,0.4951185770432627,1.6281960576586703,0.8118888542601175,48657,14,6.66e-06,3.169e-05,True,18.82272645,8.8679192,37.82080602,178306088960.0,8587.21484375,0.00219195,1.15565932,711.89068604,0.7200259,0.5765301,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,270.237,0.00080169,PSO+Optuna,L1_STFT,2000,33,59,1980,0.21360639399880635,0.7015971424162966,2.451906028235227,78439,4,1.063e-05,0.00402986,True,59.51183482,12.06880467,13.61717786,170854973440.0,16456.56445312,0.0036163,1.96505213,810.38323975,0.82953703,0.72136819,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,604.084,1.215e-05,PSO+Optuna,L1_STFT,2000,37,53,1998,0.22483279328627168,1.5618810864445802,2.0229665428360892,26078,26,1.145e-05,0.0011776,True,38.70581656,5.37794468,9.19096972,219999993856.0,17595.51953125,0.00219975,3.69998503,355.74398804,0.85490561,0.55911118,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,428.724,0.01512248,PSO+Optuna,L1_STFT,2000,36,54,1980,0.4644658244774899,2.601127405511106,1.713179646846823,53614,25,1.24e-05,0.00045951,True,14.77602384,50.38191656,48.6478821,67000000512.0,2955.20483398,0.005,3.7665472,718.82226562,0.58811861,0.81184,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,194.585,2.54e-05,PSO+Optuna,L1_STFT,2000,42,46,1974,0.14222656912919684,1.9850198612786363,1.7223654672094582,94572,38,1.132e-05,0.00694969,True,36.48366475,16.88645503,14.00313746,137943613440.0,9887.10546875,0.00369002,1.45907784,510.88577271,0.54389077,0.85174042,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,286.388,0.00063655,PSO+Optuna,L1_STFT,2000,38,51,1976,0.10595756955455223,2.361709658963301,1.8504283068694547,58814,12,1.061e-05,0.00834651,True,57.54679098,12.80775279,10.71466106,67000000512.0,11547.74511719,0.00498338,2.41527271,616.59436035,0.5157662,0.68640572,197937911386.0695,20769.80429405,0.00388822,2.41527378,866.38366211,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,619.517,0.00187929,PSO+Optuna,L1_STFT,2000,40,49,2000,0.38676288039324747,1.4710601612448144,1.7959863869816648,47335,39,1.26e-05,7.34e-06,True,5.13354759,7.14855329,89.62182655,140936036352.0,3587.80517578,0.00143083,3.21695757,460.07791138,0.51913941,0.89887726,97599468309.14922,3451.55418078,0.00168652,3.21697263,521.04139584,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,647.204,0.00064223,PSO+Optuna,L1_STFT,2000,59,32,1947,0.26138089856573876,2.1482103879564667,1.3748254462824379,76311,22,7.29e-06,1.627e-05,True,36.29889626,2.3116307,24.90149012,120854708224.0,18294.75,0.00198412,1.7493912,903.89660645,0.59069663,0.81450295,71871356218.2901,15672.99075616,0.00238141,1.7493816,928.08201265,0.59070014,0.81452442
random_IR_0027.npz,random_IR_0027.npz,626.976,0.00114764,PSO+Optuna,L1_STFT,2000,60,32,1980,0.17495100203673597,2.7479724642462253,1.2729714231332774,69356,30,1.214e-05,0.000156,True,24.09529969,3.60896632,34.22458667,76064260096.0,10284.1875,0.00234295,2.77396059,824.65167236,0.7991637,0.8677572,148951818862.8186,13972.55997216,0.00195157,2.77396291,934.21465578,0.79905589,0.86775979
random_IR_0028.npz,random_IR_0028.npz,210.93,0.00049363,PSO+Optuna,L1_STFT,2000,56,34,1960,0.22350832521236422,2.4797706952390772,1.5140400368225748,88344,29,1.564e-05,0.03199373,True,60.82028694,21.3114034,13.61402005,182918807552.0,14131.78125,0.00430379,2.00462627,828.00860596,0.87236333,0.75031912,211488975667.54184,5930.42851055,0.00259288,2.00464049,209.85165054,0.87237989,0.75032482
