id,filename,loss,best_loss,best_restart,optuna_trial,runtime_s,iterations,n_trials,loss_name,lr,adam_beta1,grad_clip_value,run1_best_loss,target_raw_Ly,est_raw_Ly,target_raw_h,est_raw_h,target_raw_T0,est_raw_T0,target_raw_rho,est_raw_rho,target_raw_E,est_raw_E,target_raw_op_x,est_raw_op_x,target_raw_op_y,est_raw_op_y,target_mu,est_mu,target_D_div_mu,est_D_div_mu,target_T0_div_mu,est_T0_div_mu,target_Ly,est_Ly,target_op_x,est_op_x,target_op_y,est_op_y
0001,random_IR_0001.npz,5.35990851702195e-09,5.35990851702195e-09,1,12,13.600250482559204,300,1,L1_STFT,0.1,0.9,1.0,5.35990851702195e-09,2.691559161389242,2.526930570602417,0.003860757465489678,0.003503109561279416,602.7673484378831,256.9484558105469,12673.803840341661,16782.91796875,131819184298.85242,215558127616.0,0.8264881154026615,0.8276276588439941,0.7244177335187193,0.7036826610565186,48.930482792750816,58.79240040249624,13.780474006253689,14.01044239536529,12.31885144054178,4.370436553899188,2.691559161389242,2.526930570602417,0.8264881154026615,0.8276276588439941,0.7244177335187193,0.7036826610565186
0002,random_IR_0002.npz,0.3805058002471924,0.3805058002471924,1,1,13.904153108596802,300,1,L1_STFT,0.1,0.9,1.0,0.3805058002471924,3.6861417022680314,1.4443070888519287,0.004854651042004117,0.002787904581055045,383.44768441058943,142.4969482421875,17314.430715954095,8119.81787109375,147920922722.1944,205590872064.0,0.7883418349360268,0.7898299098014832,0.9635423527634039,0.874431312084198,84.05551911691464,22.63727744015489,17.89719225848119,17.492860355462387,4.561838275928601,6.294791792824911,3.6861417022680314,1.4443070888519287,0.7883418349360268,0.7898299098014832,0.9635423527634039,0.874431312084198
0003,random_IR_0003.npz,0.45693862438201904,0.45693862438201904,1,2,11.204356908798218,300,1,L1_STFT,0.1,0.9,1.0,0.45693862438201904,1.3060045687738722,1.4097894430160522,0.001348517198806163,0.002770520281046629,20.228195256351317,141.784423828125,18083.253096301232,8119.8173828125,186057982895.32712,205590872064.0,0.9363059526409414,0.9336993098258972,0.9895229876940543,0.961177408695221,24.38557781072701,22.49611873747699,1.6631530041770037,17.275384077709138,0.829514699768693,6.302617152883438,1.3060045687738722,1.4097894430160522,0.9363059526409414,0.9336993098258972,0.9895229876940543,0.961177408695221
0004,random_IR_0004.npz,0.4190128743648529,0.4190128743648529,1,1,14.36307978630066,300,1,L1_STFT,0.1,0.9,1.0,0.4190128743648529,3.4175598362284982,1.9459491968154907,0.0028459174490117274,0.001427608309313655,780.5313709946926,143.38406372070312,4653.5592063359445,8117.93603515625,164907916263.11115,205590872064.0,0.5802431108304328,0.8210119605064392,0.9728877693542961,0.8746935725212097,13.24364534532063,11.589232938265809,25.512224902692683,4.5880042911112975,58.93629364444415,12.37217894268668,3.4175598362284982,1.9459491968154907,0.5802431108304328,0.8210119605064392,0.9728877693542961,0.8746935725212097
0005,random_IR_0005.npz,0.3141799867153168,0.3141799867153168,1,1,12.597667694091797,300,1,L1_STFT,0.1,0.9,1.0,0.3141799867153168,2.613360133075208,1.6779656410217285,0.002658647759962094,0.004739892669022083,264.5629665485059,142.19566345214844,16985.593361363273,8120.0361328125,136791000829.13193,205590872064.0,0.7885326349456379,0.6399577260017395,0.519207002213814,0.6975638270378113,45.158709741815485,38.488099738112396,5.059946047842066,50.56271196358995,5.858514737491033,3.6945358284691,2.613360133075208,1.6779656410217285,0.7885326349456379,0.6399577260017395,0.519207002213814,0.6975638270378113
0006,random_IR_0006.npz,0.30714017152786255,0.30714017152786255,1,0,12.544354438781738,300,1,L1_STFT,0.1,0.9,1.0,0.30714017152786255,2.8911429415200436,1.20877206325531,0.0034483828908896856,0.0011146209435537457,616.9378275347882,140.94273376464844,20172.463876074933,8121.51025390625,171318505762.83295,205590872064.0,0.6861588712811552,0.6598386764526367,0.7241456573616774,0.6212791204452515,69.56237929734704,9.052405422290406,8.976845948324717,2.795560577723464,8.868843098331412,15.56964444142048,2.8911429415200436,1.20877206325531,0.6861588712811552,0.6598386764526367,0.7241456573616774,0.6212791204452515
0007,random_IR_0007.npz,0.31387144327163696,0.31387144327163696,1,1,17.20218324661255,300,1,L1_STFT,0.1,0.9,1.0,0.31387144327163696,3.123130468189068,2.6658763885498047,0.0012409018865170793,0.004657404962927103,666.7700477785132,139.08546447753906,15037.991948821396,8120.62451171875,99188531844.29765,205590872064.0,0.5731738858508781,0.6327120661735535,0.6645598919528501,0.7461941838264465,18.660672578721123,37.82103690294639,0.9028050531467505,48.814616286258456,35.73129773140305,3.677463017062439,3.123130468189068,2.6658763885498047,0.5731738858508781,0.6327120661735535,0.6645598919528501,0.7461941838264465
0008,random_IR_0008.npz,0.28344520926475525,0.28344520926475525,1,0,11.635547161102295,300,1,L1_STFT,0.1,0.9,1.0,0.28344520926475525,2.1547612357336057,3.327557325363159,0.003280787081671519,0.0038724325131624937,438.60712744718575,139.0808563232422,21011.42815551345,8121.490234375,82612856044.4483,205590872064.0,0.612349610486469,0.5782840847969055,0.5890416637636482,0.5701135396957397,68.93402206007777,31.44992283892543,3.761799410073143,33.74296919756761,6.362709070782616,4.422295629644675,2.1547612357336057,3.327557325363159,0.612349610486469,0.5782840847969055,0.5890416637636482,0.5701135396957397
0009,random_IR_0009.npz,0.3328031301498413,0.3328031301498413,1,0,16.64712142944336,300,1,L1_STFT,0.1,0.9,1.0,0.3328031301498413,2.9940141438496557,1.7814509868621826,0.0020131664101591283,0.0014653336256742477,466.31610974857773,141.30978393554688,7025.201129630132,8121.7060546875,91322346297.76453,205590872064.0,0.5640838191705095,0.7860341668128967,0.831601498837984,0.7411442399024963,14.142898938783345,11.901008979775725,4.683010453498196,4.8314453381976215,32.97174870350116,11.873765003932453,2.9940141438496557,1.7814509868621826,0.5640838191705095,0.7860341668128967,0.831601498837984,0.7411442399024963
0010,random_IR_0010.npz,0.3957296907901764,0.3957296907901764,1,0,10.290175199508667,300,1,L1_STFT,0.1,0.9,1.0,0.3957296907901764,1.50073055891098,1.4641214609146118,0.001786329446720214,0.003017780603840947,368.73148340925746,140.97781372070312,17864.672721141178,8121.34912109375,81856495196.33838,205590872064.0,0.920593004674414,0.818609356880188,0.5570882198680419,0.5293654799461365,31.91219093779382,24.508449854657442,1.299656771033176,20.492665522371137,11.55456496634853,5.75221258613843,1.50073055891098,1.4641214609146118,0.920593004674414,0.818609356880188,0.5570882198680419,0.5293654799461365
