folder,file,label_hz,F_hz,semis,score,alpha,p1,bump2,bump3,bump4,odd_only,kind
17475__modularsamples__rol,302583__modularsamples__roland-juno-6-open-pad-f4-open-pad-67-127-0dxe.aiff,392.00,196.91,-11.92,45.90,1.24,-1.47,4.75,0.24,1.84,-4.75,octave
17475__modularsamples__rol,302584__modularsamples__roland-juno-6-open-pad-g4-open-pad-68-127-6z4n.aiff,415.30,208.62,-11.92,44.54,1.32,-2.32,4.61,0.56,1.90,-4.61,octave
17475__modularsamples__rol,302585__modularsamples__roland-juno-6-open-pad-a4-open-pad-69-127-uxn6.aiff,440.00,221.02,-11.92,45.64,1.26,-2.13,4.62,0.74,1.71,-4.62,octave
17475__modularsamples__rol,302586__modularsamples__roland-juno-6-open-pad-a4-open-pad-70-127-iuil.aiff,466.16,1632.68,21.70,51.72,nan,nan,nan,nan,nan,nan,?
17475__modularsamples__rol,302587__modularsamples__roland-juno-6-open-pad-b4-open-pad-71-127-bn6j.aiff,493.88,1729.76,21.70,49.04,nan,nan,nan,nan,nan,nan,?
17475__modularsamples__rol,302588__modularsamples__roland-juno-6-open-pad-c5-open-pad-72-127-bt3p.aiff,523.25,262.84,-11.92,44.93,1.29,-3.87,4.21,1.46,-0.16,-4.21,octave
17475__modularsamples__rol,302589__modularsamples__roland-juno-6-open-pad-c5-open-pad-73-127-vh9b.aiff,554.37,278.47,-11.92,45.00,1.24,-3.27,4.50,0.69,2.79,-4.50,octave
17475__modularsamples__rol,302590__modularsamples__roland-juno-6-open-pad-d5-open-pad-74-127-z9a6.aiff,587.33,295.03,-11.92,46.25,1.29,-4.59,4.62,2.54,1.61,-4.62,octave
17475__modularsamples__rol,302591__modularsamples__roland-juno-6-open-pad-d5-open-pad-75-127-6ekt.aiff,622.25,312.58,-11.92,44.50,1.37,-5.90,4.71,1.53,1.51,-4.71,octave
17475__modularsamples__rol,302592__modularsamples__roland-juno-6-open-pad-e5-open-pad-76-127-s7y0.aiff,659.26,331.16,-11.92,44.05,1.39,-6.36,8.22,0.67,3.55,-8.22,octave
17475__modularsamples__rol,302593__modularsamples__roland-juno-6-open-pad-e5-open-pad-77-127-wjxd.aiff,698.46,350.85,-11.92,45.34,1.30,-7.36,4.99,1.25,1.37,-4.99,octave
17475__modularsamples__rol,302594__modularsamples__roland-juno-6-open-pad-f5-open-pad-78-127-qzi5.aiff,739.99,371.72,-11.92,43.82,1.33,-6.80,4.67,2.05,1.41,-4.67,octave
17475__modularsamples__rol,302595__modularsamples__roland-juno-6-open-pad-f5-open-pad-79-127-qddz.aiff,783.99,393.82,-11.92,43.48,1.48,-5.91,4.64,0.50,0.19,-4.64,octave
17475__modularsamples__rol,302596__modularsamples__roland-juno-6-open-pad-g5-open-pad-80-127-nqn2.aiff,830.61,417.24,-11.92,36.36,2.33,-11.59,4.94,1.45,0.89,-4.94,?
17475__modularsamples__rol,302597__modularsamples__roland-juno-6-open-pad-a5-open-pad-81-127-njf8.aiff,880.00,442.55,-11.90,28.53,2.65,-6.85,3.97,3.00,-0.01,-3.97,?
17475__modularsamples__rol,302598__modularsamples__roland-juno-6-open-pad-a5-open-pad-82-127-kkdw.aiff,932.33,468.34,-11.92,44.63,1.58,-5.95,4.72,1.10,0.85,-4.72,octave
17475__modularsamples__rol,302599__modularsamples__roland-juno-6-open-pad-b5-open-pad-83-127-ine2.aiff,987.77,496.18,-11.92,46.02,1.46,-5.78,5.58,0.04,5.45,-5.58,octave
17475__modularsamples__rol,302600__modularsamples__roland-juno-6-open-pad-c6-open-pad-84-127-i8q7.aiff,1046.50,525.69,-11.92,47.52,1.47,-5.78,5.00,1.24,3.84,-5.00,octave
17475__modularsamples__rol,302601__modularsamples__roland-juno-6-open-pad-c6-open-pad-85-127-8pqs.aiff,1108.73,556.95,-11.92,39.76,2.18,-12.17,10.01,4.20,5.55,-10.01,?
17476__modularsamples__rol,302613__modularsamples__roland-juno-6-pulse-bass-c2-pulse-bass-36-64.aiff,65.41,32.33,-12.20,45.08,1.77,-3.61,0.57,-1.86,0.81,-0.57,single
17476__modularsamples__rol,302614__modularsamples__roland-juno-6-pulse-bass-c2-pulse-bass-36-127.aiff,65.41,32.51,-12.10,55.92,1.76,-3.69,0.63,-1.99,1.00,-0.63,single
17476__modularsamples__rol,302615__modularsamples__roland-juno-6-pulse-bass-c2-pulse-bass-37-64.aiff,69.30,34.25,-12.20,41.47,1.95,-1.88,0.36,-2.10,0.83,-0.36,single
17476__modularsamples__rol,302616__modularsamples__roland-juno-6-pulse-bass-c2-pulse-bass-37-127.aiff,69.30,34.45,-12.10,55.91,1.81,-3.72,0.47,-2.13,1.09,-0.47,single
17476__modularsamples__rol,302617__modularsamples__roland-juno-6-pulse-bass-d2-pulse-bass-38-64.aiff,73.42,36.29,-12.20,42.27,1.92,-2.83,0.25,-1.93,0.85,-0.25,single
17476__modularsamples__rol,302618__modularsamples__roland-juno-6-pulse-bass-d2-pulse-bass-38-127.aiff,73.42,36.50,-12.10,52.85,1.85,-3.86,0.57,-2.37,1.19,-0.57,single
17476__modularsamples__rol,302619__modularsamples__roland-juno-6-pulse-bass-d2-pulse-bass-39-64.aiff,77.78,38.44,-12.20,46.04,1.87,-3.51,0.42,-1.95,0.84,-0.42,single
17476__modularsamples__rol,302620__modularsamples__roland-juno-6-pulse-bass-d2-pulse-bass-39-127.aiff,77.78,38.67,-12.10,54.48,1.87,-3.75,0.56,-2.29,1.16,-0.56,single
17476__modularsamples__rol,302621__modularsamples__roland-juno-6-pulse-bass-e2-pulse-bass-40-64.aiff,82.41,40.97,-12.10,49.29,1.83,-3.14,0.36,-1.73,0.72,-0.36,single
17476__modularsamples__rol,302622__modularsamples__roland-juno-6-pulse-bass-e2-pulse-bass-40-127.aiff,82.41,40.97,-12.10,54.95,1.93,-3.99,0.90,-2.74,1.62,-0.90,single
17476__modularsamples__rol,302623__modularsamples__roland-juno-6-pulse-bass-e2-pulse-bass-41-64.aiff,87.31,43.40,-12.10,46.16,1.88,-2.79,0.29,-1.69,0.66,-0.29,single
17476__modularsamples__rol,302624__modularsamples__roland-juno-6-pulse-bass-e2-pulse-bass-41-127.aiff,87.31,43.40,-12.10,54.15,1.91,-3.87,0.98,-2.30,1.55,-0.98,single
17476__modularsamples__rol,302625__modularsamples__roland-juno-6-pulse-bass-f2-pulse-bass-42-64.aiff,92.50,45.98,-12.10,48.69,1.88,-2.99,0.38,-1.59,0.65,-0.38,single
17476__modularsamples__rol,302626__modularsamples__roland-juno-6-pulse-bass-f2-pulse-bass-42-127.aiff,92.50,45.98,-12.10,54.04,1.96,-4.14,1.38,-2.30,1.91,-1.38,single
17476__modularsamples__rol,302627__modularsamples__roland-juno-6-pulse-bass-f2-pulse-bass-43-64.aiff,98.00,48.72,-12.10,46.32,1.96,-2.13,0.22,-1.70,0.60,-0.22,single
17476__modularsamples__rol,302628__modularsamples__roland-juno-6-pulse-bass-f2-pulse-bass-43-127.aiff,98.00,48.72,-12.10,52.93,2.07,-4.13,1.44,-3.01,2.46,-1.44,single
