folder,file,label_hz,F_hz,semis,score,alpha,p1,bump2,bump3,bump4,odd_only,kind
korg-mono-poly,295267__modularsamples__korg-mono-poly-synth-bass-c1-synth-bass-1-24-127.aiff,32.70,22.34,-6.60,45.63,1.19,-4.31,0.39,-0.60,-1.28,-0.39,single
korg-mono-poly,295268__modularsamples__korg-mono-poly-synth-bass-c1-synth-bass-1-25-127.aiff,34.65,22.34,-7.60,28.50,1.45,-8.05,1.87,0.15,-1.18,-1.87,single
korg-mono-poly,295269__modularsamples__korg-mono-poly-synth-bass-d1-synth-bass-1-26-127.aiff,36.71,22.34,-8.60,32.87,1.33,-5.73,1.23,0.53,-1.24,-1.23,single
korg-mono-poly,295270__modularsamples__korg-mono-poly-synth-bass-d1-synth-bass-1-27-127.aiff,38.89,22.47,-9.50,35.25,1.34,-6.39,1.45,-1.26,-0.65,-1.45,single
korg-mono-poly,295271__modularsamples__korg-mono-poly-synth-bass-e1-synth-bass-1-28-127.aiff,41.20,22.34,-10.60,37.70,1.22,-4.73,1.05,0.82,-0.99,-1.05,single
korg-mono-poly,295272__modularsamples__korg-mono-poly-synth-bass-e1-synth-bass-1-29-127.aiff,43.65,22.47,-11.50,29.39,1.45,-7.35,0.77,-0.38,-0.28,-0.77,single
korg-mono-poly,295273__modularsamples__korg-mono-poly-synth-bass-f1-synth-bass-1-30-127.aiff,46.25,22.34,-12.60,32.53,1.33,-5.70,0.75,1.32,-0.83,-0.75,single
korg-mono-poly,295274__modularsamples__korg-mono-poly-synth-bass-f1-synth-bass-1-31-127.aiff,49.00,22.34,-13.60,31.50,1.44,-7.50,1.57,-0.67,-1.12,-1.57,single
korg-mono-poly,295275__modularsamples__korg-mono-poly-synth-bass-g1-synth-bass-1-32-127.aiff,51.91,22.47,-14.50,32.96,1.27,-5.03,0.65,-0.11,-1.08,-0.65,single
korg-mono-poly,295276__modularsamples__korg-mono-poly-synth-bass-a1-synth-bass-1-33-127.aiff,55.00,22.47,-15.50,30.78,1.48,-8.00,1.68,0.44,-0.93,-1.68,single
korg-mono-poly,295277__modularsamples__korg-mono-poly-synth-bass-a1-synth-bass-1-34-127.aiff,58.27,22.47,-16.50,30.05,1.38,-6.24,0.28,-0.60,-0.47,-0.28,single
korg-mono-poly,295278__modularsamples__korg-mono-poly-synth-bass-b1-synth-bass-1-35-127.aiff,61.74,22.47,-17.50,33.73,1.47,-8.13,1.67,0.13,-0.60,-1.67,single
korg-mono-poly,295279__modularsamples__korg-mono-poly-synth-bass-c2-synth-bass-1-36-127.aiff,65.41,22.47,-18.50,29.98,1.41,-7.65,1.66,0.77,-0.71,-1.66,single
korg-mono-poly,295280__modularsamples__korg-mono-poly-synth-bass-c2-synth-bass-1-37-127.aiff,69.30,22.34,-19.60,45.77,1.23,-4.69,0.06,-0.84,0.03,-0.06,single
korg-mono-poly,295281__modularsamples__korg-mono-poly-synth-bass-d2-synth-bass-1-38-127.aiff,73.42,22.34,-20.60,36.99,1.35,-6.99,1.82,0.63,-0.74,-1.82,single
korg-mono-poly,295282__modularsamples__korg-mono-poly-synth-bass-d2-synth-bass-1-39-127.aiff,77.78,22.47,-21.50,36.19,1.32,-6.20,1.27,-0.49,-0.79,-1.27,single
korg-mono-poly,295283__modularsamples__korg-mono-poly-synth-bass-e2-synth-bass-1-40-127.aiff,82.41,22.47,-22.50,37.40,1.32,-6.43,1.27,0.34,-0.67,-1.27,single
korg-mono-poly,295284__modularsamples__korg-mono-poly-synth-bass-e2-synth-bass-1-41-127.aiff,87.31,22.47,-23.50,32.30,1.45,-7.62,1.66,-0.04,-0.61,-1.66,single
korg-mono-poly,295285__modularsamples__korg-mono-poly-synth-bass-f2-synth-bass-1-42-127.aiff,92.50,22.44,-24.52,30.45,1.43,-7.82,1.71,0.82,-0.70,-1.71,single
korg-mono-poly,295286__modularsamples__korg-mono-poly-synth-bass-f2-synth-bass-1-43-127.aiff,98.00,22.44,-25.52,33.47,1.39,-6.33,0.02,-0.10,-0.20,-0.02,single
korg-mono-poly,295287__modularsamples__korg-mono-poly-synth-bass-g2-synth-bass-1-44-127.aiff,103.83,22.57,-26.42,42.42,1.33,-6.73,1.02,0.28,-0.98,-1.02,single
korg-mono-poly,295288__modularsamples__korg-mono-poly-synth-bass-a2-synth-bass-1-45-127.aiff,110.00,22.83,-27.22,35.37,1.34,-6.04,0.97,0.46,-1.48,-0.97,single
korg-mono-poly,295289__modularsamples__korg-mono-poly-synth-bass-a2-synth-bass-1-46-127.aiff,116.54,23.37,-27.82,30.18,1.50,-8.19,1.81,-0.24,-1.29,-1.81,single
korg-mono-poly,295290__modularsamples__korg-mono-poly-synth-bass-b2-synth-bass-1-47-127.aiff,123.47,24.19,-28.22,30.06,1.48,-8.34,1.59,0.07,-0.66,-1.59,single
korg-mono-poly,295291__modularsamples__korg-mono-poly-synth-bass-c3-synth-bass-1-48-127.aiff,130.81,25.48,-28.32,33.67,1.54,-7.78,1.01,0.82,-1.32,-1.01,single
korg-mono-poly,295292__modularsamples__korg-mono-poly-synth-bass-c3-synth-bass-1-49-127.aiff,138.59,27.00,-28.32,33.37,1.65,-8.92,0.82,1.33,-0.84,-0.82,single
korg-mono-poly,295293__modularsamples__korg-mono-poly-synth-bass-d3-synth-bass-1-50-127.aiff,146.83,28.60,-28.32,35.90,1.74,-10.06,1.03,1.27,-0.76,-1.03,?
korg-mono-poly,295294__modularsamples__korg-mono-poly-synth-bass-d3-synth-bass-1-51-127.aiff,155.56,30.30,-28.32,34.81,1.84,-10.61,1.20,0.37,-0.38,-1.20,?
korg-mono-poly,295295__modularsamples__korg-mono-poly-synth-bass-e3-synth-bass-1-52-127.aiff,164.81,32.11,-28.32,32.12,2.04,-13.01,1.82,0.67,-0.48,-1.82,?
korg-mono-poly,295296__modularsamples__korg-mono-poly-synth-bass-e3-synth-bass-1-53-127.aiff,174.61,33.82,-28.42,31.56,2.08,-12.59,1.14,0.61,-0.00,-1.14,?
korg-mono-poly,295297__modularsamples__korg-mono-poly-synth-bass-f3-synth-bass-1-54-127.aiff,185.00,35.83,-28.42,33.39,2.21,-14.13,1.73,-0.09,0.06,-1.73,?
korg-mono-poly,295298__modularsamples__korg-mono-poly-synth-bass-f3-synth-bass-1-55-127.aiff,196.00,18.98,-40.42,17.25,0.67,-20.80,35.64,-6.58,24.62,-35.64,?
korg-mono-poly,295299__modularsamples__korg-mono-poly-synth-bass-g3-synth-bass-1-56-127.aiff,207.65,20.11,-40.42,21.08,0.61,-25.22,39.17,-4.67,26.36,-39.17,?
korg-mono-poly,295300__modularsamples__korg-mono-poly-synth-bass-a3-synth-bass-1-57-127.aiff,220.00,21.30,-40.42,16.88,0.52,-24.99,35.46,-3.90,23.52,-35.46,?
korg-mono-poly,295301__modularsamples__korg-mono-poly-synth-bass-a3-synth-bass-1-58-127.aiff,233.08,22.57,-40.42,15.61,0.80,-22.34,37.50,-5.09,25.23,-37.50,?
korg-mono-poly,295302__modularsamples__korg-mono-poly-synth-bass-b3-synth-bass-1-59-127.aiff,246.94,47.83,-28.42,31.98,2.77,-17.27,2.23,1.17,1.14,-2.23,?
korg-mono-poly,295303__modularsamples__korg-mono-poly-synth-bass-c4-synth-bass-1-60-127.aiff,261.63,50.67,-28.42,33.22,2.84,-17.18,2.18,1.70,1.03,-2.18,?
korg-mono-poly,295304__modularsamples__korg-mono-poly-synth-bass-c4-synth-bass-1-61-127.aiff,277.18,53.68,-28.42,29.30,2.92,-17.27,2.08,1.41,1.06,-2.08,?
korg-mono-poly,295305__modularsamples__korg-mono-poly-synth-bass-d4-synth-bass-1-62-127.aiff,293.66,56.88,-28.42,32.93,3.02,-18.32,2.28,1.58,1.01,-2.28,?
korg-mono-poly,295306__modularsamples__korg-mono-poly-synth-bass-d4-synth-bass-1-63-127.aiff,311.13,60.26,-28.42,28.13,3.12,-18.19,1.97,2.00,0.48,-1.97,?
korg-mono-poly,295307__modularsamples__korg-mono-poly-synth-bass-e4-synth-bass-1-64-127.aiff,329.63,63.84,-28.42,32.00,3.20,-18.15,2.13,1.82,0.94,-2.13,?
korg-mono-poly,295308__modularsamples__korg-mono-poly-synth-bass-e4-synth-bass-1-65-127.aiff,349.23,67.64,-28.42,23.71,3.31,-18.47,2.17,2.11,0.56,-2.17,?
korg-mono-poly,295309__modularsamples__korg-mono-poly-synth-bass-f4-synth-bass-1-66-127.aiff,369.99,35.83,-40.42,16.18,1.26,-31.74,36.16,-2.82,24.29,-36.16,?
korg-mono-poly,295310__modularsamples__korg-mono-poly-synth-bass-f4-synth-bass-1-67-127.aiff,392.00,75.92,-28.42,25.12,3.49,-18.22,3.04,1.07,0.55,-3.04,?
korg-mono-poly,295311__modularsamples__korg-mono-poly-synth-bass-g4-synth-bass-1-68-127.aiff,415.30,80.90,-28.32,19.71,4.08,-18.05,8.05,0.49,2.95,-8.05,?
korg-mono-poly,295312__modularsamples__korg-mono-poly-synth-bass-a4-synth-bass-1-69-127.aiff,440.00,63.91,-33.40,4.88,1.93,-13.84,14.61,3.25,30.28,-14.61,?
korg-mono-poly,295313__modularsamples__korg-mono-poly-synth-bass-a4-synth-bass-1-70-127.aiff,466.16,45.14,-40.42,20.37,1.54,-33.68,50.61,-9.57,33.95,-50.61,?
korg-mono-poly,295314__modularsamples__korg-mono-poly-synth-bass-b4-synth-bass-1-71-127.aiff,493.88,95.65,-28.42,29.01,3.76,-17.21,2.85,1.31,0.18,-2.85,?
korg-mono-poly,295315__modularsamples__korg-mono-poly-synth-bass-c5-synth-bass-1-72-127.aiff,523.25,50.67,-40.42,21.12,1.68,-34.43,44.09,-4.90,29.27,-44.09,?
korg-mono-poly,295316__modularsamples__korg-mono-poly-synth-bass-c5-synth-bass-1-73-127.aiff,554.37,53.86,-40.36,23.44,1.88,-36.21,36.56,-6.05,23.02,-36.56,?
