filename,est_E,est_rho,est_h,est_Ly,est_T0,est_op_x,est_op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y,est_mu,est_D_div_mu,est_T0_div_mu,refined_mu,refined_D_div_mu,refined_T0_div_mu,refined_Ly,refined_op_x,refined_op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,mu_orig,mu_refined,mu_gt,mu_orig_err,mu_refined_err,loss_orig,loss_refined,loss_delta,nmse_orig,nmse_refined,nmse_delta,nmse_summary_orig,sanity_ok,sanity_grid_min_mu,total_evaluations,elapsed_s
random_IR_0001.npz,117836416365.3195,18159.45220563554,0.0049267670003717,2.741500432588551,990.6570939275396,0.7098435279253245,0.727955471026077,131819184298.85242,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193,89.46738987155227,14.000653517507716,11.07282883014492,69.1543006744919,14.000653517507716,11.07282883014492,2.741500432588551,0.7098435279253245,0.727955471026077,48.93048279274982,13.78047400625313,12.31885144054203,89.46738987155227,69.1543006744919,48.93048279274982,40.53690707880245,20.223817881742086,0.3159194588661194,0.2140657603740692,-0.10185369849205017,0.03496253097184244,0.015841000234440888,-0.01912153073740155,0.0349625309718446,True,67.93736842105264,122,1.068
random_IR_0002.npz,185164672710.4043,19711.30931516687,0.004999062379067,3.777855941891538,589.7742643846259,0.7517314937519457,0.7830827512747134,147920922722.1944,17314.430715954095,0.0048546510420041,3.686141702268032,383.44768441058943,0.7883418349360268,0.963542352763404,98.5380648396036,20.867347498951187,5.985243015931329,106.14999771376563,20.867347498951187,5.985243015931329,3.777855941891538,0.7517314937519457,0.7830827512747134,84.05551911691434,17.897192258481063,4.561838275928618,98.5380648396036,106.14999771376563,84.05551911691434,14.482545722689267,22.09447859685129,1.1853708028793335,1.088172197341919,-0.09719860553741455,0.02699061013198488,0.03130408283756941,0.004313472705584527,0.0269906101319856,True,106.15,122,1.188
random_IR_0003.npz,68975674717.2521,2458.680832789646,0.0025128966107411,1.482984871480983,334.1290261640022,0.6675343156375053,0.9918267375354646,186057982895.32712,18083.253096301232,0.0013485171988061,1.3060045687738722,20.22819525635132,0.9363059526409414,0.9895229876940544,6.178410731611208,15.746735061163992,54.0800928715317,13.292351197710012,15.746735061163992,54.0800928715317,1.482984871480983,0.6675343156375053,0.9918267375354646,24.385577810725874,1.6631530041768487,0.8295146997687317,6.178410731611208,13.292351197710012,24.385577810725874,-18.207167079114665,-11.093226613015862,1.1601252555847168,0.7533671259880066,-0.4067581295967102,0.05951440840895441,0.05628511567360536,-0.003229292735349047,0.0595144084089542,True,13.347894736842106,122,0.588
random_IR_0004.npz,162411040375.7981,11000.93657801831,0.0049642334561519,3.622272312658233,476.3085080487101,0.6228265385800611,0.9592896877568062,164907916263.11115,4653.5592063359445,0.0028459174490117,3.4175598362284982,780.5313709946926,0.5802431108304328,0.972887769354296,54.6112174096037,32.33983198639111,8.721807178847994,15.597360064199496,32.33983198639111,8.721807178847994,3.622272312658233,0.6228265385800611,0.9592896877568062,13.243645345320504,25.51222490269219,58.93629364444471,54.6112174096037,15.597360064199496,13.243645345320504,41.367572064283195,2.353714718878992,0.8058716058731079,0.41401419043540955,-0.39185741543769836,0.03140369503192367,0.004977443739721745,-0.026426251292201924,0.0314036950319243,True,13.347894736842106,122,0.937
random_IR_0005.npz,114986789934.1935,16983.28863163901,0.002910811619968,2.622487785939205,252.7833931598921,0.7317512106994408,0.5160710781078205,136791000829.13193,16985.593361363273,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814,49.43515389424526,5.0991975441960005,5.113433928023406,53.16414826781846,5.0991975441960005,5.113433928023406,2.622487785939205,0.7317512106994408,0.5160710781078205,45.15870974181389,5.059946047841708,5.858514737491241,49.43515389424526,53.16414826781846,45.15870974181389,4.276444152431374,8.005438526004575,0.1491718590259552,0.12509123980998993,-0.02408061921596527,0.0025304047795772426,0.003239950534369608,0.0007095457547923656,0.0025304047795772,True,51.560526315789474,122,1.618
random_IR_0006.npz,97865546830.00894,19857.15704359181,0.0045265403787046,2.891140475189756,798.7547518710868,0.686209721827989,0.7241462212393119,171318505762.83295,20172.463876074933,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774,89.88422316409678,8.97621056522068,8.886484454706176,69.55368416173138,8.97621056522068,8.886484454706176,2.891140475189756,0.686209721827989,0.7241462212393119,69.5623792973453,8.976845948324273,8.868843098331634,89.88422316409678,69.55368416173138,69.5623792973453,20.32184386675148,-0.008695135613919547,0.23147092759609222,0.000404988182708621,-0.2310659394133836,0.00639808634637841,3.27454678260629e-09,-0.006398083071831627,0.0063980863463796,True,67.93736842105264,122,1.335
random_IR_0007.npz,82663506413.5234,18229.1269525575,0.001135412910138,3.998805560566026,539.6463186565115,0.7649565655404589,0.5566991785979757,99188531844.29764,15037.991948821396,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501,20.697586082478363,0.519640614092152,26.07291094266068,19.39047705390508,0.519640614092152,26.07291094266068,3.998805560566026,0.7649565655404589,0.5566991785979757,18.66067257871993,0.9028050531466348,35.73129773140534,20.697586082478363,19.39047705390508,18.66067257871993,2.0369135037584343,0.7298044751851513,0.3056386113166809,0.29844292998313904,-0.00719568133354187,0.04896022039245318,0.04890419299619061,-5.602739626257153e-05,0.0489602203924532,True,18.806842105263158,122,7.402
random_IR_0008.npz,82164584638.85889,17700.44452103888,0.0030194778080361,2.154799393301718,340.9384067060476,0.6123541551037647,0.5890403309514769,82612856044.4483,21011.42815551345,0.0032807870816715,2.1547612357336057,438.60712744718575,0.612349610486469,0.5890416637636482,53.44609942365107,3.7619381638191736,6.379107369530037,68.9159583721478,3.7619381638191736,6.379107369530037,2.154799393301718,0.6123541551037647,0.5890403309514769,68.93402206007737,3.761799410073101,6.362709070782652,53.44609942365107,68.9159583721478,68.93402206007737,-15.487922636426298,-0.018063687929569028,0.2982139587402344,0.0006104782223701477,-0.2976034805178642,0.0037162943989811725,5.3643255306048e-09,-0.003716289034655642,0.0037162943989804,True,67.93736842105264,122,1.54
random_IR_0009.npz,91618408700.03316,9211.684376218149,0.0023015404898858,2.99401304511197,698.780041000766,0.5640937288736878,0.8315975125918154,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984,21.201064571914486,4.683045873671566,32.95966759737411,14.143667753335837,4.683045873671566,32.95966759737411,2.99401304511197,0.5640937288736878,0.8315975125918154,14.142898938783146,4.683010453498064,32.971748703501625,21.201064571914486,14.143667753335837,14.142898938783146,7.05816563313134,0.0007688145526909551,0.3512319326400757,0.0003209701972082257,-0.35091096244286746,0.0007718049332615552,2.3202404486737223e-10,-0.0007718047012375104,0.0007718049332615,True,13.347894736842106,122,1.921
random_IR_0010.npz,213016923593.1555,21196.69462289775,0.0012068557291994,1.501754702600752,294.7084748428639,0.9079029902051362,0.5552624659695596,81856495196.33838,17864.672721141178,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419,25.581352345734267,1.3010804634315678,11.520441564615211,36.08879276333635,1.3010804634315678,11.520441564615211,1.501754702600752,0.9079029902051362,0.5552624659695596,31.91219093779357,1.2996567710331561,11.55456496634862,25.581352345734267,36.08879276333635,31.91219093779357,-6.330838592059305,4.176601825542779,0.44760018587112427,0.08904879540205002,-0.35855139046907425,0.0007350552327365567,0.0003843727252794803,-0.00035068250745707636,0.0007350552327365,True,35.183684210526316,122,1.829
