loss,monotonicity,autocorr_length,entropy,metamodel_r2,metamodel_slope,skewness,kurtosis,fdc_7d_q0,fdc_6d_q0,fdc_7d_q1,fdc_6d_q1,fdc_7d_q2,fdc_6d_q2,fdc_7d_q3,fdc_6d_q3,fdc_7d_q4,fdc_6d_q4,fdc_7d_global,fdc_6d_global
L1_STFT,0.6767676767676768,27.5,1.1324240745119085,0.08904729680269562,0.35347915068629143,1.653962554779868,2.656856154583122,0.17657650985318657,0.17211351320945756,0.062121669510434435,0.08275898599366245,0.06102075637972737,0.1003001893761836,0.07969718560741004,0.08015431346445914,0.13798145613410084,0.1715087281795511,0.10347951549697185,0.12136714604466277
Dispersion,0.6641414141414141,28.5,1.1775143324594488,0.08466164228630008,0.03651501396050669,2.5282430244911973,10.619348527071855,0.15686835542722138,0.1246397164982281,0.02659825998912493,0.051823261395383714,0.04689188682429265,0.06539740873380458,0.09049144057150357,0.09817645735285845,0.1649655935349596,0.19026747042169012,0.09716310726942043,0.106060862880393
ESR,0.6540404040404041,18.0,1.1118236278830824,0.007701085081328876,0.12973197105502995,0.5442353908449937,0.41491189141798834,0.08301455009093806,0.03662301014381339,0.008910899443121519,0.011178069862936641,0.03353092831830199,-0.015235220220126374,0.009679091744323402,-0.025547597172482325,-0.05965940412127575,-0.07536515853224082,0.015095213095081841,-0.013669379183619901
CQT+LogDec,0.6262626262626263,35.5,1.1274646415107323,0.10540540522798458,0.5656023070093624,1.7021748616807568,3.524722138553768,0.21568269176682353,0.15319614497590608,0.060150282189263674,0.06693679335495846,0.07555659722873267,0.05607475671722948,0.04637269607935049,0.07580738004612528,0.11415352595953723,0.21560112875705473,0.1023831586447415,0.11352324077025482
ComplexSTFT,0.6237373737373737,25.25,1.1043677204871511,0.03744586615075528,0.22524619246804217,0.6039147583882536,0.841469043376246,0.09993015581347382,0.06755948474677967,0.010633191457446609,0.023076612978831113,0.05070294189338683,0.028656272851705324,0.06469821686385539,0.044594341214632585,0.1100901880636754,0.169913936962106,0.06721093881836762,0.06676012975081094
Gammatone,0.6136363636363636,12.25,1.0969902648975558,0.06638455474225832,0.0437991909765489,1.024522999631097,2.4051098527144945,0.11455721598259988,0.09185119906999419,0.022064106650666562,0.031227101419383868,0.05961421633885211,0.05536900230626441,0.030820598878742986,0.05693473084206775,0.07164260401627509,0.14942980893630586,0.059739748373427326,0.07696236851480322
VQT,0.6111111111111112,13.75,1.0972879603272414,0.02096765955450544,0.053331976933684314,0.8086482506180893,1.8262722174888344,0.06851836573978587,0.07874271089194307,0.012201732510828192,0.03735595222470141,0.04635441471509197,0.0061246320289501804,0.026313539459621622,0.01141750885943037,0.039606810042562765,0.0525490784317402,0.03859897249357809,0.037237976487353046
CQT_L1,0.5959595959595959,15.25,1.0944838125368792,0.024049790068941278,0.032612879264654254,0.7396268370108475,0.2772347224292029,0.06838627116419477,0.08370436690229313,0.021868449177807357,0.05349136557103481,0.04582800517503234,0.04214613841336508,0.04540322127013294,0.0680392064950406,0.07693426208913806,0.12892280576753604,0.05168404177526109,0.07526077662985393
Envelope,0.5934343434343434,10.25,1.0893661520083728,0.016319213685381105,0.078821674229827,0.39503676985711655,0.4542592860474135,0.09248176551103443,0.04999746873417958,0.02069403558772242,0.04040481503009394,0.03837942737142107,0.03411405696285601,-0.014378808617553857,0.00561556634728967,-0.0017778861117881987,-0.02283595522472015,0.027079706748167176,0.021459190369939807
InstFreq,0.5858585858585859,11.25,1.081493269688987,0.03388807166653497,0.11583221945398087,0.3651777772038447,2.26349118765482,0.0914457769996247,0.06538062737892111,0.03213460709129432,0.03601841261507884,0.03961093506834418,0.017957924737029604,0.04216273226707666,0.06257560984756154,0.07506506290664317,0.08234175093756417,0.0560838228665966,0.05285486510323105
GroupDelay,0.5707070707070707,5.25,1.0761674114519866,0.006595247520759418,0.07929700139775997,-0.2538814232309328,0.3504252557257599,0.03933765211032569,0.03090844317776986,0.01240160876005475,0.0017746985918661992,0.006109444434027712,0.027324452027825172,-0.017413890086813044,0.011738042112763206,0.0038539928374552337,0.0037854611591322442,0.008857761611010068,0.015106219413871334
SC+LogMag,0.547979797979798,13.25,1.0758066074014274,0.07237469916275302,0.20450145160528305,0.6106319118210185,0.608096073957505,0.15876689854311588,0.11897849361558509,0.04588669304183151,0.04907824423902649,0.06382483640522753,0.03606894418090113,0.06070528565803536,0.07188663679147994,0.09132038325239532,0.12282086138038363,0.08410081938012112,0.07976663604147526
MSS,0.5277777777777778,4.75,1.064732505022962,0.06000585203701127,0.2772010821077094,0.7163549892968853,0.639261307295327,0.14291704948155926,0.10034134588341177,0.03580100500628129,0.04133838336489602,0.05547240920255751,0.042117450734067086,0.039781654885343035,0.05466924793279958,0.09553878461740384,0.15145735285845535,0.073902180638629,0.07798475615472597
Mel,0.5202020202020202,8.25,1.0700803968860382,0.05187257861190181,0.2096708685553071,1.459556411256028,2.013676643975508,0.11616054134960749,0.07728367052294076,0.035039937749610936,0.04195057469109181,0.03666721444603421,0.03852145950912193,0.022390077437983984,0.06208848180301126,0.11176251101569383,0.13790476815480096,0.0644040563997861,0.07154979093619335
