filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0018.npz,random_IR_0018.npz,21.183,0.00033976,1,53,MultiResL1_STFT_V2,9.3e-06,0.00179755,True,68.82624936,10.97354968,6.31461496,83980913802.65768,14770.54030754,0.0046597,3.10835055,434.61126375,0.71770301,0.8071257,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,9.775,0.00048624,1,43,MultiResL1_STFT_V2,5.01e-06,0.00028108,True,21.65268216,8.86732771,37.97510804,138646616562.4557,8669.53488865,0.00249756,1.15566495,822.26294446,0.72000493,0.57640379,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,13.227,0.00077834,1,52,MultiResL1_STFT_V2,7.86e-06,0.00560853,True,62.41038009,12.06860193,13.53600477,109261398793.78488,14634.91851344,0.00426448,1.9650393,844.7872026,0.82951986,0.72142543,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,30.65,0.00057827,1,48,MultiResL1_STFT_V2,8.25e-06,0.01102804,True,74.10429882,5.37793743,9.21854244,93358206058.00891,20387.17315608,0.00363485,3.69996636,683.13362336,0.85488773,0.55912621,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,16.457,0.00040197,2,50,MultiResL1_STFT_V2,9.28e-06,6.669e-05,True,18.13442314,50.42962051,49.48466604,208715635392.98083,4945.85542814,0.00366659,3.76649277,897.37587291,0.58968705,0.81161815,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,10.176,0.00056783,1,41,MultiResL1_STFT_V2,8.83e-06,0.00075686,True,50.67395581,16.88608917,14.07804173,120707919122.3569,11772.6597693,0.00430438,1.45907087,713.39006467,0.54390596,0.85176973,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,15.776,0.00016787,1,42,MultiResL1_STFT_V2,7.93e-06,0.00236097,True,68.41283402,12.80674969,10.73676121,91996236061.15723,14404.04909183,0.00474956,2.41527731,734.5322624,0.51572821,0.68638728,197937911386.0695,20769.80429405,0.00388822,2.41527378,866.38366211,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,437.769,0.00058348,33,55,MultiResL1_STFT_V2,9.15e-06,0.00026078,True,9.92383418,7.14909437,89.5063216,109904705081.72253,5124.5678005,0.00193652,3.21698349,888.24589338,0.51913741,0.89891844,97599468309.14922,3451.55418078,0.00168652,3.21697263,521.04139584,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,149.963,0.00066804,9,54,MultiResL1_STFT_V2,5.33e-06,8.369e-05,True,39.64788309,2.31148416,24.88889405,109338858011.3468,18766.80606693,0.00211266,1.74937837,986.7919615,0.59066448,0.81457179,71871356218.2901,15672.99075616,0.00238141,1.7493816,928.08201265,0.59070014,0.81452442
random_IR_0027.npz,random_IR_0027.npz,24.609,0.0003521,1,30,MultiResL1_STFT_V2,8.78e-06,0.00122417,True,18.37932245,3.60892542,34.23769022,133300919645.33047,10351.11746229,0.00177559,2.77395962,629.26554856,0.79907311,0.8677627,148951818862.8186,13972.55997216,0.00195157,2.77396291,934.21465578,0.79905589,0.86775979
