testId,uuid,trial_id,trial_type,stimulus,score,comment,time
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299776__modularsamples__moog-minitaur-doubles-e3-doubles-52-64-fagm,mushra,reference,100,,34494
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299768__modularsamples__moog-minitaur-doubles-c3-doubles-49-95-dflf,mushra,r13_synth_magx_halfw,24,,26000
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299768__modularsamples__moog-minitaur-doubles-c3-doubles-49-95-dflf,mushra,anchor,56,,26000
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299768__modularsamples__moog-minitaur-doubles-c3-doubles-49-95-dflf,mushra,r13_synth_hybridx,25,,26000
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299768__modularsamples__moog-minitaur-doubles-c3-doubles-49-95-dflf,mushra,r13_synth_logx_halfw,45,,26000
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299768__modularsamples__moog-minitaur-doubles-c3-doubles-49-95-dflf,mushra,reference,100,,26000
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299769__modularsamples__moog-minitaur-doubles-d3-doubles-50-32-vxl7,mushra,r13_synth_magx_halfw,48,,22037
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299769__modularsamples__moog-minitaur-doubles-d3-doubles-50-32-vxl7,mushra,r13_synth_hybridx,23,,22037
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299769__modularsamples__moog-minitaur-doubles-d3-doubles-50-32-vxl7,mushra,reference,100,,22037
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299769__modularsamples__moog-minitaur-doubles-d3-doubles-50-32-vxl7,mushra,r13_synth_logx_halfw,30,,22037
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299769__modularsamples__moog-minitaur-doubles-d3-doubles-50-32-vxl7,mushra,anchor,70,,22037
