filename,target_npz,runtime,best_loss,n_restarts_run,total_evaluations,cmaes_gen_count,best_popsize,loss_name,gt_loss,terrain_mean,early_threshold,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,174.4002587795258,9.269709835280082e-07,3,17910,423,38,SmoothMSS,1.205748276333907e-06,2969.921875,28.21425900679367,0.0006843969919690692,True,55.57697009395208,13.78046969049437,12.31893440257619,88987802511.98097,12103.22826900242,0.004591912906103762,2.691558825979275,684.6490488813344,0.82648801903514,0.72441765867359,131819184298.8524,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193
random_IR_0002.npz,random_IR_0002.npz,64.4850709438324,2.154150479327654e-06,1,5537,113,49,SmoothMSS,2.419639713480137e-06,3312.477783203125,31.46854133708282,0.05243904808922284,True,25.87661545621723,17.89719220333531,4.561784888293892,156181179683.8362,8038.383823383389,0.003219131609633149,3.686141621266144,118.0435533483639,0.7883416708947092,0.9635423163857412,147920922722.1944,17314.43071595409,0.0048546510420041,3.686141702268032,383.4476844105894,0.7883418349360268,0.9635423527634041
random_IR_0003.npz,random_IR_0003.npz,608.508629322052,7.44666749596945e-06,20,35926,795,44,SmoothMSS,1.032145337376278e-05,5724.25732421875,54.38045480347769,0.0003315957252725571,True,29.01197158551134,1.663152895564335,0.8295473109123043,141453302469.6471,18530.8053053102,0.001565607706061088,1.306004637048809,24.06680301302511,0.9363059807536533,0.989523053683846,186057982895.3271,18083.25309630123,0.0013485171988061,1.306004568773872,20.22819525635132,0.9363059526409414,0.9895229876940544
random_IR_0004.npz,random_IR_0004.npz,76.58793520927429,2.893159944505896e-06,1,8493,149,57,SmoothMSS,3.158924755553016e-06,3325.178466796875,31.58919856348528,0.0002117715656011947,True,16.94083693915452,25.51222279053407,58.93638644467236,90475252018.15359,4489.17189104904,0.003773710909340062,3.417559891174931,998.4317125421909,0.5802429909632827,0.9728877609759747,164907916263.1111,4653.559206335945,0.0028459174490117,3.417559836228498,780.5313709946926,0.5802431108304328,0.972887769354296
random_IR_0005.npz,random_IR_0005.npz,91.72538471221924,4.968279654349317e-07,1,5936,106,56,SmoothMSS,4.901304464510758e-07,3549.271240234375,33.71807726770077,0.0008847542340848403,True,52.71571036662895,5.059944757684901,5.858488001200103,108037618128.6845,17406.80014920284,0.003028454966724203,2.613360014493185,308.8343566576356,0.7885326967463144,0.5192070857634871,136791000829.1319,16985.59336136327,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814
random_IR_0006.npz,random_IR_0006.npz,69.57862663269043,7.294310080396826e-07,1,5605,95,59,SmoothMSS,9.137484084931202e-07,3118.31005859375,29.62394646170842,0.008893558109734008,True,45.6029810229157,8.97684240989684,8.86882799578289,120610448129.7469,13542.4869109775,0.00336740078263986,2.891142727014436,404.4449947871906,0.6861588159554723,0.7241455882570014,171318505762.8329,20172.46387607493,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774
random_IR_0007.npz,random_IR_0007.npz,1569.415105581284,6.296313586062752e-07,13,33114,742,40,SmoothMSS,9.348036087430955e-07,3387.22802734375,32.1786671856886,0.00114283661280311,True,27.24942741199783,0.902805027959674,35.73128399675155,127644110187.4978,21053.43757017478,0.001294298250400712,3.12313027326352,973.6570296069611,0.5731741272499458,0.6645599063107711,99188531844.29764,15037.9919488214,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501
random_IR_0008.npz,random_IR_0008.npz,608.4330189228058,3.526978389345459e-07,2,27271,571,43,SmoothMSS,3.7396466723294e-07,3545.186279296875,33.67927002373231,0.0002261488734673926,True,65.11338883894349,3.761797315319036,6.362696781674027,94941815439.84601,21187.67999455903,0.00307317218570719,2.154761011673989,414.2967496094353,0.6123495738529323,0.5890416999562572,82612856044.4483,21011.42815551345,0.0032807870816715,2.154761235733606,438.6071274471857,0.612349610486469,0.5890416637636482
random_IR_0009.npz,random_IR_0009.npz,1213.048476219177,532.6783447265625,20,56022,1332,41,SmoothMSS,6.127810365796904e-07,3467.662841796875,32.94279760402993,0.03244817784866915,True,55.82086852569451,7.489357067475885,4.636464754885368,100765998425.3505,15503.74835737175,0.003600475655240669,3.361734323988227,258.8114895064725,0.5100000238271422,0.8292283804281073,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984
random_IR_0010.npz,random_IR_0010.npz,1071.511910915375,1121.725952148438,20,58465,1035,59,SmoothMSS,1.306965145886352e-06,2945.5380859375,27.98261311095522,0.1191837243304441,True,33.51364831025832,19.37746172847769,13.01780493188827,199146134822.1563,10086.06963917476,0.003322765904777196,3.176657452448686,436.2741362588497,0.7176809732292195,0.7769316001473225,81856495196.33838,17864.67272114118,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419
random_IR_0011.npz,random_IR_0011.npz,71.41207528114319,7.876411700635799e-07,1,4200,120,35,SmoothMSS,7.798921615176369e-07,2958.4150390625,28.10494364357693,1.413282714867478e-07,True,39.76820706483593,9.58565127561795,24.62055450225168,145380822525.3312,12870.68512247716,0.003089828294795696,3.931732379744648,979.1153094966236,0.5292022466165798,0.6485753951226563,180107327647.9402,13801.09577120686,0.0028746048065908,3.931732448538848,976.7613205794552,0.5292020182046171,0.6485754116624407
random_IR_0012.npz,random_IR_0012.npz,782.1581139564514,843.5789794921875,20,41210,912,45,SmoothMSS,5.783754204458091e-07,2967.947509765625,28.19550191565429,0.1619424658642848,True,83.92295403741431,10.71212134955554,5.657817403859825,129086021581.8269,19612.70870933704,0.004279008844783435,2.599591740363147,474.8207499362109,0.7911208420054592,0.6566705318325324,130382238160.7445,8408.083772606749,0.0021845607900885,1.44857002751819,118.7365316770545,0.5414322732109044,0.8493113384913098
random_IR_0013.npz,random_IR_0013.npz,47.737713098526,4.96637039759662e-06,1,4917,149,33,SmoothMSS,4.890589480055496e-06,4550.63916015625,43.23107686561325,0.0001277399952757844,True,11.52191757772786,13.96567098949555,60.48840519675559,162775598548.9357,5161.883121905889,0.002232115161389725,2.743144324172412,696.9424190852236,0.9653552279726683,0.6660987589018044,155119813820.0954,4196.081602258703,0.0020615579637577,2.743144217199068,523.252820986165,0.965355136812345,0.6660987867011486
random_IR_0014.npz,random_IR_0014.npz,856.2540607452393,851.177490234375,20,23160,386,60,SmoothMSS,8.397629471801338e-07,2913.5576171875,27.67879819506645,0.0253534014264277,True,27.91181119194168,5.920754331165935,0.154726123153815,214928877173.0779,13597.12472002143,0.002052773050676091,3.937219102329563,4.3186863359304,0.7725178917360734,0.5643132690121748,95028278387.08888,7870.83454740738,0.0015271914496175,3.035490101894677,716.3300408465243,0.7973913380569407,0.5198526976318718
