filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0019.npz,random_IR_0019.npz,13.521,6.71e-06,1,34,L1_STFT,6.66e-06,0.00119374,True,26.17123296,8.8671394,37.95590561,68366309761.37654,7771.73795648,0.00336749,1.15566037,993.35284785,0.72009673,0.57638236,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,14.49,1.057e-05,1,33,L1_STFT,1.063e-05,0.0082897,True,66.51543227,12.06829728,13.61975519,84482928064.06638,14015.38687322,0.00474589,1.96501862,905.92390353,0.82953063,0.72139502,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,46.395,1.089e-05,1,42,L1_STFT,1.145e-05,0.00496989,True,65.33486054,5.37794468,9.19086423,100039168704.76874,19182.1398412,0.00340603,3.69998502,600.48383275,0.85490544,0.55911113,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,20.046,1.106e-05,1,56,L1_STFT,1.24e-05,2.809e-05,True,18.86265619,50.42947415,49.42568576,100282986648.42372,3976.78396006,0.00474319,3.7664995,932.29971738,0.58962153,0.81162409,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,29.801,1.053e-05,4,60,L1_STFT,1.132e-05,0.00532786,True,39.11894588,16.88648162,14.00058707,106933789022.88373,9514.78946219,0.00411138,1.45907792,547.68820795,0.54389177,0.85174007,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,17.086,1.016e-05,1,40,L1_STFT,1.061e-05,6.4e-07,True,80.96158377,12.80696375,10.72818134,96178114136.57294,16356.05321991,0.00494995,2.41527368,868.57055213,0.51573992,0.68638925,197937911386.0695,20769.80429405,0.00388822,2.41527378,866.38366211,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,272.553,1.232e-05,28,58,L1_STFT,1.26e-05,0.00041381,True,10.98931439,7.14928402,89.50876769,77873150834.00095,4889.95230922,0.00224733,3.21697269,983.63998898,0.51907569,0.89891181,97599468309.14922,3451.55418078,0.00168652,3.21697263,521.04139584,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,36.165,7.15e-06,1,49,L1_STFT,7.29e-06,0.00036797,True,32.45025295,2.31163111,24.86569418,79409868230.92073,14759.77935882,0.00219856,1.74938154,806.89806594,0.59070004,0.81452441,71871356218.2901,15672.99075616,0.00238141,1.7493816,928.08201265,0.59070014,0.81452442
random_IR_0027.npz,random_IR_0027.npz,41.733,1.104e-05,1,42,L1_STFT,1.214e-05,5.67e-05,True,29.18157704,3.60899274,34.25991434,130931770085.00552,14003.65303139,0.00208385,2.77396294,999.75832985,0.79905579,0.86775981,148951818862.8186,13972.55997216,0.00195157,2.77396291,934.21465578,0.79905589,0.86775979
random_IR_0028.npz,random_IR_0028.npz,16.381,1.457e-05,1,54,L1_STFT,1.564e-05,0.0149848,True,46.47714612,21.31155872,13.6473948,153565963798.5467,11142.9978307,0.00417097,2.00464038,634.29196225,0.8723799,0.75032481,211488975667.54184,5930.42851055,0.00259288,2.00464049,209.85165054,0.87237989,0.75032482
random_IR_0029.npz,random_IR_0029.npz,42.464,9.78e-06,1,60,L1_STFT,9.72e-06,0.02452947,True,61.16948729,3.91597443,2.71481283,92781885989.89279,19899.71404359,0.00307389,1.75950239,166.06370909,0.85120826,0.69509842,114704769945.09769,10597.03256049,0.00201743,1.75950242,58.03858003,0.85120831,0.6950984
random_IR_0030.npz,random_IR_0030.npz,77.775,1.332e-05,4,30,L1_STFT,1.426e-05,0.00303684,True,30.70399583,0.96286219,4.02672974,109896288229.71317,21226.84205304,0.00144647,1.62085068,123.63669314,0.77292377,0.94936887,136415617217.07494,15202.58414177,0.00109871,1.62085066,67.25895897,0.77292381,0.94936893
random_IR_0031.npz,random_IR_0031.npz,57.563,1.405e-05,1,41,L1_STFT,1.491e-05,0.0001637,True,17.03423589,2.94722364,48.10633041,140040135014.83044,10701.48564742,0.00159176,3.9719829,819.45457999,0.88160548,0.66680836,70159602918.25648,7380.46068266,0.00186759,3.97198295,663.08157232,0.88160554,0.6668084
random_IR_0032.npz,random_IR_0032.npz,25.81,1.426e-05,1,60,L1_STFT,1.419e-05,0.00506623,True,29.71695511,14.0594794,17.38585677,147540330594.19885,9374.16374671,0.00317009,2.2120452,516.65472521,0.6440357,0.90104293,200515550283.45148,14254.85865951,0.00335327,2.21204529,831.05014475,0.6440356,0.90104295
random_IR_0033.npz,random_IR_0033.npz,8.042,1.83e-05,1,45,L1_STFT,2.086e-05,0.00095783,True,23.32091755,67.28191105,22.04639297,159119445370.41956,4853.49471254,0.00480497,1.63834414,514.14211284,0.86811949,0.63443139,211947700344.80545,6481.54432973,0.00481117,1.63834424,687.49140151,0.86811935,0.6344314
random_IR_0034.npz,random_IR_0034.npz,41.71,8.88e-06,4,55,L1_STFT,9.34e-06,0.0363036,True,67.85972083,17.4976927,1.31984186,159775293679.46265,15519.11023724,0.00437266,1.71860467,89.56409992,0.69334341,0.73715195,131976876718.98044,6330.43741829,0.0030728,1.71860473,25.67246143,0.69334329,0.73715196
random_IR_0035.npz,random_IR_0035.npz,54.626,1.335e-05,8,43,L1_STFT,1.492e-05,7.37e-05,True,17.71038627,31.37181971,55.62705957,160528831935.56512,5225.2325859,0.0033894,1.90512306,985.17671224,0.57471339,0.86126127,146159003394.57947,4639.59889209,0.00334714,1.90512325,863.85696737,0.57471337,0.86126124
random_IR_0036.npz,random_IR_0036.npz,15.446,2.543e-05,1,37,L1_STFT,2.684e-05,0.01751651,True,50.43288046,25.99833765,10.90452525,195733992477.46478,11939.84163381,0.00422392,2.24857306,549.94661861,0.68425025,0.97081167,141672610939.29004,5153.13787566,0.00326169,2.24857314,183.28800342,0.68425024,0.97081165
random_IR_0037.npz,random_IR_0037.npz,20.787,3.228e-05,1,52,L1_STFT,3.484e-05,4.456e-05,True,17.6680168,53.7398898,56.58150691,101046019530.44713,3736.64501189,0.00472831,3.31944312,999.68301448,0.7963933,0.98134881,151485447898.1282,3998.34178631,0.00399465,3.31944324,903.72070255,0.79639327,0.98134883
random_IR_0038.npz,random_IR_0038.npz,10.822,1.66e-05,1,35,L1_STFT,1.683e-05,0.02819766,True,48.03962047,26.17302675,18.65254099,123439585870.68628,9890.44213975,0.00485718,1.94722787,896.06098984,0.83825905,0.89472493,209217985469.20517,2738.87703632,0.00196332,1.94722783,100.30293933,0.83825911,0.89472493
