filename,est_E,est_rho,est_h,est_Ly,est_T0,est_op_x,est_op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y,est_mu,est_D_div_mu,est_T0_div_mu,refined_mu,refined_D_div_mu,refined_T0_div_mu,refined_Ly,refined_op_x,refined_op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,mu_orig,mu_refined,mu_gt,mu_orig_err,mu_refined_err,loss_orig,loss_refined,loss_delta,nmse_orig,nmse_refined,nmse_delta,nmse_summary_orig,sanity_ok,sanity_grid_min_mu,total_evaluations,elapsed_s
random_IR_0001.npz,150181544501.4293,18413.46403710465,0.0043598119851721,2.691559177955708,988.9475019100493,0.826487997046569,0.7244176893156065,131819184298.85242,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193,80.2792411975043,13.780471202428439,12.318844662183894,48.93051330552426,13.780471202428439,12.318844662183894,2.691559177955708,0.826487997046569,0.7244176893156065,48.93048279274982,13.78047400625313,12.31885144054203,80.2792411975043,48.93051330552426,48.93048279274982,31.348758404754484,3.0512774436886048e-05,4.321508040305844e-09,8.740071519167461e-14,-4.321420639590652e-09,0.015225249673459564,2.5587325276178638e-14,-0.015225249673433977,0.0152252496734608,True,51.560526315789474,122,1.047
random_IR_0002.npz,156604845473.4373,19444.8410702765,0.0049999807486617,3.686141644571246,443.5127601768152,0.7883420455341161,0.9635423674814296,147920922722.1944,17314.430715954095,0.0048546510420041,3.686141702268032,383.44768441058943,0.7883418349360268,0.963542352763404,97.22383101216886,17.897193738789014,4.561770047112253,84.05543135816527,17.897193738789014,4.561770047112253,3.686141644571246,0.7883420455341161,0.9635423674814296,84.05551911691434,17.897192258481063,4.561838275928618,97.22383101216886,84.05543135816527,84.05551911691434,13.168311895254519,-8.775874907485104e-05,2.7572302774281354e-10,3.289329122664955e-14,-2.756901344515869e-10,0.00268648204415302,1.5491125978493422e-13,-0.0026864820439981086,0.0026864820441533,True,84.3142105263158,122,1.236
random_IR_0003.npz,168718395405.9545,10122.90309292684,0.0042353879788795,2.61156104390027,997.4150932872606,0.8731423860278509,0.989509007775026,186057982895.32712,18083.253096301232,0.0013485171988061,1.3060045687738722,20.22819525635132,0.9363059526409414,0.9895229876940544,42.874422071144444,26.576099059172634,23.26363937062946,4.956239825753105,26.576099059172634,23.26363937062946,2.61156104390027,0.8731423860278509,0.989509007775026,24.385577810725874,1.6631530041768487,0.8295146997687317,42.874422071144444,4.956239825753105,24.385577810725874,18.48884426041857,-19.42933798497277,1.6708527894593317e-08,7.835645909892719e-09,-8.872881984700598e-09,0.04490220314425081,0.045454696608741664,0.0005524934644908566,0.0449022031442515,True,7.888947368421054,122,0.757
random_IR_0004.npz,216404202544.6432,5857.928291961917,0.0027873376566007,3.417559753150448,962.3169015193132,0.5802432890251701,0.9728876913128852,164907916263.11115,4653.5592063359445,0.0028459174490117,3.4175598362284982,780.5313709946926,0.5802431108304328,0.972887769354296,16.32802411785207,25.51222175158832,58.93651886924728,13.243664219132278,25.51222175158832,58.93651886924728,3.417559753150448,0.5802432890251701,0.9728876913128852,13.243645345320504,25.51222490269219,58.93629364444471,16.32802411785207,13.243664219132278,13.243645345320504,3.084378772531567,1.8873811773900684e-05,2.487511752136129e-09,2.1868196543959467e-13,-2.4872930701706894e-09,0.00014738698834660513,8.188827222785163e-14,-0.00014738698826471686,0.0001473869883466,True,13.347894736842106,122,0.982
random_IR_0005.npz,80564913864.46896,13392.11948080911,0.0030761027087486,2.613360000691148,241.3443949951373,0.7885326426972012,0.5192069364225169,136791000829.13193,16985.593361363273,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814,41.1955350108018,5.059944736562992,5.858508572151202,45.15873522487762,5.059944736562992,5.858508572151202,2.613360000691148,0.7885326426972012,0.5192069364225169,45.15870974181389,5.059946047841708,5.858514737491241,41.1955350108018,45.15873522487762,45.15870974181389,-3.9631747310120886,2.5483063730291633e-05,2.506283625081096e-09,1.4955148664591578e-13,-2.50613407359445e-09,0.00024333813424753123,1.3498853468575725e-14,-0.00024333813423403237,0.0002433381342475,True,46.101578947368424,122,1.611
random_IR_0006.npz,103075880322.0003,19741.01238198165,0.0043978895669002,2.891143021521786,769.9783531285415,0.6861588863901693,0.7241455918314692,171318505762.83295,20172.463876074933,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774,86.81879239476477,8.97684546377592,8.868798239296538,69.56239695787511,8.97684546377592,8.868798239296538,2.891143021521786,0.6861588863901693,0.7241455918314692,69.5623792973453,8.976845948324273,8.868843098331634,86.81879239476477,69.56239695787511,69.5623792973453,17.25641309741947,1.766052980656241e-05,2.299509249681364e-09,7.819156970121852e-14,-2.299431058111663e-09,0.00461343908687593,1.0079604359708614e-14,-0.00461343908686585,0.004613439086876,True,67.93736842105264,122,1.327
random_IR_0007.npz,172551910608.7841,17667.6749647171,0.0010171728980834,3.95635977756132,760.222501394919,0.5612163614147582,0.632503942289897,99188531844.29764,15037.991948821396,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501,17.97108014625682,0.8982090146896602,42.302549162759426,13.870859549004507,0.8982090146896602,42.302549162759426,3.95635977756132,0.5612163614147582,0.632503942289897,18.66067257871993,0.9028050531466348,35.73129773140534,17.97108014625682,13.870859549004507,18.66067257871993,-0.6895924324631082,-4.789813029715422,2.142238741953406e-08,1.6203090424937727e-08,-5.219296994596334e-09,0.014621259341786161,0.014969327579743725,0.00034806823795756336,0.014621259341786,True,13.347894736842106,122,5.587
random_IR_0008.npz,181170810019.9979,18334.70290248237,0.0020695066649309,2.154761175075099,241.4267634687588,0.6123497464439794,0.5890416763790803,82612856044.4483,21011.42815551345,0.0032807870816715,2.1547612357336057,438.60712744718575,0.612349610486469,0.5890416637636482,37.94378985621518,3.761798123169913,6.36274774827779,68.93400960972082,3.761798123169913,6.36274774827779,2.154761175075099,0.6123497464439794,0.5890416763790803,68.93402206007737,3.761799410073101,6.362709070782652,37.94378985621518,68.93400960972082,68.93402206007737,-30.990232203862185,-1.2450356550175457e-05,2.8069118584994612e-08,1.3495311096921314e-13,-2.8068983631883643e-08,0.014878988020031856,1.6895068916651838e-14,-0.014878988020014961,0.0148789880200307,True,67.93736842105264,122,1.527
random_IR_0009.npz,117675494229.3956,10544.90073778098,0.0021727865680421,2.994014280832741,755.442044759067,0.5640837325569883,0.8316014212926155,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984,22.91181868438774,4.683010680481722,32.97171888296367,14.14290281616212,4.683010680481722,32.97171888296367,2.994014280832741,0.5640837325569883,0.8316014212926155,14.142898938783146,4.683010453498064,32.971748703501625,22.91181868438774,14.14290281616212,14.142898938783146,8.768919745604594,3.8773789743373754e-06,2.3319660868992287e-08,3.6853389806003334e-13,-2.3319292335094227e-08,0.001191285687800444,1.0861802392230775e-14,-0.0011912856877895823,0.0011912856878005,True,13.347894736842106,122,1.91
random_IR_0010.npz,196341367541.4626,16864.11682471963,0.0043344224411183,3.483561990551338,914.3633354012718,0.7213431406318225,0.785119680021765,81856495196.33838,17864.672721141178,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419,73.09620641470545,19.442770931891907,12.509039528176126,5.494207700229188,19.442770931891907,12.509039528176126,3.483561990551338,0.7213431406318225,0.785119680021765,31.91219093779357,1.2996567710331561,11.55456496634862,73.09620641470545,5.494207700229188,31.91219093779357,41.18401547691188,-26.417983237564385,6.386927253743124e-08,2.7719615047772095e-08,-3.614965748965915e-08,0.16920622246354233,0.15374132367150925,-0.015464898792033083,0.1692062224635432,True,7.888947368421054,122,1.13
