step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
2499,9,9,0.000913517,10,0,0,4.90942e-05,4.95674e-05,9.49384e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.618487,5.07449,12.6595,1.21344,0.174576,6.17798,0.0665058,0.0560785,0.038908,0.0703496,0.126737,0.106961,0,4.76719,0,
2549,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,10,10,0.000904382,10,0,0,4.90868e-05,4.94812e-05,9.47235e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.59347,4.80238,12.4911,1.1698,0.156475,5.95901,0.0633233,0.0557824,0.0351469,0.0675007,0.128289,0.0932202,0,4.63107,0,
2799,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2849,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2949,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2999,11,11,0.000895338,10,0,0,4.88912e-05,4.94285e-05,9.46798e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.573375,4.87831,12.0536,1.12603,0.157033,5.48931,0.0631954,0.0568369,0.0358618,0.0583074,0.121858,0.106308,0,5.06918,0,
3049,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,
3099,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,
