filename,target_npz,runtime,best_loss,n_restarts_run,total_evaluations,cmaes_gen_count,best_popsize,loss_name,gt_loss,terrain_mean,early_threshold,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,104.4460844993591,9.066186066775117e-06,3,9123,225,43,L1_STFT_2048,1.0108417882293e-05,0.6309441924095154,0.006003982215802807,0.01597320090438828,True,81.0400247446391,13.78047032242112,12.3188709573661,167277981536.6363,19207.630044802,0.004219157936487343,2.691559153315872,998.3216072109647,0.8264881419688058,0.7244176120176834,131819184298.8524,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193
random_IR_0002.npz,random_IR_0002.npz,63.97150897979736,1.498213896411471e-05,1,5343,137,39,L1_STFT_2048,1.526040796306916e-05,0.7025108933448792,0.006688968920863772,0.01488498216310715,True,53.05904518545566,17.89718894280506,4.56197510962762,219782721073.6487,14538.68143088159,0.003649508756189749,3.686141789946852,242.0540434766559,0.7883417079171861,0.963542335983868,147920922722.1944,17314.43071595409,0.0048546510420041,3.686141702268032,383.4476844105894,0.7883418349360268,0.9635423527634041
random_IR_0003.npz,random_IR_0003.npz,121.7692258358002,3.026194281119388e-05,1,9964,212,47,L1_STFT_2048,3.336820009280927e-05,1.079517483711243,0.01028846729744873,5.631434992072974e-09,True,24.36651233686973,1.663152876486267,0.8295052476257125,98555601618.92908,14623.82970109792,0.001666219645257518,1.306004655290141,20.21214984977011,0.9363059183911139,0.9895229561949322,186057982895.3271,18083.25309630123,0.0013485171988061,1.306004568773872,20.22819525635132,0.9363059526409414,0.9895229876940544
random_IR_0004.npz,random_IR_0004.npz,106.7375497817993,1.692450859991368e-05,3,11323,226,46,L1_STFT_2048,1.883296499727294e-05,0.7632059454917908,0.007269110534001811,2.045364673372771e-05,True,14.39265454804209,25.51222049320552,58.93667163861657,83004954467.48651,3912.866332736057,0.003678289347026604,3.417559771808722,848.2551551059983,0.5802430107212447,0.9728877985032551,164907916263.1111,4653.559206335945,0.0028459174490117,3.417559836228498,780.5313709946926,0.5802431108304328,0.972887769354296
random_IR_0005.npz,random_IR_0005.npz,77.39196181297302,6.288521944952663e-06,1,4687,109,43,L1_STFT_2048,6.373104497470194e-06,0.7045433521270752,0.006699474405211958,0.01043987488963483,True,71.11757955298316,5.059944332365229,5.858540294329826,104329760298.3096,21006.54494227202,0.003385496270253914,2.61335984623279,416.6452054463588,0.7885326021734973,0.5192070261289693,136791000829.1319,16985.59336136327,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814
random_IR_0006.npz,random_IR_0006.npz,66.08907532691956,8.121263817884028e-06,1,4800,150,32,L1_STFT_2048,8.911655640986282e-06,0.6654603481292725,0.006330700302140485,0.0003726219068732141,True,74.46662618654518,8.976845001630744,8.868832842069173,169212481983.1868,21022.92628796062,0.003542162740169555,2.891142973577849,660.4320599613202,0.6861587989286698,0.7241455936680858,171318505762.8329,20172.46387607493,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774
random_IR_0007.npz,random_IR_0007.npz,170.1716876029968,6.739637683494948e-06,1,4144,112,37,L1_STFT_2048,8.640026862849481e-06,0.6850574612617493,0.006516603828594271,4.002944126905792e-05,True,17.05325802042248,0.9028049334447802,35.73129012347052,169336370052.3404,16925.42211457634,0.001007552893214761,3.123130343499115,609.3349098781163,0.573173819815059,0.6645598608401578,99188531844.29764,15037.9919488214,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501
random_IR_0008.npz,random_IR_0008.npz,83.56398820877075,4.99170710099861e-06,1,5311,113,47,L1_STFT_2048,5.14187468070304e-06,0.7819654941558838,0.007433765221352132,0.01613937967488211,True,36.65788489170713,3.761798498436954,6.362718469260072,75315974548.16977,13372.86986464928,0.00274121301281866,2.154761025313906,233.2438012444747,0.6123496817626469,0.5890416442539446,82612856044.4483,21011.42815551345,0.0032807870816715,2.154761235733606,438.6071274471857,0.612349610486469,0.5890416637636482
random_IR_0009.npz,random_IR_0009.npz,517.7390508651733,0.1918929368257523,20,14198,335,40,L1_STFT_2048,8.124554369715042e-06,0.6645271182060242,0.006321054994060432,0.01663354395488564,True,43.284377939732,6.707207535344883,14.81497444458125,206523635655.0529,17244.31517598213,0.002510066505860347,3.290487773667761,641.2569530267263,0.5212900061703167,0.8183245621672761,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984
random_IR_0010.npz,random_IR_0010.npz,416.5685541629791,0.3188687860965729,20,13143,318,47,L1_STFT_2048,9.908267202263232e-06,0.6274954676628113,0.005971021081460548,0.01463664899876382,True,26.34213492137926,1.267053888623386,18.48090330148138,144679364544.8423,19168.44903827771,0.00137424446123817,1.811592302138074,486.826448236586,0.9032922960984833,0.688491820367182,81856495196.33838,17864.67272114118,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419
