filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,ir_peak_abs,effective_tolfun,effective_tolfunhist,effective_early_stop_loss,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,189.0359833240509,2.306481611605293e-12,8,51,L1_STFT,1.423931979339465e-07,1.423931979339466e-12,1.423931979339466e-12,1.423931979339465e-09,2.416351407158457e-12,3.471893064457518e-15,True,23.00183778031029,0.785503649320631,11.78885503712604,135749252858.6923,20105.76476314179,0.001144041922865706,1.629004288656194,271.165331179567,0.9103368996501728,0.9261216018981009,154385278374.0452,20986.65799486972,0.0010960215059689,1.629004311359496,271.1647040630965,0.9103369441722108,0.9261215828040376
random_IR_0002.npz,random_IR_0002.npz,29.09145879745483,2.398453343484958e-13,1,38,L1_STFT,1.992947111147161e-08,1.992947111147161e-13,1.992947111147161e-13,1.992947111147161e-10,2.582573640618618e-13,4.555006714975924e-14,True,72.02012349755466,5.18223693476846,4.649043783977125,77153926165.22855,19004.88833830179,0.003789557834570795,2.399941346823008,334.8247074675714,0.8565823933216973,0.5959860388557028,101750179040.2635,20841.26919150112,0.0034556472708998,2.399941554077606,334.8224555616831,0.8565824864800621,0.5959860847348213
random_IR_0003.npz,random_IR_0003.npz,22.69128465652466,1.146717811852105e-13,1,47,L1_STFT,9.483291473523358e-09,9.483291473523359e-14,9.483291473523359e-14,9.483291473523358e-11,1.219342687800232e-13,2.337605221159881e-14,True,66.48154384561238,24.53451000302726,14.74888555608918,147158099296.6822,13307.16321532868,0.004995921577713235,3.201025941145744,980.5286817710618,0.5953406418026023,0.7928704531719046,164409298037.8986,13808.06265932994,0.0048146881572359,3.201026091446231,980.5350009393942,0.5953406704269375,0.7928704477021147
random_IR_0004.npz,random_IR_0004.npz,29.81885266304016,2.30155456325265e-12,1,59,L1_STFT,2.748234025077776e-07,2.748234025077776e-12,2.748234025077776e-12,2.748234025077776e-09,2.241656079510213e-12,2.011235421680205e-15,True,17.50908580946544,3.538590779176029,49.60949260059216,147790140729.7267,10440.70552823692,0.001677002168302905,1.52490961291614,868.6168629078086,0.636478962283768,0.6165734084713126,205363668024.1429,11650.80190838558,0.0015028222001681,1.52490976820156,868.6165903186095,0.6364789948748688,0.6165734386502543
random_IR_0005.npz,random_IR_0005.npz,9.369574308395386,4.265759566326327e-13,1,34,L1_STFT,5.620426806518436e-08,5.620426806518436e-13,5.620426806518436e-13,5.620426806518436e-10,4.492985302383123e-13,2.352037977509379e-14,True,80.57109665058152,14.43502655964043,3.670739675526723,112537784781.6819,16508.04335169999,0.004880717534721299,1.170112106405484,295.7555211759878,0.5790735321560593,0.6470975728873158,199016111583.1689,19962.98451852984,0.0040360233904972,1.170112061108502,295.7647067564334,0.5790735753618601,0.6470975835269249
random_IR_0006.npz,random_IR_0006.npz,37.1975429058075,2.618368033242141e-13,1,32,L1_STFT,1.144273633415028e-08,1.144273633415028e-13,1.144273633415028e-13,1.144273633415028e-10,2.728543844858489e-13,4.309072073165097e-14,True,39.41903095638985,6.364244141273979,2.36002587567269,205176292713.6927,16451.79303211896,0.002396032510221334,3.455375596783161,93.02993305102282,0.9340607490026407,0.6867871722919403,105388096384.004,13175.53740362656,0.0029918381252356,3.455375841698201,93.03095125264358,0.9340606379250824,0.6867872332857474
random_IR_0007.npz,random_IR_0007.npz,25.58960223197937,1.498162488164367e-13,1,44,L1_STFT,8.240788615299249e-09,8.240788615299251e-14,8.240788615299251e-14,8.240788615299249e-11,1.722769875974611e-13,2.891040259966299e-14,True,68.03748283092183,12.91773014236049,3.041184793211645,178672086913.3391,17854.10776530764,0.003810746732644106,3.096821833605233,206.9145581537978,0.8306392968623544,0.902098402814127,164171697297.2778,17357.4219905612,0.0039197903411249,3.096821631357336,206.9211494758442,0.8306393700168442,0.9020984681813456
random_IR_0008.npz,random_IR_0008.npz,30.90361618995667,4.936624026230518e-13,1,34,L1_STFT,4.027341068703508e-08,4.027341068703508e-13,4.027341068703508e-13,4.027341068703508e-10,5.051577645770466e-13,6.598507212397638e-15,True,17.17201015175667,7.958142204563036,10.47731413431177,82512327133.23486,6477.373851524481,0.002651075967726512,3.845940187155453,179.9165446775454,0.8565387745546438,0.806695308985093,134331185174.0302,7619.942296014008,0.0022535623289112,3.84594004559189,179.9173035069168,0.8565386971537878,0.806695307166941
random_IR_0009.npz,random_IR_0009.npz,23.11453366279602,1.615911316430255e-13,1,40,L1_STFT,1.492698084634712e-08,1.492698084634712e-13,1.492698084634712e-13,1.492698084634712e-10,1.609702768214788e-13,4.019866240540169e-14,True,41.34938705565816,20.20455669565029,3.113467994382122,137228635661.2162,10106.33484125247,0.004091432522785259,3.885635684852581,128.7399931851101,0.5969835698995913,0.8757171713450378,81721930932.82014,8502.722025667827,0.0048630714392902,3.885635824691938,128.7365722500374,0.5969834797637601,0.8757171699588575
random_IR_0010.npz,random_IR_0010.npz,46.04177713394165,3.787063111021505e-12,1,38,L1_STFT,2.287414091320706e-07,2.287414091320706e-12,2.287414091320706e-12,2.287414091320706e-09,3.803452344741665e-12,4.909818589106035e-15,True,13.89820388161185,0.9808046018045151,32.96598289654665,130458576210.907,13168.96544048083,0.001055375530023746,1.596781247824108,458.1679514539343,0.9435309392014986,0.6440024445980339,67916696394.35557,10593.8277175188,0.0013119152156106,1.596781293900973,458.1676077660117,0.9435308756034988,0.6440024906136808
random_IR_0011.npz,random_IR_0011.npz,45.02783727645874,3.178491324307142e-12,2,31,L1_STFT,2.013389968366809e-07,2.013389968366809e-12,2.013389968366809e-12,2.013389968366809e-09,3.110013982454696e-12,1.750342466030563e-14,True,15.3507401960393,5.458840398325377,61.84724524135831,210717694306.7964,9316.130777443281,0.00164775919990382,1.210220622476744,949.4009935408191,0.8748257389026488,0.8597069630319393,84189358915.81531,6861.52456029649,0.0022372176639685,1.21022066536379,949.4017345334386,0.874825713325377,0.8597069469366065
