step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CF_DELAY_0,train/param_grad/CF_DEPTH_0,train/param_grad/CF_MIX_0,train/param_grad/CF_RATE_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/param,val_id/param_group/chorus_delay_ms,val_id/param_group/chorus_depth,val_id/param_group/chorus_mix,val_id/param_group/chorus_rate,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
1799,7,,0.000932065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,7,,0.000932065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,7,,0.000932065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,7,,0.000932065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,7,7,0.000932065,10,0,0,6.0939e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.08869e-05,0.015625,0.015625,0.980007,5.89446,12.2623,1.50131,0.138972,0.103771,0.210357,0.212223,0.145593,0.151187,0.0800252,0.0550126,0.0112549,0.0598139,0.112241,0,4.69855,0,5.78606,16.5488,2.5823,0.327468,0,0,8.32665,0
2049,8,,0.000922745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2099,8,,0.000922745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2149,8,,0.000922745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2199,8,,0.000922745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2249,8,8,0.000922745,10,0,0,6.08996e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.08389e-05,0.015625,0.015625,0.9571,6.3344,12.6057,1.55948,0.16717,0.100801,0.213487,0.210855,0.127924,0.149599,0.0756408,0.0552157,0.0101562,0.0625349,0.102595,0,6.15945,0,6.30278,17.4624,2.70946,0.375459,0,0,10.3858,0
2299,9,,0.000913517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,9,,0.000913517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,9,,0.000913517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,9,,0.000913517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499,9,9,0.000913517,10,0,0,6.09325e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.08388e-05,0.015625,0.015625,0.932756,6.02238,12.1353,1.50072,0.144255,0.0968411,0.21073,0.204133,0.123363,0.13888,0.0707009,0.0531444,0.00960411,0.0505295,0.107326,0,5.49054,0,5.95847,17.1098,2.63554,0.364199,0,0,10.0358,0
2549,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,10,10,0.000904382,10,0,0,6.09106e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.08039e-05,0.015625,0.015625,0.905693,5.95908,12.4652,1.52728,0.145077,0.0950234,0.205862,0.200539,0.123943,0.132081,0.0699309,0.0538764,0.010225,0.0564194,0.0973572,0,5.07352,0,6.12525,17.4401,2.67097,0.352451,0,0,9.17933,0
2799,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2849,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2949,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2999,11,11,0.000895338,10,0,0,6.08664e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.07642e-05,0.015625,0.015625,0.885486,6.11673,12.4361,1.52312,0.138523,0.0982133,0.219596,0.20889,0.124136,0.136541,0.0721696,0.056862,0.00862828,0.0602405,0.0950705,0,5.17602,0,6.43097,17.6553,2.69859,0.355117,0,0,9.73422,0
