filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,fixed_mu,mu,D_div_mu,T0_div_mu,Ly,op_x,op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,gt_Ly,gt_op_x,gt_op_y
random_IR_0024.npz,random_IR_0024.npz,247.63,0.00016571,60,L1_STFT,1.093e-05,0.0,True,54.29,54.29,12.80719342,10.72198081,2.41527972,0.51573643,0.68639047,80.75761826,12.80696586,10.7281973,2.41527378,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,398.827,0.00015217,52,L1_STFT,1.349e-05,0.0,True,54.29,54.29,7.14929729,89.49057527,3.2169726,0.51907355,0.89891305,5.8211107,7.14928419,89.50893096,3.21697263,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,370.715,0.00016368,39,L1_STFT,6.86e-06,0.0,True,54.29,54.29,2.31164107,24.86626235,1.74937578,0.59068563,0.81452936,37.32376555,2.31163143,24.86571221,1.7493816,0.59070014,0.81452442
random_IR_0027.npz,random_IR_0027.npz,473.009,0.00010331,53,L1_STFT,1.154e-05,0.0,True,54.29,54.29,3.60902962,34.25966856,2.77396351,0.79904975,0.8677594,27.26844683,3.60899387,34.25991446,2.77396291,0.79905589,0.86775979
random_IR_0028.npz,random_IR_0028.npz,206.755,0.00014302,58,L1_STFT,1.564e-05,0.0,True,54.29,54.29,21.31168754,13.63001832,2.00464271,0.8723849,0.75032249,15.37691467,21.31156757,13.64718833,2.00464049,0.87237989,0.75032482
random_IR_0029.npz,random_IR_0029.npz,471.061,0.0001376,56,L1_STFT,9.65e-06,0.0,True,54.29,54.29,3.91595875,2.71342011,1.75950594,0.85121528,0.69509984,21.37872824,3.91597475,2.71478169,1.75950242,0.85120831,0.6950984
random_IR_0030.npz,random_IR_0030.npz,259.559,0.45201126,37,L1_STFT,1.402e-05,0.11290919,True,54.29,54.29,25.45588465,0.00329541,3.64647406,0.68240458,0.84913827,16.70330592,0.96286232,4.02668545,1.62085066,0.77292381,0.94936893
random_IR_0031.npz,random_IR_0031.npz,317.229,0.37120521,57,L1_STFT,1.489e-05,0.03428782,True,54.29,54.29,2.99089546,46.11050805,2.86110516,0.88857059,0.74347039,13.78365934,2.94722471,48.10635229,3.97198295,0.88160554,0.6668084
random_IR_0032.npz,random_IR_0032.npz,159.835,0.46387157,44,L1_STFT,1.45e-05,0.03737395,True,54.29,54.29,13.85333325,157.95542894,2.22739075,0.74996528,0.82604436,47.80036786,14.05948029,17.38585249,2.21204529,0.6440356,0.90104295
random_IR_0033.npz,random_IR_0033.npz,120.659,0.00013719,47,L1_STFT,2.09e-05,0.0,True,54.29,54.29,67.28198066,22.06308959,1.63834446,0.86812824,0.63443472,31.18378978,67.2819372,22.04643523,1.63834424,0.86811935,0.6344314
random_IR_0034.npz,random_IR_0034.npz,199.435,0.00019097,50,L1_STFT,9.34e-06,0.0,True,54.29,54.29,17.49780141,1.32875901,1.71860932,0.69337272,0.73715225,19.45218618,17.49770135,1.31977255,1.71860473,0.69334329,0.73715196
random_IR_0035.npz,random_IR_0035.npz,166.821,9.864e-05,30,L1_STFT,1.308e-05,0.0,True,54.29,54.29,31.37174532,55.64095179,1.90512525,0.57471478,0.86126136,15.52937491,31.37181837,55.62728523,1.90512325,0.57471337,0.86126124
random_IR_0036.npz,random_IR_0036.npz,187.512,0.00023056,52,L1_STFT,2.713e-05,0.0,True,54.29,54.29,25.99838686,10.89773847,2.24857437,0.68427646,0.97081458,16.80791379,25.99834553,10.90486337,2.24857314,0.68425024,0.97081165
random_IR_0037.npz,random_IR_0037.npz,193.36,0.00015167,52,L1_STFT,3.483e-05,0.0,True,54.29,54.29,53.74002273,56.58214083,3.3194454,0.79639778,0.98135027,15.97199393,53.73990798,56.58158316,3.31944324,0.79639327,0.98134883
random_IR_0038.npz,random_IR_0038.npz,161.281,0.00018473,59,L1_STFT,1.612e-05,0.0,True,54.29,54.29,26.17311553,18.61828971,1.94722593,0.83825352,0.89472088,5.3772787,26.17302868,18.65310411,1.94722783,0.83825911,0.89472493
random_IR_0039.npz,random_IR_0039.npz,213.26,0.00019465,56,L1_STFT,2.974e-05,0.0,True,54.29,54.29,18.639118,1.66046827,1.91701427,0.93949176,0.67569968,38.67493295,18.63921116,1.65390401,1.91701731,0.93948757,0.67569789
