step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
2799,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,
2849,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,
2899,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,
2949,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,
2999,11,11,0.000895338,10,0,0,0.000114669,0.03125,0.000113153,0.03125,0.03125,0.430463,6.52268,12.2289,1.1945,0.092113,4.12873,0.0428209,0.0666811,0.0370502,0.00573556,0.0428002,0.0618375,0,5.77577,0,
3049,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,
3099,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,
3149,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,
3199,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,
3249,12,12,0.000886385,10,0,0,0.00011392,0.03125,0.000113035,0.03125,0.03125,0.420672,6.56872,13.932,1.25976,0.111174,5.15159,0.0416177,0.0632684,0.0377493,0.00826196,0.0320554,0.0667538,0,7.2887,0,
3299,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,
3349,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,
3399,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,
3449,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,
3499,13,13,0.000877521,10,0,0,0.000114004,0.03125,0.000112964,0.03125,0.03125,0.408208,6.51938,12.9858,1.23709,0.109399,4.8492,0.0446904,0.0671339,0.0396484,0.00650264,0.0386383,0.0715287,0,6.38284,0,
3549,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,
3599,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,
3649,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,
3699,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,
3749,14,14,0.000868746,10,0,0,0.000113852,0.03125,0.000113325,0.03125,0.03125,0.401447,6.50277,11.7001,1.16961,0.0804,3.72562,0.0394039,0.0616293,0.0351919,0.00453484,0.0338172,0.0618461,0,5.88911,0,
3799,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,
3849,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,
3899,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,
3949,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,
