main_loss,sub_loss,lambda,input_len,n_fft,n_targets,monotonicity,autocorr_length,entropy,metamodel_r2,metamodel_slope,skewness,kurtosis,fdc_7d_global,fdc_6d_global,fdc_7d_q0,fdc_6d_q0,fdc_7d_q1,fdc_6d_q1,fdc_7d_q2,fdc_6d_q2,fdc_7d_q3,fdc_6d_q3,fdc_7d_q4,fdc_6d_q4
l1_stft,l1_cqt,0.25,4096,1024,20,0.6893939393939394,26.5,1.1322785622181861,0.1152839634786219,0.26165235520346686,1.1179146766662598,1.5992090702056885,0.09338345864661653,0.16917293233082706,0.11278195488721804,0.1533834586466165,0.06992481203007518,0.09022556390977443,0.029323308270676685,0.08721804511278194,0.08345864661654134,0.15639097744360902,0.1714285714285714,0.3586466165413534
l1_stft,l1_cqt,0.5,4096,1024,20,0.6893939393939394,26.75,1.1378025895412969,0.11795986981109921,0.26247522872211115,1.0924850106239319,1.5196971893310547,0.08,0.16962406015037593,0.11203007518796992,0.16466165413533831,0.06691729323308271,0.0819548872180451,0.029323308270676685,0.09022556390977443,0.05037593984962405,0.1601503759398496,0.14135338345864662,0.3511278195488722
l1_stft,l1_cqt,1.0,4096,1024,20,0.6818181818181819,26.5,1.1389398690425812,0.12187514604285424,0.26815611587657007,1.0391398668289185,1.4442191123962402,0.06812030075187969,0.15744360902255636,0.07894736842105263,0.14661654135338342,0.051127819548872175,0.08796992481203006,0.047368421052631574,0.07894736842105263,0.020300751879699243,0.16466165413533831,0.14285714285714285,0.3090225563909774
l1_stft,l1_cqt,0.25,4096,2048,20,0.6641414141414141,26.5,1.142510577078176,0.11887612475022426,0.3478070855622712,1.4400326013565063,2.0714943408966064,0.09278195488721803,0.1831578947368421,0.1601503759398496,0.19999999999999996,0.07142857142857142,0.13909774436090222,0.003759398496240601,0.08496240601503759,0.05263157894736842,0.16616541353383457,0.17593984962406012,0.3255639097744361
l1_stft,l1_cqt,0.5,4096,2048,20,0.6691919191919192,26.75,1.1453011698042954,0.12090201320724832,0.3516599732428811,1.4093869924545288,2.0231144428253174,0.08872180451127819,0.1822556390977444,0.14812030075187968,0.19398496240601504,0.06992481203007518,0.14060150375939848,0.005263157894736841,0.08796992481203007,0.05263157894736842,0.16315789473684209,0.1676691729323308,0.3255639097744361
l1_stft,l1_cqt,1.0,4096,2048,20,0.6767676767676767,26.75,1.14249410413781,0.12418862766617693,0.35936575833499773,1.3164617419242859,1.9279532432556152,0.08015037593984961,0.18030075187969924,0.1330827067669173,0.1857142857142857,0.057142857142857134,0.12406015037593984,0.012781954887218044,0.11804511278195487,0.047368421052631574,0.15037593984962405,0.15037593984962405,0.3233082706766917
l1_stft,l1_cqt,0.25,4096,4096,20,0.6590909090909091,28.75,1.1519170854899325,0.12498398535389951,0.5070696519028303,1.5528220534324646,2.335052728652954,0.0738345864661654,0.18496240601503758,0.14736842105263157,0.21804511278195488,0.06165413533834586,0.12406015037593984,-0.03909774436090225,0.09774436090225563,0.013533834586466164,0.15789473684210525,0.18571428571428572,0.3270676691729323
l1_stft,l1_cqt,0.5,4096,4096,20,0.6590909090909091,28.75,1.1516362085117064,0.1268750450873481,0.5111550808629433,1.5185492634773254,2.2879347801208496,0.07278195488721804,0.19037593984962403,0.14661654135338345,0.22255639097744362,0.05639097744360902,0.13533834586466165,-0.03834586466165413,0.08496240601503759,0.013533834586466165,0.1827067669172932,0.18571428571428572,0.32631578947368417
l1_stft,l1_cqt,1.0,4096,4096,20,0.6565656565656566,29.0,1.147852598253826,0.12901151582254186,0.5193260101977479,1.4562899470329285,2.195611000061035,0.07774436090225563,0.18601503759398494,0.15187969924812028,0.218796992481203,0.05563909774436089,0.13909774436090225,-0.03007518796992481,0.08796992481203006,0.013533834586466162,0.17218045112781954,0.1977443609022556,0.3120300751879699
l1_stft,l1_cqt,0.25,8192,1024,20,0.6590909090909091,26.25,1.1229006041214016,0.0929121631345255,0.1855222781881208,1.1168184876441956,1.0317962169647217,0.0769924812030075,0.1837593984962406,0.15488721804511274,0.11428571428571428,0.048120300751879695,0.07293233082706767,0.05037593984962406,0.17819548872180452,-0.013533834586466164,0.22030075187969922,0.14511278195488722,0.3330827067669173
