step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
2649,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,10,10,0.000904382,10,0,0,4.90719e-05,4.95693e-05,0.0260416,9.48037e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.593196,6.25302,16.1193,1.4376,0.0643716,0,5.43866,0,6.45576,17.7804,2.72343,0,0,9.7703,0
2799,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2849,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2949,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2999,11,11,0.000895338,10,0,0,4.88801e-05,4.94e-05,0.0260416,9.45338e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.567337,6.41279,16.0142,1.3959,0.0630428,0,6.97899,0,6.58546,17.9694,2.73514,0,0,12.7817,0
3049,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,
3099,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,
3199,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,
3249,12,12,0.000886385,10,0,0,4.88622e-05,4.93391e-05,0.0260416,9.4664e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.547893,6.26297,16.4148,1.42244,0.0613188,0,6.31594,0,6.36729,17.9326,2.71954,0,0,11.866,0
3299,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,
3449,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,
3499,13,13,0.000877521,10,0,0,4.88514e-05,4.92901e-05,0.0260416,9.46988e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.534416,6.13258,15.9757,1.3774,0.0611061,0,5.25211,0,6.25461,17.4716,2.62232,0,0,9.86029,0
3549,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,
3599,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,
3649,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,
3699,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,
3749,14,14,0.000868746,10,0,0,4.86712e-05,4.92089e-05,0.0260416,9.45028e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.520774,6.13596,15.6728,1.34312,0.0581601,0,5.51437,0,6.22068,17.7769,2.65331,0,0,10.9527,0
3799,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,
3899,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,
3949,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,
3999,15,15,0.000860058,10,0,0,4.88456e-05,4.91746e-05,0.0260416,9.40156e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.50729,6.17028,15.5932,1.3531,0.0577178,0,5.50239,0,6.06274,17.6189,2.63222,0,0,11.0484,0
4049,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,
4099,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,
4149,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,
4199,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,
4249,16,16,0.000851458,10,0,0,4.87134e-05,4.91738e-05,0.0260416,9.42257e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.496844,6.21329,15.877,1.34381,0.0572223,0,5.56878,0,6.40699,17.7879,2.70656,0,0,11.398,0
4299,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,
