filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0019.npz,random_IR_0019.npz,18.174,0.00056557,3,48,L1_STFT,6.66e-06,0.00113177,True,25.94031898,8.86718702,37.96112114,174259176486.4073,10553.64861967,0.00245795,1.15564721,984.72359127,0.7200463,0.57635837,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,12.747,0.00037319,1,51,L1_STFT,1.063e-05,0.01266265,True,71.97282978,12.06807496,13.62366226,106781403799.20544,15971.56305417,0.00450631,1.96500697,980.53352496,0.82950818,0.72140841,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,35.86,0.00034278,1,58,L1_STFT,1.145e-05,0.01244861,True,75.77064442,5.37787327,9.19478206,73699059290.9331,19123.48062212,0.00396218,3.69996001,696.69456169,0.85489242,0.55911597,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,10.281,0.00062643,1,38,L1_STFT,1.24e-05,0.00012686,True,17.34757611,50.42830001,49.48036077,93615649381.09119,3675.6408457,0.00471961,3.76649984,858.36432442,0.58952199,0.8116261,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,930.061,0.00043823,252,34,L1_STFT,1.132e-05,0.00051522,True,63.43022531,16.88697619,14.01125769,111738600771.85898,13325.91711767,0.00475991,1.45907859,888.73723216,0.54393112,0.85174073,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,11.28,0.0008898,1,34,L1_STFT,1.061e-05,2.424e-05,True,79.50691889,12.80671695,10.76941462,118449905781.47156,17321.46994375,0.00459008,2.41528252,856.24297435,0.51566867,0.68636987,197937911386.0695,20769.80429405,0.00388822,2.41527378,866.38366211,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,1122.691,0.00052977,133,50,L1_STFT,1.26e-05,0.00038852,True,10.82890037,7.14919583,89.47662793,184310582432.76843,6453.12023874,0.00167809,3.21695719,968.93348913,0.51905855,0.89891214,97599468309.14922,3451.55418078,0.00168652,3.21697263,521.04139584,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,99.719,0.00049137,6,32,L1_STFT,7.29e-06,0.00232237,True,25.08032554,2.3115246,24.87075217,121806183245.91748,14336.00720481,0.00174946,1.74938991,623.76656081,0.59073687,0.8145353,71871356218.2901,15672.99075616,0.00238141,1.7493816,928.08201265,0.59070014,0.81452442
random_IR_0027.npz,random_IR_0027.npz,64.491,0.00034621,2,48,L1_STFT,1.214e-05,4.986e-05,True,29.06241001,3.60896798,34.2534315,135908508491.40916,14140.28344752,0.00205529,2.77395146,995.48727056,0.79908529,0.86776141,148951818862.8186,13972.55997216,0.00195157,2.77396291,934.21465578,0.79905589,0.86775979
random_IR_0028.npz,random_IR_0028.npz,19.931,0.000382,2,58,L1_STFT,1.564e-05,0.02602878,True,56.36569548,21.31099527,13.6562288,179154166285.7373,13340.33694932,0.00422521,2.00462673,769.74283403,0.87238164,0.75032747,211488975667.54184,5930.42851055,0.00259288,2.00464049,209.85165054,0.87237989,0.75032482
random_IR_0029.npz,random_IR_0029.npz,118.673,0.00026496,12,50,L1_STFT,9.72e-06,0.01997844,True,57.28901906,3.91596555,2.7212731,125799356358.77054,21083.52721134,0.00271724,1.75950339,155.89906666,0.85122774,0.69510498,114704769945.09769,10597.03256049,0.00201743,1.75950242,58.03858003,0.85120831,0.6950984
random_IR_0030.npz,random_IR_0030.npz,40.785,0.00060072,1,54,L1_STFT,1.426e-05,0.00161648,True,26.91794939,0.96284945,4.01465023,122039006953.25415,20135.25958126,0.00133686,1.62084357,108.06615176,0.77291301,0.94936697,136415617217.07494,15202.58414177,0.00109871,1.62085066,67.25895897,0.77292381,0.94936893
random_IR_0031.npz,random_IR_0031.npz,143.607,0.00055365,11,60,L1_STFT,1.491e-05,5.8e-06,True,13.17155639,2.94735201,48.11976299,102230735058.32927,8117.52649757,0.00162261,3.97197082,633.81217194,0.88161418,0.66681024,70159602918.25648,7380.46068266,0.00186759,3.97198295,663.08157232,0.88160554,0.6668084
random_IR_0032.npz,random_IR_0032.npz,13.057,0.0004197,1,58,L1_STFT,1.419e-05,0.00077684,True,40.71921957,14.0596962,17.39246418,139702386913.79187,11355.98350117,0.00358571,2.21205415,708.2075678,0.64408364,0.90103791,200515550283.45148,14254.85865951,0.00335327,2.21204529,831.05014475,0.6440356,0.90104295
random_IR_0033.npz,random_IR_0033.npz,7.862,0.00088404,1,45,L1_STFT,2.086e-05,0.00463916,True,13.8793509,67.28139384,22.13737215,139755660070.58417,3288.66829616,0.00422036,1.63834945,307.25235601,0.86811037,0.63447293,211947700344.80545,6481.54432973,0.00481117,1.63834424,687.49140151,0.86811935,0.6344314
