filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0019.npz,random_IR_0019.npz,10.54,7.09e-06,1,37,L1_STFT,6.66e-06,0.00047168,True,22.91100665,8.86713848,37.95594446,103235944526.81696,8159.45381107,0.00280791,1.15566022,869.60889592,0.72009648,0.5763823,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,37.974,1.068e-05,3,51,L1_STFT,1.063e-05,0.01383842,True,73.27067164,12.06829529,13.61980122,131659957303.32863,17331.59511177,0.00422758,1.96501869,997.93198322,0.82953054,0.72139509,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,30.408,1.094e-05,1,31,L1_STFT,1.145e-05,0.02164543,True,84.8026524,5.37794469,9.19087332,80255217982.85382,21208.39316158,0.00399854,3.69998517,779.41043548,0.85490539,0.5591111,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,19.582,1.147e-05,1,54,L1_STFT,1.24e-05,0.00021369,True,16.49519249,50.42948463,49.42598856,152246700102.69574,4179.66881222,0.00394653,3.76649968,815.29119533,0.58962136,0.81162417,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,410.326,1.109e-05,101,43,L1_STFT,1.132e-05,4.045e-05,True,56.04761599,16.88647725,14.00069673,156458826327.83612,13728.01015489,0.00408272,1.45907797,784.70567402,0.54389202,0.85174015,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,19.712,1.011e-05,1,39,L1_STFT,1.061e-05,0.00306062,True,66.70223627,12.80696314,10.72821304,115204825089.10977,15265.73052767,0.00436941,2.41527377,715.59580085,0.5157401,0.68638921,197937911386.0695,20769.80429405,0.00388822,2.41527378,866.38366211,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,567.828,1.192e-05,52,60,L1_STFT,1.26e-05,0.00029468,True,10.18236185,7.14928351,89.50889636,137502648479.72284,5617.3440575,0.00181266,3.21697224,911.41197192,0.51907565,0.89891186,97599468309.14922,3451.55418078,0.00168652,3.21697263,521.04139584,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,126.027,7.31e-06,6,46,L1_STFT,7.29e-06,2.98e-06,True,36.88509211,2.31163155,24.86566561,162708626062.94775,20418.02488893,0.0018065,1.74938154,917.1723664,0.59070021,0.8145243,71871356218.2901,15672.99075616,0.00238141,1.7493816,928.08201265,0.59070014,0.81452442
random_IR_0027.npz,random_IR_0027.npz,95.423,1.095e-05,2,50,L1_STFT,1.214e-05,0.00016406,True,24.01426517,3.60899335,34.25987019,127922537758.31973,12202.50577188,0.00196798,2.77396304,822.72560722,0.79905579,0.86775973,148951818862.8186,13972.55997216,0.00195157,2.77396291,934.21465578,0.79905589,0.86775979
random_IR_0028.npz,random_IR_0028.npz,12.453,1.491e-05,1,33,L1_STFT,1.564e-05,0.00556874,True,34.33596172,21.31156288,13.64743237,81192413737.82292,7363.46150774,0.00466302,2.00464041,468.59771535,0.87237989,0.75032481,211488975667.54184,5930.42851055,0.00259288,2.00464049,209.85165054,0.87237989,0.75032482
