step,epoch,epoch,lr-Adam,lw/log_mag_w,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
51899,207,,0.000124878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51949,207,,0.000124878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51999,207,207,0.000124878,1,0,0,1,0,5.45161e-05,6.48834e-05,0.425858,2.94856e-05,0.102515,0.000461454,0.000136651,0.000835002,0,0.245015,0.245015,0,6.4251,12.5876,1.33885,0.0652053,0.075004,0.0365676,0.00403686,0.0567843,0.117057,0.101783,0,0.256024,0,6.78777,16.5598,2.46118,0,0,0.403591,0
52049,208,,0.000123629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52099,208,,0.000123629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52149,208,,0.000123629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52199,208,,0.000123629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52249,208,208,0.000123629,1,0,0,1,0,5.55135e-05,5.98152e-05,0.428148,2.91801e-05,0.109334,0.000452181,0.000138316,0.000825004,0,0.243896,0.243896,0,6.54075,13.1756,1.35863,0.0656325,0.077538,0.0360145,0.00495866,0.0590373,0.117289,0.0989579,0,0.270044,0,6.86639,16.5456,2.4562,0,0,0.402485,0
52299,209,,0.000122393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52349,209,,0.000122393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52399,209,,0.000122393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52449,209,,0.000122393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52499,209,209,0.000122393,1,0,0,1,0,5.33587e-05,6.18134e-05,0.42604,2.94235e-05,0.102918,0.000466923,0.000134215,0.000820647,0,0.246476,0.246476,0,6.37679,12.7119,1.33452,0.0653641,0.0743611,0.0343399,0.00419052,0.0549355,0.122457,0.1019,0,0.258782,0,6.76019,16.5844,2.46465,0,0,0.406087,0
52549,210,,0.000121169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52599,210,,0.000121169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52649,210,,0.000121169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52699,210,,0.000121169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52749,210,210,0.000121169,1,0,0,1,0,5.31384e-05,5.76155e-05,0.430169,2.94754e-05,0.104666,0.000466219,0.00014321,0.000836704,0,0.241186,0.241186,0,6.33026,12.6809,1.32903,0.0655568,0.0716626,0.0346365,0.00418613,0.0558296,0.121488,0.105538,0,0.257229,0,6.6893,16.6243,2.46425,0,0,0.408744,0
52799,211,,0.000119957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52849,211,,0.000119957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52899,211,,0.000119957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52949,211,,0.000119957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52999,211,211,0.000119957,1,0,0,1,0,5.35368e-05,5.56399e-05,0.438035,2.95068e-05,0.110437,0.000457733,0.000143896,0.000823952,0,0.239037,0.239037,0,6.31553,12.4159,1.30719,0.0653707,0.0726514,0.0342824,0.0038523,0.0541524,0.122311,0.104975,0,0.251621,0,6.66432,16.5935,2.45974,0,0,0.40563,0
53049,212,,0.000118758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53099,212,,0.000118758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53149,212,,0.000118758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53199,212,,0.000118758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53249,212,212,0.000118758,1,0,0,1,0,5.35613e-05,5.24571e-05,0.446281,2.99828e-05,0.111962,0.000459929,0.000150645,0.00083036,0,0.239361,0.239361,0,6.25035,12.6793,1.30683,0.0656872,0.0718157,0.0359202,0.00395897,0.0588607,0.123874,0.0996935,0,0.257572,0,6.4984,16.6023,2.46632,0,0,0.408987,0
53299,213,,0.00011757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53349,213,,0.00011757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
