param_x,param_y,x,y,loss
rho_h,T0,5.089487179487179,25.65076923076923,0.024628615006804466
rho_h,T0,5.089487179487179,51.29153846153846,0.01931850239634514
rho_h,T0,5.089487179487179,76.9323076923077,0.01344006322324276
rho_h,T0,5.089487179487179,102.57307692307693,0.005718186963349581
rho_h,T0,5.089487179487179,128.21384615384613,0.0009367819293402135
rho_h,T0,5.089487179487179,153.85461538461539,0.0067009087651968
rho_h,T0,5.089487179487179,179.4953846153846,0.013765335083007812
rho_h,T0,5.089487179487179,205.13615384615383,0.019284114241600037
rho_h,T0,5.089487179487179,230.77692307692305,0.02739807777106762
rho_h,T0,5.089487179487179,256.4176923076923,0.0327223464846611
rho_h,T0,5.089487179487179,282.05846153846153,0.03814462572336197
rho_h,T0,5.089487179487179,307.6992307692308,0.04602763056755066
rho_h,T0,5.089487179487179,333.34,0.051336608827114105
rho_h,T0,5.089487179487179,358.9807692307692,0.0590488538146019
rho_h,T0,5.089487179487179,384.6215384615384,0.06424359977245331
rho_h,T0,5.089487179487179,410.2623076923077,0.0694335550069809
rho_h,T0,5.089487179487179,435.9030769230769,0.07667921483516693
rho_h,T0,5.089487179487179,461.5438461538461,0.08149602264165878
rho_h,T0,5.089487179487179,487.18461538461537,0.0880349799990654
rho_h,T0,5.089487179487179,512.8253846153846,0.0928654670715332
rho_h,T0,5.089487179487179,538.4661538461538,0.0977277010679245
rho_h,T0,5.089487179487179,564.1069230769231,0.103858083486557
rho_h,T0,5.089487179487179,589.7476923076923,0.10870997607707977
rho_h,T0,5.089487179487179,615.3884615384616,0.11297623813152313
rho_h,T0,5.089487179487179,641.0292307692307,0.11849457025527954
rho_h,T0,5.089487179487179,666.67,0.12281455099582672
rho_h,T0,5.089487179487179,692.3107692307692,0.1283215582370758
rho_h,T0,5.089487179487179,717.9515384615385,0.13211104273796082
rho_h,T0,5.089487179487179,743.5923076923077,0.13606566190719604
rho_h,T0,5.089487179487179,769.2330769230769,0.14109264314174652
rho_h,T0,5.089487179487179,794.8738461538461,0.14468073844909668
rho_h,T0,5.089487179487179,820.5146153846154,0.14991526305675507
rho_h,T0,5.089487179487179,846.1553846153846,0.1530337929725647
rho_h,T0,5.089487179487179,871.7961538461539,0.1565818041563034
rho_h,T0,5.089487179487179,897.436923076923,0.16175039112567902
rho_h,T0,5.089487179487179,923.0776923076922,0.16533255577087402
rho_h,T0,5.089487179487179,948.7184615384615,0.1700463443994522
rho_h,T0,5.089487179487179,974.3592307692307,0.17382799088954926
rho_h,T0,7.748974358974358,25.65076923076923,0.02828540839254856
rho_h,T0,7.748974358974358,51.29153846153846,0.023753227666020393
rho_h,T0,7.748974358974358,76.9323076923077,0.019376618787646294
rho_h,T0,7.748974358974358,102.57307692307693,0.015011735260486603
rho_h,T0,7.748974358974358,128.21384615384613,0.010645068250596523
rho_h,T0,7.748974358974358,153.85461538461539,0.005823777988553047
rho_h,T0,7.748974358974358,179.4953846153846,0.002981996163725853
rho_h,T0,7.748974358974358,205.13615384615383,0.0017599670682102442
rho_h,T0,7.748974358974358,230.77692307692305,0.00660950830206275
rho_h,T0,7.748974358974358,256.4176923076923,0.010346019640564919
rho_h,T0,7.748974358974358,282.05846153846153,0.014616312459111214
rho_h,T0,7.748974358974358,307.6992307692308,0.018870187923312187
rho_h,T0,7.748974358974358,333.34,0.02380160056054592
rho_h,T0,7.748974358974358,358.9807692307692,0.028133664280176163
rho_h,T0,7.748974358974358,384.6215384615384,0.032090768218040466
rho_h,T0,7.748974358974358,410.2623076923077,0.036089248955249786
rho_h,T0,7.748974358974358,435.9030769230769,0.04099038243293762
rho_h,T0,7.748974358974358,461.5438461538461,0.0448404997587204
rho_h,T0,7.748974358974358,487.18461538461537,0.04719802364706993
rho_h,T0,7.748974358974358,512.8253846153846,0.051579996943473816
rho_h,T0,7.748974358974358,538.4661538461538,0.05524895712733269
rho_h,T0,7.748974358974358,564.1069230769231,0.06018667668104172
rho_h,T0,7.748974358974358,589.7476923076923,0.06428427994251251
rho_h,T0,7.748974358974358,615.3884615384616,0.06819123029708862
rho_h,T0,7.748974358974358,641.0292307692307,0.07211709022521973
rho_h,T0,7.748974358974358,666.67,0.07671624422073364
rho_h,T0,7.748974358974358,692.3107692307692,0.08031117171049118
rho_h,T0,7.748974358974358,717.9515384615385,0.08426421880722046
rho_h,T0,7.748974358974358,743.5923076923077,0.08804367482662201
rho_h,T0,7.748974358974358,769.2330769230769,0.08999289572238922
rho_h,T0,7.748974358974358,794.8738461538461,0.09410282224416733
