param_x,param_y,x,y,loss
D_div_rho_h,T0,25.84810793156387,25.65076923076923,1.055013656616211
D_div_rho_h,T0,25.84810793156387,51.29153846153846,1.0545904636383057
D_div_rho_h,T0,25.84810793156387,76.9323076923077,1.054630994796753
D_div_rho_h,T0,25.84810793156387,102.57307692307693,1.0547184944152832
D_div_rho_h,T0,25.84810793156387,128.21384615384613,1.0536850690841675
D_div_rho_h,T0,25.84810793156387,153.85461538461539,1.0536198616027832
D_div_rho_h,T0,25.84810793156387,179.4953846153846,1.0533684492111206
D_div_rho_h,T0,25.84810793156387,205.13615384615383,1.0531566143035889
D_div_rho_h,T0,25.84810793156387,230.77692307692305,1.053458333015442
D_div_rho_h,T0,25.84810793156387,256.4176923076923,1.0530033111572266
D_div_rho_h,T0,25.84810793156387,282.05846153846153,1.052459478378296
D_div_rho_h,T0,25.84810793156387,307.6992307692308,1.0524072647094727
D_div_rho_h,T0,25.84810793156387,333.34,1.0521674156188965
D_div_rho_h,T0,25.84810793156387,358.9807692307692,1.0521914958953857
D_div_rho_h,T0,25.84810793156387,384.6215384615384,1.0520395040512085
D_div_rho_h,T0,25.84810793156387,410.2623076923077,1.0520474910736084
D_div_rho_h,T0,25.84810793156387,435.9030769230769,1.050868272781372
D_div_rho_h,T0,25.84810793156387,461.5438461538461,1.0511183738708496
D_div_rho_h,T0,25.84810793156387,487.18461538461537,1.0511292219161987
D_div_rho_h,T0,25.84810793156387,512.8253846153846,1.0510371923446655
D_div_rho_h,T0,25.84810793156387,538.4661538461538,1.0509142875671387
D_div_rho_h,T0,25.84810793156387,564.1069230769231,1.05094313621521
D_div_rho_h,T0,25.84810793156387,589.7476923076923,1.050039529800415
D_div_rho_h,T0,25.84810793156387,615.3884615384616,1.0499584674835205
D_div_rho_h,T0,25.84810793156387,641.0292307692307,1.0497043132781982
D_div_rho_h,T0,25.84810793156387,666.67,1.050260066986084
D_div_rho_h,T0,25.84810793156387,692.3107692307692,1.0500589609146118
D_div_rho_h,T0,25.84810793156387,717.9515384615385,1.0498590469360352
D_div_rho_h,T0,25.84810793156387,743.5923076923077,1.0490344762802124
D_div_rho_h,T0,25.84810793156387,769.2330769230769,1.0490238666534424
D_div_rho_h,T0,25.84810793156387,794.8738461538461,1.0487920045852661
D_div_rho_h,T0,25.84810793156387,820.5146153846154,1.0488135814666748
D_div_rho_h,T0,25.84810793156387,846.1553846153846,1.048696517944336
D_div_rho_h,T0,25.84810793156387,871.7961538461539,1.0488507747650146
D_div_rho_h,T0,25.84810793156387,897.436923076923,1.0481641292572021
D_div_rho_h,T0,25.84810793156387,923.0776923076922,1.0477094650268555
D_div_rho_h,T0,25.84810793156387,948.7184615384615,1.0477317571640015
D_div_rho_h,T0,25.84810793156387,974.3592307692307,1.0475090742111206
D_div_rho_h,T0,51.64011077075322,25.65076923076923,0.9915425777435303
D_div_rho_h,T0,51.64011077075322,51.29153846153846,0.9913627505302429
D_div_rho_h,T0,51.64011077075322,76.9323076923077,0.9914005994796753
D_div_rho_h,T0,51.64011077075322,102.57307692307693,0.9907377362251282
D_div_rho_h,T0,51.64011077075322,128.21384615384613,0.9908156991004944
D_div_rho_h,T0,51.64011077075322,153.85461538461539,0.9905845522880554
D_div_rho_h,T0,51.64011077075322,179.4953846153846,0.990554928779602
D_div_rho_h,T0,51.64011077075322,205.13615384615383,0.9901074171066284
D_div_rho_h,T0,51.64011077075322,230.77692307692305,0.9902133941650391
D_div_rho_h,T0,51.64011077075322,256.4176923076923,0.9896393418312073
D_div_rho_h,T0,51.64011077075322,282.05846153846153,0.989575982093811
D_div_rho_h,T0,51.64011077075322,307.6992307692308,0.9890664219856262
D_div_rho_h,T0,51.64011077075322,333.34,0.9891625046730042
