filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0019.npz,random_IR_0019.npz,15.213,6.72e-06,1,51,L1_STFT,6.66e-06,0.00073973,True,24.30321422,8.86714083,37.95590701,193673347560.846,10466.95572156,0.0023219,1.15566044,922.45053907,0.72009667,0.57638228,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,13.127,1.067e-05,1,31,L1_STFT,1.063e-05,0.00511723,True,61.55794817,12.06829763,13.61980705,170877495467.26953,16832.61288134,0.00365706,1.96501878,838.40737636,0.82953053,0.7213951,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,38.476,1.116e-05,1,31,L1_STFT,1.145e-05,0.00304513,True,61.44397852,5.37794611,9.19078862,132657919420.88712,20228.99421251,0.00303742,3.69998521,564.71861868,0.85490546,0.55911113,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,18.412,1.091e-05,1,39,L1_STFT,1.24e-05,9.49e-06,True,19.42631339,50.42948196,49.4256966,89611307769.06644,3906.32934243,0.00497304,3.76649982,960.15907198,0.58962167,0.81162409,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,1034.963,1.159e-05,250,55,L1_STFT,1.132e-05,0.00289066,True,71.32296478,16.88648485,14.00061353,163092810461.69482,16345.59014259,0.00436344,1.45907793,998.5652657,0.54389205,0.85174012,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,16.973,1.007e-05,1,33,L1_STFT,1.061e-05,0.00225556,True,92.82368586,12.80696448,10.72823172,145279462355.5644,20557.69279524,0.00451528,2.41527356,995.83401126,0.51573999,0.68638922,197937911386.0695,20769.80429405,0.00388822,2.41527378,866.38366211,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,65.096,1.219e-05,2,58,L1_STFT,1.26e-05,0.00011937,True,8.59689663,7.14928298,89.50894323,186759502565.211,5557.12760378,0.001547,3.21697245,769.49913202,0.51907548,0.89891182,97599468309.14922,3451.55418078,0.00168652,3.21697263,521.04139584,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,182.886,7.19e-06,13,45,L1_STFT,7.29e-06,0.00012767,True,40.19439834,2.31163122,24.86566061,74579438127.68947,16670.92506211,0.00241105,1.74938156,999.46026758,0.59070013,0.81452441,71871356218.2901,15672.99075616,0.00238141,1.7493816,928.08201265,0.59070014,0.81452442
random_IR_0027.npz,random_IR_0027.npz,52.87,1.108e-05,1,50,L1_STFT,1.214e-05,0.00018269,True,23.834483,3.60899377,34.25991885,130287509604.94879,12215.89243078,0.0019511,2.77396298,816.56745342,0.79905589,0.8677598,148951818862.8186,13972.55997216,0.00195157,2.77396291,934.21465578,0.79905589,0.86775979
random_IR_0028.npz,random_IR_0028.npz,17.779,1.444e-05,1,60,L1_STFT,1.564e-05,0.028665,True,58.39133884,21.31155998,13.64726936,112561721811.80058,11697.86514182,0.00499162,2.00464033,796.88232962,0.87237988,0.75032481,211488975667.54184,5930.42851055,0.00259288,2.00464049,209.85165054,0.87237989,0.75032482
random_IR_0029.npz,random_IR_0029.npz,41.018,9.5e-06,1,59,L1_STFT,9.72e-06,0.01894093,True,56.34415115,3.91597443,2.71477478,85609780920.46841,18340.43219667,0.00307213,1.75950244,152.96168077,0.85120839,0.69509838,114704769945.09769,10597.03256049,0.00201743,1.75950242,58.03858003,0.85120831,0.6950984
random_IR_0030.npz,random_IR_0030.npz,75.772,1.346e-05,2,54,L1_STFT,1.426e-05,0.00012069,True,19.4943562,0.96286213,4.02670969,177619537031.0169,18401.95506535,0.00105936,1.62085066,78.49811306,0.77292377,0.94936886,136415617217.07494,15202.58414177,0.00109871,1.62085066,67.25895897,0.77292381,0.94936893
random_IR_0031.npz,random_IR_0031.npz,213.662,1.373e-05,10,53,L1_STFT,1.491e-05,0.00037998,True,18.73611363,2.94722329,48.10635194,143687690594.4436,11501.05486142,0.00162908,3.97198267,901.32607653,0.88160555,0.66680838,70159602918.25648,7380.46068266,0.00186759,3.97198295,663.08157232,0.88160554,0.6668084
random_IR_0032.npz,random_IR_0032.npz,17.401,1.42e-05,1,46,L1_STFT,1.419e-05,4.3e-07,True,47.63412118,14.05947372,17.38588951,97548687030.8102,11185.24201324,0.00425866,2.21204516,828.161568,0.6440354,0.90104297,200515550283.45148,14254.85865951,0.00335327,2.21204529,831.05014475,0.6440356,0.90104295
random_IR_0033.npz,random_IR_0033.npz,10.546,1.846e-05,1,58,L1_STFT,2.086e-05,2.378e-05,True,32.42276918,67.28191647,22.04679215,196487423435.78357,6486.26513339,0.00499868,1.63834416,714.81805319,0.8681194,0.63443139,211947700344.80545,6481.54432973,0.00481117,1.63834424,687.49140151,0.86811935,0.6344314
random_IR_0034.npz,random_IR_0034.npz,122.84,8.9e-06,26,54,L1_STFT,9.34e-06,0.11618502,True,106.05124966,17.49769819,1.31974582,167274915238.52576,21221.51175836,0.00499735,1.71860457,139.96069293,0.69334323,0.73715196,131976876718.98044,6330.43741829,0.0030728,1.71860473,25.67246143,0.69334329,0.73715196
random_IR_0035.npz,random_IR_0035.npz,12.118,1.336e-05,1,42,L1_STFT,1.492e-05,9.238e-05,True,17.971219,31.37181099,55.6271906,136680972197.29909,5001.00175321,0.00359352,1.90512306,999.68842484,0.57471337,0.86126123,146159003394.57947,4639.59889209,0.00334714,1.90512325,863.85696737,0.57471337,0.86126124
random_IR_0036.npz,random_IR_0036.npz,67.11,2.56e-05,9,52,L1_STFT,2.684e-05,0.07754029,True,87.55390606,25.99834261,10.9048262,207634023291.72583,17589.37719222,0.00497766,2.24857304,954.7601288,0.68425027,0.97081157,141672610939.29004,5153.13787566,0.00326169,2.24857314,183.28800342,0.68425024,0.97081165
random_IR_0037.npz,random_IR_0037.npz,22.935,3.201e-05,1,35,L1_STFT,3.484e-05,2.393e-05,True,17.21489165,53.73989953,56.58076397,95354352675.21217,3602.1896905,0.00477901,3.31944325,974.03172107,0.79639336,0.98134884,151485447898.1282,3998.34178631,0.00399465,3.31944324,903.72070255,0.79639327,0.98134883
