filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_div_mu,T0_div_mu,Ly,op_x,op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,gt_Ly,gt_op_x,gt_op_y
random_IR_0025.npz,random_IR_0025.npz,438.328,0.00017886,34,L1_STFT,1.349e-05,0.02743197,True,47.90022737,7.14922434,89.51484857,3.21697239,0.51905878,0.89891191,5.8211107,7.14928419,89.50893096,3.21697263,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,339.845,0.00023374,43,L1_STFT,6.86e-06,3.24e-06,True,37.7808167,2.31162325,24.87247832,1.74938744,0.59068498,0.81451573,37.32376555,2.31163143,24.86571221,1.7493816,0.59070014,0.81452442
random_IR_0027.npz,random_IR_0027.npz,504.067,0.00024904,56,L1_STFT,1.154e-05,0.01535645,True,58.75198336,3.60893913,34.26536382,2.77397031,0.79904697,0.86776186,27.26844683,3.60899387,34.25991446,2.77396291,0.79905589,0.86775979
random_IR_0028.npz,random_IR_0028.npz,214.104,0.00024036,56,L1_STFT,1.564e-05,0.05806278,True,76.59602904,21.31140292,13.67559592,2.00464123,0.87237436,0.75031788,15.37691467,21.31156757,13.64718833,2.00464049,0.87237989,0.75032482
random_IR_0029.npz,random_IR_0029.npz,366.218,0.00018891,45,L1_STFT,9.65e-06,0.06380472,True,85.55353012,3.91597251,2.70764002,1.75950079,0.85122171,0.69509793,21.37872824,3.91597475,2.71478169,1.75950242,0.85120831,0.6950984
random_IR_0030.npz,random_IR_0030.npz,304.238,0.45176575,57,L1_STFT,1.402e-05,0.09804263,True,32.23057063,25.451622,0.05499255,3.64629987,0.68210623,0.84775851,16.70330592,0.96286232,4.02668545,1.62085066,0.77292381,0.94936893
random_IR_0031.npz,random_IR_0031.npz,318.706,0.47545359,56,L1_STFT,1.489e-05,0.05546186,True,52.25899543,2.53994025,53.3234698,3.67395627,0.67190265,0.68439498,13.78365934,2.94722471,48.10635229,3.97198295,0.88160554,0.6668084
random_IR_0032.npz,random_IR_0032.npz,176.365,0.00031225,37,L1_STFT,1.45e-05,0.00011098,True,50.47680974,14.05981089,17.36850976,2.21204414,0.64405167,0.90103753,47.80036786,14.05948029,17.38585249,2.21204529,0.6440356,0.90104295
random_IR_0033.npz,random_IR_0033.npz,112.905,0.00025975,48,L1_STFT,2.09e-05,0.00071708,True,37.9871079,67.28157749,22.09329294,1.63834311,0.86813195,0.6344201,31.18378978,67.2819372,22.04643523,1.63834424,0.86811935,0.6344314
random_IR_0034.npz,random_IR_0034.npz,207.91,0.00014447,47,L1_STFT,9.34e-06,0.00020173,True,23.06062533,17.49745541,1.34208325,1.71860419,0.69333831,0.73715346,19.45218618,17.49770135,1.31977255,1.71860473,0.69334329,0.73715196
