CMA-ES full   L1_STFT,DDSP  l1_stft_tgtnorm,CMA-ES 1rst   l1_stft,CMA-ES 1rst   mss,CMA-ES 1rst   smoothmss,CMA-ES 1rst   l1_stft_pow,CMA-ES 1rst   l1_stft_c2,CMA-ES 1rst   l1_stft_log
5.371999983e-14,2.030840416e-05,6.180387701e-02,1.662574943e-02,8.299141065e-03,8.751412579e-02,9.112136375e-02,5.894480078e-02
2.974513905e-16,1.029542749e-02,6.741776504e-10,2.137281090e-03,1.491516094e-01,8.090938115e-02,2.073584706e-01,3.556891832e-03
1.264841430e-02,3.483815579e-03,1.245253513e-02,6.341765927e-09,6.184304847e-02,2.130078939e-02,6.230414473e-03,1.028133551e-02
5.284453418e-15,2.872524621e-05,4.137236793e-10,1.509512018e-05,1.435298786e-08,6.863077228e-02,4.050249654e-02,1.313216979e-01
7.197144009e-16,6.646710030e-04,2.438758454e-10,8.121122735e-02,2.074698238e-07,6.977190615e-02,1.064899094e-01,6.345117940e-02
2.607628578e-14,7.590341809e-05,8.791599400e-09,1.478521912e-02,2.520867822e-08,5.525761954e-02,5.800902532e-02,8.216721041e-02
1.644192821e-14,4.749692930e-05,2.932843490e-03,1.541829138e-10,5.911118513e-02,4.232957587e-02,1.198805418e-01,2.094518140e-02
2.764074800e-12,1.808710085e-05,5.806060723e-08,3.129374600e-02,7.854804918e-02,1.030906562e-01,1.042557700e-01,2.145324575e-01
,6.772960259e-02,9.168967918e-03,3.128672624e-09,5.876779579e-09,6.219759679e-02,7.740438339e-02,1.100150585e-01
,1.533284631e-04,3.552044010e-02,1.235566674e-02,9.040287429e-03,6.067373769e-02,3.675669625e-02,4.408599747e-02
,1.323667394e-03,6.557311332e-09,1.316281477e-01,1.461271824e-01,1.169866693e-01,5.397114172e-02,1.112084616e-01
,5.247538415e-05,1.935500212e-07,8.506655626e-07,7.155019294e-02,8.571938352e-02,7.582923219e-02,1.106402711e-01
,1.461046158e-04,2.919565491e-10,7.975601700e-09,2.116180624e-01,1.742782036e-01,9.895930460e-02,7.927554581e-02
,2.699385629e-04,1.111680261e-01,1.337828442e-01,1.110933477e-01,3.391196169e-02,4.559126139e-02,3.546625843e-02
,4.895124567e-04,4.247821876e-10,4.214404900e-04,3.507926357e-02,5.161947242e-03,1.118121714e-02,4.608738774e-02
,7.477835365e-05,9.552819287e-02,1.087146971e-02,1.342321746e-02,1.578067818e-01,8.535313090e-02,5.781374251e-02
,1.956457723e-04,3.011158048e-02,1.078588792e-09,2.566183716e-02,1.988567321e-02,2.038535227e-02,7.202934652e-02
,7.459424150e-05,2.268655322e-09,5.326196742e-03,4.125826748e-03,5.257237026e-02,4.075523639e-02,8.364049673e-02
,2.849209127e-05,1.786894674e-06,1.108774503e-01,2.191066458e-01,1.496042611e-01,1.854404429e-02,1.622028489e-01
,1.622951977e-05,7.469894365e-02,1.298647584e-01,2.686264866e-07,1.523052850e-01,8.266541958e-02,1.789653434e-01
,2.856698323e-04,5.761782695e-10,1.756189915e-08,1.662927039e-01,8.008725511e-02,1.054704505e-01,3.251016889e-02
