step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
51799,207,,0.000124878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51849,207,,0.000124878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51899,207,,0.000124878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51949,207,,0.000124878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51999,207,207,0.000124878,0,0,1,0,2.73831e-05,7.70256e-06,0.0175033,4.12429e-06,0.0049745,8.00633e-05,1.61827e-05,9.15055e-05,0,0.119214,0.119214,0,8.53433,15.3533,1.88884,0.244395,0.12969,0.112111,0.0774149,0.0120586,0.170071,0.270303,0.13618,0,0.115645,0,8.49172,15.9155,2.25991,0.282383,0,0,0.119376,0
52049,208,,0.000123629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52099,208,,0.000123629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52149,208,,0.000123629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52199,208,,0.000123629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52249,208,208,0.000123629,0,0,1,0,2.81366e-05,7.61333e-06,0.0186508,4.28411e-06,0.00489114,8.40121e-05,1.61435e-05,9.3614e-05,0,0.118123,0.118123,0,8.43848,15.3383,1.87725,0.241078,0.133666,0.113499,0.0809617,0.0121298,0.191458,0.262747,0.141199,0,0.115245,0,7.99286,15.8653,2.17646,0.270667,0,0,0.117825,0
52299,209,,0.000122393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52349,209,,0.000122393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52399,209,,0.000122393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52449,209,,0.000122393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52499,209,209,0.000122393,0,0,1,0,2.79166e-05,7.49197e-06,0.0215326,4.53359e-06,0.00530642,9.21223e-05,1.25906e-05,0.000100349,0,0.116244,0.116244,0,8.43193,15.382,1.85408,0.236672,0.132734,0.114333,0.0802428,0.0132046,0.178527,0.271089,0.139008,0,0.11583,0,7.78633,15.7849,2.11914,0.258634,0,0,0.11676,0
52549,210,,0.000121169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52599,210,,0.000121169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52649,210,,0.000121169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52699,210,,0.000121169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52749,210,210,0.000121169,0,0,1,0,2.83622e-05,7.46776e-06,0.0217673,4.47244e-06,0.00646038,9.33165e-05,1.19498e-05,0.000102843,0,0.115488,0.115488,0,8.16154,15.2996,1.83634,0.231172,0.131669,0.111352,0.084686,0.0126338,0.152753,0.275478,0.15311,0,0.114792,0,7.80695,15.5819,2.12902,0.26134,0,0,0.115711,0
52799,211,,0.000119957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52849,211,,0.000119957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52899,211,,0.000119957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52949,211,,0.000119957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52999,211,211,0.000119957,0,0,1,0,2.82537e-05,7.51947e-06,0.0236718,4.63699e-06,0.00750834,9.77348e-05,1.19857e-05,0.000105407,0,0.11435,0.11435,0,8.13615,15.3949,1.85119,0.235988,0.137302,0.112305,0.0821957,0.0133727,0.180574,0.279636,0.155727,0,0.115733,0,7.87727,15.612,2.1301,0.255948,0,0,0.114654,0
53049,212,,0.000118758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53099,212,,0.000118758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53149,212,,0.000118758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53199,212,,0.000118758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53249,212,212,0.000118758,0,0,1,0,2.82468e-05,7.75424e-06,0.0244514,4.68305e-06,0.00673274,9.90384e-05,1.19565e-05,0.000102057,0,0.113764,0.113764,0,8.40121,15.2311,1.88077,0.234256,0.140924,0.112457,0.0863423,0.0128838,0.183795,0.285563,0.164502,0,0.114494,0,8.14169,15.5672,2.1654,0.260191,0,0,0.114425,0
53299,213,,0.00011757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53349,213,,0.00011757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53399,213,,0.00011757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53449,213,,0.00011757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53499,213,213,0.00011757,0,0,1,0,2.83776e-05,7.79353e-06,0.0252331,4.77705e-06,0.0118764,0.000100435,1.26329e-05,0.00010436,0,0.112968,0.112968,0,8.05583,15.1158,1.81036,0.221246,0.131782,0.112538,0.085051,0.015096,0.134787,0.280209,0.163009,0,0.114172,0,7.64596,15.3921,2.10085,0.245565,0,0,0.113129,0
53549,214,,0.000116394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53599,214,,0.000116394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53649,214,,0.000116394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53699,214,,0.000116394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53749,214,214,0.000116394,0,0,1,0,2.745e-05,8.92598e-06,0.027045,5.12966e-06,0.0189592,0.000107475,1.28708e-05,0.000106187,0,0.111402,0.111402,0,8.07046,15.3357,1.81018,0.226133,0.133198,0.111037,0.0847005,0.0146288,0.144314,0.285298,0.159207,0,0.114722,0,7.23627,15.4461,2.04026,0.238629,0,0,0.111737,0
53799,215,,0.00011523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53849,215,,0.00011523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53899,215,,0.00011523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53949,215,,0.00011523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53999,215,215,0.00011523,0,0,1,0,2.61343e-05,8.00419e-06,0.0292216,5.22416e-06,0.0153385,0.000111776,1.10704e-05,0.000110051,0,0.110509,0.110509,0,8.04708,15.4069,1.8503,0.23321,0.136562,0.113353,0.0839299,0.0146478,0.151866,0.296894,0.158679,0,0.115658,0,7.21146,15.5066,2.03854,0.236498,0,0,0.111559,0
54049,216,,0.000114078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54099,216,,0.000114078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54149,216,,0.000114078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54199,216,,0.000114078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54249,216,216,0.000114078,0,0,1,0,2.73435e-05,8.10459e-06,0.030226,5.159e-06,0.0139278,0.000111885,1.13684e-05,0.000111985,0,0.109713,0.109713,0,8.27842,15.1906,1.84458,0.232421,0.132504,0.112508,0.085245,0.0142173,0.141216,0.283704,0.158133,0,0.113297,0,7.34716,15.2316,2.03147,0.23678,0,0,0.110035,0
54299,217,,0.000112937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54349,217,,0.000112937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54399,217,,0.000112937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54449,217,,0.000112937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
