step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag_eps,final_spec_losses_weighted/128_spectrogram_logmag_eps,final_spec_losses_weighted/2048_spectrogram_logmag_eps,final_spec_losses_weighted/256_spectrogram_logmag_eps,final_spec_losses_weighted/512_spectrogram_logmag_eps,final_spec_losses_weighted/64_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
36,,,,,,,,20.973188400268555,,,,,,,,,,,,0.0,1.0,,0.0,17.047786712646484,15.313860893249512,15.296346664428711,,,,,,,
37,,,,,,,,26.880229949951172,,,,,,,,,,,,0.0,1.0,,0.0,17.001522064208984,15.313398361206055,15.296346664428711,,,,,,,
38,,,,,,,,21.10578727722168,,,,,,,,,,,,0.0,1.0,,0.0,15.731830596923828,15.300701141357422,15.296346664428711,,,,,,,
39,0.0,4.143055438995361,3.2637593746185303,4.07216739654541,3.737168312072754,4.024447441101074,3.0704662799835205,22.2783260345459,0.6319872736930847,22.311067581176758,0.0,22.311067581176758,12.399540901184082,1.389404296875,26.768741607666016,36.718265533447266,0.005191248841583729,0.01580185815691948,3.9522688388824463,0.0,1.0,,0.0,15.495306015014648,15.298336029052734,15.296346664428711,16.187135696411133,,,,,,
40,,,,,,,,23.68474006652832,,,,,,,,,,,,0.0,1.0,,0.0,15.63322639465332,15.299715042114258,15.296346664428711,,,,,,,
41,,,,,,,,22.040319442749023,,,,,,,,,,,,0.0,1.0,,0.0,15.873093605041504,15.30211353302002,15.296346664428711,,,,,,,
42,,,,,,,,22.791339874267578,,,,,,,,,,,,0.0,1.0,,0.0,15.420153617858887,15.297584533691406,15.296346664428711,,,,,,,
43,,,,,,,,25.045154571533203,,,,,,,,,,,,0.0,1.0,,0.0,15.998228073120117,15.303365707397461,15.296346664428711,,,,,,,
44,,,,,,,,26.30167579650879,,,,,,,,,,,,0.0,1.0,,0.0,15.386744499206543,15.297250747680664,15.296346664428711,,,,,,,
45,,,,,,,,20.286991119384766,,,,,,,,,,,,0.0,1.0,,0.0,16.772207260131836,15.311104774475098,15.296346664428711,,,,,,,
46,,,,,,,,25.616247177124023,,,,,,,,,,,,0.0,1.0,,0.0,16.27867889404297,15.306169509887695,15.296346664428711,,,,,,,
47,,,,,,,,21.40683937072754,,,,,,,,,,,,0.0,1.0,,0.0,16.264957427978516,15.306032180786133,15.296346664428711,,,,,,,
48,,,,,,,,23.21817970275879,,,,,,,,,,,,0.0,1.0,,0.0,15.433732986450195,15.297719955444336,15.296346664428711,,,,,,,
49,1.0,2.889225959777832,2.7338640689849854,2.7988672256469727,2.851621150970459,2.8511850833892822,2.791759967803955,21.827594757080078,,,,,,,,,,,,0.0,1.0,1.6666666851961054e-05,0.0,16.916522979736328,15.312548637390137,15.296346664428711,,16.916522979736328,16.916522979736328,0.6692922115325928,16.916522979736328,0.0,16.916522979736328
50,,,,,,,,20.984760284423828,,,,,,,,,,,,0.0,1.0,,0.0,15.442548751831055,15.297808647155762,15.296346664428711,,,,,,,
51,,,,,,,,22.31619644165039,,,,,,,,,,,,0.0,1.0,,0.0,17.100252151489258,15.314385414123535,15.296346664428711,,,,,,,
