step,epoch,final_spec_losses_weighted/2048_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
39,0.0,1.081015706062317,0.2925577163696289,0.3395836353302002,1.081015706062317,0.0,1.081015706062317,6.365666389465332,0.6078596711158752,11.858139991760254,19.469661712646484,0.9669294357299805,0.9511678814888,2.3236427307128906,0.0,1.0,,0.0,1.1572142839431763,1.8274825811386108,1.834252953529358,1.744760513305664,,,,,,
40,,,0.29008743166923523,,,,,,,,,,,,0.0,1.0,,0.0,1.1764540672302246,1.8276749849319458,1.834252953529358,,,,,,,
41,,,0.24597440659999847,,,,,,,,,,,,0.0,1.0,,0.0,1.2594419717788696,1.8285049200057983,1.834252953529358,,,,,,,
42,,,0.23771964013576508,,,,,,,,,,,,0.0,1.0,,0.0,1.2254419326782227,1.8281649351119995,1.834252953529358,,,,,,,
43,,,0.31128230690956116,,,,,,,,,,,,0.0,1.0,,0.0,1.209291696548462,1.8280034065246582,1.834252953529358,,,,,,,
44,,,0.32180652022361755,,,,,,,,,,,,0.0,1.0,,0.0,1.0868425369262695,1.8267788887023926,1.834252953529358,,,,,,,
45,,,0.21973423659801483,,,,,,,,,,,,0.0,1.0,,0.0,1.1381984949111938,1.8272924423217773,1.834252953529358,,,,,,,
46,,,0.34441208839416504,,,,,,,,,,,,0.0,1.0,,0.0,1.197210431098938,1.8278825283050537,1.834252953529358,,,,,,,
47,,,0.20509912073612213,,,,,,,,,,,,0.0,1.0,,0.0,1.034208059310913,1.8262525796890259,1.834252953529358,,,,,,,
48,,,0.3200092017650604,,,,,,,,,,,,0.0,1.0,,0.0,0.9657233953475952,1.8255677223205566,1.834252953529358,,,,,,,
49,1.0,0.9836808443069458,0.3327479064464569,,,,,,,,,,,,0.0,1.0,1.6666666851961054e-05,0.0,0.9836808443069458,1.8257472515106201,1.834252953529358,,0.9836808443069458,0.9836808443069458,0.24438133835792542,0.9836808443069458,0.0,0.9836808443069458
50,,,0.27955639362335205,,,,,,,,,,,,0.0,1.0,,0.0,0.9200249910354614,1.825110673904419,1.834252953529358,,,,,,,
51,,,0.27803945541381836,,,,,,,,,,,,0.0,1.0,,0.0,1.0004669427871704,1.8259150981903076,1.834252953529358,,,,,,,
52,,,0.298595666885376,,,,,,,,,,,,0.0,1.0,,0.0,1.011490821838379,1.826025366783142,1.834252953529358,,,,,,,
53,,,0.29498887062072754,,,,,,,,,,,,0.0,1.0,,0.0,0.9526198506355286,1.8254367113113403,1.834252953529358,,,,,,,
54,,,0.26222071051597595,,,,,,,,,,,,0.0,1.0,,0.0,0.8987691402435303,1.82489812374115,1.834252953529358,,,,,,,
55,,,0.3142229914665222,,,,,,,,,,,,0.0,1.0,,0.0,0.8133093118667603,1.8240435123443604,1.834252953529358,,,,,,,
