step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag_eps,final_spec_losses_weighted/128_spectrogram_logmag_eps,final_spec_losses_weighted/2048_spectrogram_logmag_eps,final_spec_losses_weighted/256_spectrogram_logmag_eps,final_spec_losses_weighted/512_spectrogram_logmag_eps,final_spec_losses_weighted/64_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
36,,,,,,,,11.841997146606445,,,,,,,,,,,,0.0,1.0,,0.0,12.265400886535645,14.423330307006836,14.445127487182617,,,,,,,
37,,,,,,,,15.894536972045898,,,,,,,,,,,,0.0,1.0,,0.0,12.259268760681152,14.423269271850586,14.445127487182617,,,,,,,
38,,,,,,,,12.022007942199707,,,,,,,,,,,,0.0,1.0,,0.0,10.396076202392578,14.404637336730957,14.445127487182617,,,,,,,
39,0.0,2.8150529861450195,2.3486173152923584,2.810662031173706,2.495004653930664,2.64860463142395,1.993741512298584,13.83046817779541,0.4288875460624695,15.111682891845703,0.0,15.111682891845703,8.88882827758789,0.933189332485199,13.611027717590332,25.107139587402344,0.9622914791107178,0.9436354637145996,3.7996058464050293,0.0,1.0,,0.0,11.076278686523438,14.411438941955566,14.445127487182617,13.270362854003906,,,,,,
40,,,,,,,,13.478456497192383,,,,,,,,,,,,0.0,1.0,,0.0,10.602973937988281,14.406705856323242,14.445127487182617,,,,,,,
41,,,,,,,,13.506831169128418,,,,,,,,,,,,0.0,1.0,,0.0,10.63316822052002,14.407008171081543,14.445127487182617,,,,,,,
42,,,,,,,,14.49736499786377,,,,,,,,,,,,0.0,1.0,,0.0,9.707086563110352,14.397747039794922,14.445127487182617,,,,,,,
43,,,,,,,,16.296817779541016,,,,,,,,,,,,0.0,1.0,,0.0,10.517526626586914,14.405851364135742,14.445127487182617,,,,,,,
44,,,,,,,,16.849674224853516,,,,,,,,,,,,0.0,1.0,,0.0,9.316180229187012,14.393837928771973,14.445127487182617,,,,,,,
45,,,,,,,,11.356721878051758,,,,,,,,,,,,0.0,1.0,,0.0,11.660463333129883,14.417281150817871,14.445127487182617,,,,,,,
