step,epoch,final_spec_losses_weighted/2048_spectrogram_cumsum_time,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/pre_rampup_normalized_parameters_loss,normalized_losses/pre_rampup_normalized_spectrogram_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,0.624023973941803,,,,,,,,,,,,1.0,0.0,,1.1853283643722534,0.0,1.1853283643722534,0.0,0.5368487238883972,1.0,,,,,,,
1,,,0.5081167221069336,,,,,,,,,,,,1.0,0.0,,1.0055819749832153,0.0,1.0055819749832153,0.0,0.5366599559783936,1.0,,,,,,,
2,,,0.5426477193832397,,,,,,,,,,,,1.0,0.0,,1.0589886903762817,0.0,1.0589886903762817,0.0,0.5376958250999451,1.0,,,,,,,
3,,,0.5695772767066956,,,,,,,,,,,,1.0,0.0,,0.7463703155517578,0.0,0.7463703155517578,0.0,0.5343836545944214,1.0,,,,,,,
4,,,0.5171937346458435,,,,,,,,,,,,1.0,0.0,,0.7957119941711426,0.0,0.7957119941711426,0.0,0.5279982089996338,1.0,,,,,,,
5,,,0.7369846701622009,,,,,,,,,,,,1.0,0.0,,0.6297687888145447,0.0,0.6297687888145447,0.0,0.5193385481834412,1.0,,,,,,,
6,,,0.5831568241119385,,,,,,,,,,,,1.0,0.0,,0.570878267288208,0.0,0.570878267288208,0.0,0.5098242163658142,1.0,,,,,,,
7,,,0.5759587287902832,,,,,,,,,,,,1.0,0.0,,0.6661580204963684,0.0,0.6661580204963684,0.0,0.5028458833694458,1.0,,,,,,,
8,,,0.45839568972587585,,,,,,,,,,,,1.0,0.0,,0.5467604994773865,0.0,0.5467604994773865,0.0,0.4934383034706116,1.0,,,,,,,
9,,,0.5852949619293213,,,,,,,,,,,,1.0,0.0,,0.5708175897598267,0.0,0.5708175897598267,0.0,0.4859510362148285,1.0,,,,,,,
10,,,0.5046937465667725,,,,,,,,,,,,1.0,0.0,,0.5733185410499573,0.0,0.5733185410499573,0.0,0.47526460886001587,1.0,,,,,,,
11,,,0.6631782054901123,,,,,,,,,,,,1.0,0.0,,0.5397660732269287,0.0,0.5397660732269287,0.0,0.4663859009742737,1.0,,,,,,,
12,,,0.6462366580963135,,,,,,,,,,,,1.0,0.0,,0.4041535258293152,0.0,0.4041535258293152,0.0,0.4563540518283844,1.0,,,,,,,
13,,,0.5086878538131714,,,,,,,,,,,,1.0,0.0,,0.4921645224094391,0.0,0.4921645224094391,0.0,0.4476233720779419,1.0,,,,,,,
14,,,0.6648115515708923,,,,,,,,,,,,1.0,0.0,,0.3974708318710327,0.0,0.3974708318710327,0.0,0.43682530522346497,1.0,,,,,,,
15,,,0.4974864721298218,,,,,,,,,,,,1.0,0.0,,0.5383619666099548,0.0,0.5383619666099548,0.0,0.4278852343559265,1.0,,,,,,,
16,,,1.01712965965271,,,,,,,,,,,,1.0,0.0,,0.43001192808151245,0.0,0.43001192808151245,0.0,0.41829222440719604,1.0,,,,,,,
17,,,0.9775230288505554,,,,,,,,,,,,1.0,0.0,,0.3880353271961212,0.0,0.3880353271961212,0.0,0.4087231457233429,1.0,,,,,,,
18,,,1.0334019660949707,,,,,,,,,,,,1.0,0.0,,0.4621855914592743,0.0,0.4621855914592743,0.0,0.39964380860328674,1.0,,,,,,,
19,,,0.870833694934845,,,,,,,,,,,,1.0,0.0,,0.4296436905860901,0.0,0.4296436905860901,0.0,0.39013463258743286,1.0,,,,,,,
20,,,1.0493965148925781,,,,,,,,,,,,1.0,0.0,,0.46014919877052307,0.0,0.46014919877052307,0.0,0.3814872205257416,1.0,,,,,,,
21,,,1.1721287965774536,,,,,,,,,,,,1.0,0.0,,0.47231897711753845,0.0,0.47231897711753845,0.0,0.3725270926952362,1.0,,,,,,,
22,,,1.3014463186264038,,,,,,,,,,,,1.0,0.0,,0.4620802104473114,0.0,0.4620802104473114,0.0,0.3637680113315582,1.0,,,,,,,
23,,,1.0188632011413574,,,,,,,,,,,,1.0,0.0,,0.36284416913986206,0.0,0.36284416913986206,0.0,0.35525259375572205,1.0,,,,,,,
24,,,0.9250990748405457,,,,,,,,,,,,1.0,0.0,,0.3685547709465027,0.0,0.3685547709465027,0.0,0.34733253717422485,1.0,,,,,,,
25,,,0.7831900119781494,,,,,,,,,,,,1.0,0.0,,0.40620237588882446,0.0,0.40620237588882446,0.0,0.3386937379837036,1.0,,,,,,,
26,,,0.9645681381225586,,,,,,,,,,,,1.0,0.0,,0.33858397603034973,0.0,0.33858397603034973,0.0,0.33013078570365906,1.0,,,,,,,
27,,,0.9377591609954834,,,,,,,,,,,,1.0,0.0,,0.3530895411968231,0.0,0.3530895411968231,0.0,0.32234063744544983,1.0,,,,,,,
28,,,0.9194934964179993,,,,,,,,,,,,1.0,0.0,,0.4665818214416504,0.0,0.4665818214416504,0.0,0.3151882290840149,1.0,,,,,,,
29,,,0.922789454460144,,,,,,,,,,,,1.0,0.0,,0.39982491731643677,0.0,0.39982491731643677,0.0,0.3075760304927826,1.0,,,,,,,
30,,,0.9764541387557983,,,,,,,,,,,,1.0,0.0,,0.413565456867218,0.0,0.413565456867218,0.0,0.3003966808319092,1.0,,,,,,,
31,,,0.9873888492584229,,,,,,,,,,,,1.0,0.0,,0.4050166606903076,0.0,0.4050166606903076,0.0,0.293422132730484,1.0,,,,,,,
32,,,1.5807955265045166,,,,,,,,,,,,1.0,0.0,,0.4382113516330719,0.0,0.4382113516330719,0.0,0.2861621081829071,1.0,,,,,,,
33,,,1.4166126251220703,,,,,,,,,,,,1.0,0.0,,0.33681875467300415,0.0,0.33681875467300415,0.0,0.2790660262107849,1.0,,,,,,,
34,,,1.2867085933685303,,,,,,,,,,,,1.0,0.0,,0.4616506099700928,0.0,0.4616506099700928,0.0,0.2721368372440338,1.0,,,,,,,
35,,,1.4726684093475342,,,,,,,,,,,,1.0,0.0,,0.6074907779693604,0.0,0.6074907779693604,0.0,0.26651933789253235,1.0,,,,,,,
36,,,1.4167873859405518,,,,,,,,,,,,1.0,0.0,,0.4343533515930176,0.0,0.4343533515930176,0.0,0.26099100708961487,1.0,,,,,,,
37,,,2.0504307746887207,,,,,,,,,,,,1.0,0.0,,0.3411787152290344,0.0,0.3411787152290344,0.0,0.25473326444625854,1.0,,,,,,,
38,,,1.0532796382904053,,,,,,,,,,,,1.0,0.0,,0.4643789827823639,0.0,0.4643789827823639,0.0,0.24907571077346802,1.0,,,,,,,
39,0.0,7309.0,1.5766921043395996,0.14208349585533142,7309.0,0.5741527676582336,0.0,5.488960266113281,0.5572567582130432,12.709467887878418,19.71711540222168,0.04040193185210228,0.5454687476158142,2.0287933349609375,1.0,0.0,,0.3561581075191498,0.0,0.3561581075191498,0.0,0.2474663257598877,1.0,0.5147166848182678,,,,,,
40,,,1.3559870719909668,,,,,,,,,,,,1.0,0.0,,0.49173635244369507,0.0,0.49173635244369507,0.0,0.24246905744075775,1.0,,,,,,,
41,,,1.7804961204528809,,,,,,,,,,,,1.0,0.0,,0.37204405665397644,0.0,0.37204405665397644,0.0,0.2373284101486206,1.0,,,,,,,
42,,,1.617368459701538,,,,,,,,,,,,1.0,0.0,,0.4086020886898041,0.0,0.4086020886898041,0.0,0.23272468149662018,1.0,,,,,,,
43,,,1.6982672214508057,,,,,,,,,,,,1.0,0.0,,0.43495431542396545,0.0,0.43495431542396545,0.0,0.22733910381793976,1.0,,,,,,,
44,,,1.6110634803771973,,,,,,,,,,,,1.0,0.0,,0.5074061155319214,0.0,0.5074061155319214,0.0,0.2222318947315216,1.0,,,,,,,
45,,,1.5383707284927368,,,,,,,,,,,,1.0,0.0,,0.47643476724624634,0.0,0.47643476724624634,0.0,0.21694216132164001,1.0,,,,,,,
46,,,1.8547074794769287,,,,,,,,,,,,1.0,0.0,,0.40639084577560425,0.0,0.40639084577560425,0.0,0.21209435164928436,1.0,,,,,,,
47,,,1.3553205728530884,,,,,,,,,,,,1.0,0.0,,0.3983127474784851,0.0,0.3983127474784851,0.0,0.20717860758304596,1.0,,,,,,,
48,,,1.199093222618103,,,,,,,,,,,,1.0,0.0,,0.5725956559181213,0.0,0.5725956559181213,0.0,0.2029992640018463,1.0,,,,,,,
49,1.0,,0.9694631695747375,,,,,,,,,,,,1.0,0.0,0.0009899999713525176,0.41584765911102295,0.0,0.41584765911102295,0.0,0.1980494260787964,1.0,,0.41584765911102295,0.41584765911102295,0.08235839009284973,0.0,0.41584765911102295,0.0
50,,,1.016891598701477,,,,,,,,,,,,1.0,0.0,,0.5580439567565918,0.0,0.5580439567565918,0.0,0.19431281089782715,1.0,,,,,,,
51,,,0.9241363406181335,,,,,,,,,,,,1.0,0.0,,0.4198785126209259,0.0,0.4198785126209259,0.0,0.18992815911769867,1.0,,,,,,,
52,,,1.1135377883911133,,,,,,,,,,,,1.0,0.0,,0.4983116686344147,0.0,0.4983116686344147,0.0,0.18657976388931274,1.0,,,,,,,
53,,,1.341795563697815,,,,,,,,,,,,1.0,0.0,,0.7126620411872864,0.0,0.7126620411872864,0.0,0.18354679644107819,1.0,,,,,,,
54,,,1.3299187421798706,,,,,,,,,,,,1.0,0.0,,0.4575115144252777,0.0,0.4575115144252777,0.0,0.17960749566555023,1.0,,,,,,,
55,,,1.0357511043548584,,,,,,,,,,,,1.0,0.0,,0.5584919452667236,0.0,0.5584919452667236,0.0,0.17718584835529327,1.0,,,,,,,
56,,,0.9454131126403809,,,,,,,,,,,,1.0,0.0,,0.663657009601593,0.0,0.663657009601593,0.0,0.17386950552463531,1.0,,,,,,,
