step,epoch,final_spec_losses_weighted/2048_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,0.4735657572746277,,,,,,,,,,,,0.0,1.0,,0.0,1.0175138711929321,1.0080937147140503,1.0079985857009888,,,,,,,
1,,,0.4989049434661865,,,,,,,,,,,,0.0,1.0,,0.0,1.06637442111969,1.008582353591919,1.0079985857009888,,,,,,,
2,,,0.4821774959564209,,,,,,,,,,,,0.0,1.0,,0.0,0.9449973106384277,1.007368564605713,1.0079985857009888,,,,,,,
3,,,0.5143461227416992,,,,,,,,,,,,0.0,1.0,,0.0,0.8901262283325195,1.0068198442459106,1.0079985857009888,,,,,,,
4,,,0.4982259273529053,,,,,,,,,,,,0.0,1.0,,0.0,0.767555296421051,1.0055941343307495,1.0079985857009888,,,,,,,
5,,,0.6023396253585815,,,,,,,,,,,,0.0,1.0,,0.0,0.6717124581336975,1.0046356916427612,1.0079985857009888,,,,,,,
6,,,0.40782177448272705,,,,,,,,,,,,0.0,1.0,,0.0,0.693376362323761,1.0048524141311646,1.0079985857009888,,,,,,,
7,,,0.5269696116447449,,,,,,,,,,,,0.0,1.0,,0.0,0.5734836459159851,1.0036534070968628,1.0079985857009888,,,,,,,
8,,,0.5111526846885681,,,,,,,,,,,,0.0,1.0,,0.0,0.5114235877990723,1.0030328035354614,1.0079985857009888,,,,,,,
9,,,0.5682100057601929,,,,,,,,,,,,0.0,1.0,,0.0,0.4707927107810974,1.0026265382766724,1.0079985857009888,,,,,,,
10,,,0.4871906042098999,,,,,,,,,,,,0.0,1.0,,0.0,0.6486001014709473,1.0044046640396118,1.0079985857009888,,,,,,,
11,,,0.5062905550003052,,,,,,,,,,,,0.0,1.0,,0.0,0.4845612645149231,1.0027642250061035,1.0079985857009888,,,,,,,
12,,,0.5077038407325745,,,,,,,,,,,,0.0,1.0,,0.0,0.5006456971168518,1.0029250383377075,1.0079985857009888,,,,,,,
13,,,0.515677273273468,,,,,,,,,,,,0.0,1.0,,0.0,0.4551141560077667,1.002469778060913,1.0079985857009888,,,,,,,
14,,,0.5431081056594849,,,,,,,,,,,,0.0,1.0,,0.0,0.5284669399261475,1.003203272819519,1.0079985857009888,,,,,,,
15,,,0.4592849016189575,,,,,,,,,,,,0.0,1.0,,0.0,0.4708649218082428,1.0026272535324097,1.0079985857009888,,,,,,,
16,,,0.39719563722610474,,,,,,,,,,,,0.0,1.0,,0.0,0.47226259112358093,1.002641201019287,1.0079985857009888,,,,,,,
17,,,0.37176287174224854,,,,,,,,,,,,0.0,1.0,,0.0,0.38514944911003113,1.0017701387405396,1.0079985857009888,,,,,,,
18,,,0.37655550241470337,,,,,,,,,,,,0.0,1.0,,0.0,0.3428608477115631,1.0013471841812134,1.0079985857009888,,,,,,,
19,,,0.31000593304634094,,,,,,,,,,,,0.0,1.0,,0.0,0.3094160258769989,1.0010128021240234,1.0079985857009888,,,,,,,
20,,,0.3904612064361572,,,,,,,,,,,,0.0,1.0,,0.0,0.509253203868866,1.0030111074447632,1.0079985857009888,,,,,,,
21,,,0.33557000756263733,,,,,,,,,,,,0.0,1.0,,0.0,0.32924216985702515,1.0012110471725464,1.0079985857009888,,,,,,,
22,,,0.4611884355545044,,,,,,,,,,,,0.0,1.0,,0.0,0.4351102411746979,1.0022697448730469,1.0079985857009888,,,,,,,
23,,,0.2857312262058258,,,,,,,,,,,,0.0,1.0,,0.0,0.3898071050643921,1.0018166303634644,1.0079985857009888,,,,,,,
24,,,0.3696834444999695,,,,,,,,,,,,0.0,1.0,,0.0,0.31470566987991333,1.0010656118392944,1.0079985857009888,,,,,,,
25,,,0.1994572877883911,,,,,,,,,,,,0.0,1.0,,0.0,0.2816643714904785,1.0007352828979492,1.0079985857009888,,,,,,,
26,,,0.33356136083602905,,,,,,,,,,,,0.0,1.0,,0.0,0.24689863622188568,1.0003875494003296,1.0079985857009888,,,,,,,
27,,,0.3455601632595062,,,,,,,,,,,,0.0,1.0,,0.0,0.3105323910713196,1.0010238885879517,1.0079985857009888,,,,,,,
28,,,0.37896114587783813,,,,,,,,,,,,0.0,1.0,,0.0,0.3997143805027008,1.001915693283081,1.0079985857009888,,,,,,,
29,,,0.3238198459148407,,,,,,,,,,,,0.0,1.0,,0.0,0.2973606288433075,1.000892162322998,1.0079985857009888,,,,,,,
30,,,0.3542046844959259,,,,,,,,,,,,0.0,1.0,,0.0,0.283647358417511,1.0007550716400146,1.0079985857009888,,,,,,,
31,,,0.37047243118286133,,,,,,,,,,,,0.0,1.0,,0.0,0.24633482098579407,1.0003819465637207,1.0079985857009888,,,,,,,
32,,,0.2889212667942047,,,,,,,,,,,,0.0,1.0,,0.0,0.2374243289232254,1.0002928972244263,1.0079985857009888,,,,,,,
33,,,0.2584211826324463,,,,,,,,,,,,0.0,1.0,,0.0,0.23204034566879272,1.0002390146255493,1.0079985857009888,,,,,,,
34,,,0.2958950400352478,,,,,,,,,,,,0.0,1.0,,0.0,0.21898411214351654,1.0001084804534912,1.0079985857009888,,,,,,,
35,,,0.3019314706325531,,,,,,,,,,,,0.0,1.0,,0.0,0.3160274028778076,1.0010788440704346,1.0079985857009888,,,,,,,
36,,,0.2398139387369156,,,,,,,,,,,,0.0,1.0,,0.0,0.1834365427494049,0.9997529983520508,1.0079985857009888,,,,,,,
37,,,0.28174668550491333,,,,,,,,,,,,0.0,1.0,,0.0,0.20661413669586182,0.9999847412109375,1.0079985857009888,,,,,,,
38,,,0.2567068636417389,,,,,,,,,,,,0.0,1.0,,0.0,0.18833696842193604,0.9998019933700562,1.0079985857009888,,,,,,,
