step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag_eps,final_spec_losses_weighted/128_spectrogram_logmag_eps,final_spec_losses_weighted/2048_spectrogram_logmag_eps,final_spec_losses_weighted/256_spectrogram_logmag_eps,final_spec_losses_weighted/512_spectrogram_logmag_eps,final_spec_losses_weighted/64_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
36,,,,,,,,11.224995613098145,,,,,,,,,,,,0.0,1.0,,0.0,13.607919692993164,15.105603218078613,15.120731353759766,,,,,,,
37,,,,,,,,15.818147659301758,,,,,,,,,,,,0.0,1.0,,0.0,13.656013488769531,15.106084823608398,15.120731353759766,,,,,,,
38,,,,,,,,11.333032608032227,,,,,,,,,,,,0.0,1.0,,0.0,11.487183570861816,15.084396362304688,15.120731353759766,,,,,,,
39,0.0,3.461272954940796,2.9802980422973633,3.4514546394348145,3.1275577545166016,3.2881898880004883,2.5449554920196533,13.232267379760742,0.4747239053249359,18.853727340698242,0.0,18.853727340698242,10.29824447631836,1.071162462234497,14.79923152923584,29.580486297607422,0.9602102041244507,0.9383801221847534,3.191246747970581,0.0,1.0,,0.0,12.009765625,15.089622497558594,15.120731353759766,13.819610595703125,,,,,,
40,,,,,,,,12.886070251464844,,,,,,,,,,,,0.0,1.0,,0.0,11.809587478637695,15.08761978149414,15.120731353759766,,,,,,,
41,,,,,,,,12.332130432128906,,,,,,,,,,,,0.0,1.0,,0.0,11.546173095703125,15.084985733032227,15.120731353759766,,,,,,,
42,,,,,,,,13.471047401428223,,,,,,,,,,,,0.0,1.0,,0.0,10.547382354736328,15.074997901916504,15.120731353759766,,,,,,,
43,,,,,,,,15.970678329467773,,,,,,,,,,,,0.0,1.0,,0.0,11.496664047241211,15.084490776062012,15.120731353759766,,,,,,,
44,,,,,,,,16.679819107055664,,,,,,,,,,,,0.0,1.0,,0.0,10.340423583984375,15.072928428649902,15.120731353759766,,,,,,,
45,,,,,,,,10.392221450805664,,,,,,,,,,,,0.0,1.0,,0.0,12.503302574157715,15.094557762145996,15.120731353759766,,,,,,,
46,,,,,,,,14.916204452514648,,,,,,,,,,,,0.0,1.0,,0.0,10.89013671875,15.078425407409668,15.120731353759766,,,,,,,
47,,,,,,,,11.618432998657227,,,,,,,,,,,,0.0,1.0,,0.0,11.585460662841797,15.085378646850586,15.120731353759766,,,,,,,
48,,,,,,,,13.4004487991333,,,,,,,,,,,,0.0,1.0,,0.0,10.347124099731445,15.07299518585205,15.120731353759766,,,,,,,
49,1.0,2.090144395828247,2.15317964553833,2.0435540676116943,2.139915704727173,2.088731527328491,1.9145612716674805,12.274806022644043,,,,,,,,,,,,0.0,1.0,1.6666666851961054e-05,0.0,12.430087089538574,15.093825340270996,15.120731353759766,,12.430087089538574,12.430087089538574,0.45815619826316833,12.430087089538574,0.0,12.430087089538574
50,,,,,,,,9.698514938354492,,,,,,,,,,,,0.0,1.0,,0.0,10.201024055480957,15.071534156799316,15.120731353759766,,,,,,,
