run,last_step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag,final_spec_losses_weighted/1024_spectrogram_logmag_eps,final_spec_losses_weighted/1024_spectrogram_mag,final_spec_losses_weighted/128_spectrogram_logmag,final_spec_losses_weighted/128_spectrogram_logmag_eps,final_spec_losses_weighted/128_spectrogram_mag,final_spec_losses_weighted/2048_spectrogram_cumsum_time,final_spec_losses_weighted/2048_spectrogram_logmag,final_spec_losses_weighted/2048_spectrogram_logmag_eps,final_spec_losses_weighted/2048_spectrogram_mag,final_spec_losses_weighted/256_spectrogram_logmag,final_spec_losses_weighted/256_spectrogram_logmag_eps,final_spec_losses_weighted/256_spectrogram_mag,final_spec_losses_weighted/512_spectrogram_logmag,final_spec_losses_weighted/512_spectrogram_logmag_eps,final_spec_losses_weighted/512_spectrogram_mag,final_spec_losses_weighted/64_spectrogram_logmag,final_spec_losses_weighted/64_spectrogram_logmag_eps,final_spec_losses_weighted/64_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/pre_rampup_normalized_parameters_loss,normalized_losses/pre_rampup_normalized_spectrogram_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
cn_logmageps_lr1e4,860,21.0,,,,,,,,,3.8196473121643066,,,,,,,,,,,3.7808966636657715,0.7022958397865295,3.9241528511047363,0.0,3.9241528511047363,8.939285278320312,0.9308832883834839,20.971588134765625,28.427207946777344,0.007696519605815411,0.04693261906504631,1.5083632469177246,0.0,1.0,8.097278623608872e-05,0.0,4.1207194328308105,,,5.211941719055176,5.222963809967041,4.0860772132873535,3.8196473121643066,3.8196473121643066,0.7129460573196411,3.8196473121643066,0.0,3.8196473121643066
cn_magnitude_lr1e4,1035,24.0,,,,,,,,,,78.59617614746094,,,,,,,,,,83.58723449707031,0.9914616942405701,78.59617614746094,0.0,78.59617614746094,16.167255401611328,1.9944965839385986,31.69425392150879,41.350704193115234,0.008011186495423317,0.049109358340501785,0.9982705116271973,0.0,1.0,7.856781303416938e-05,0.0,79.8138198852539,,,144.51300048828125,145.16651916503906,79.49500274658203,86.2707748413086,86.2707748413086,0.9778388142585754,86.2707748413086,0.0,86.2707748413086
cn_magnitude_lr3e4,471,11.0,,,,,,,,,,95.19287109375,,,,,,,,,,83.58740997314453,1.10482656955719,78.59648895263672,0.0,78.59648895263672,29.442127227783203,3.834282875061035,41.25244140625,47.60065841674805,0.012519601732492447,0.1228741928935051,0.9999409914016724,0.0,1.0,0.00026860146317631006,0.0,70.34402465820312,,,131.71466064453125,132.33456420898438,79.4955062866211,95.19287109375,95.19287109375,1.1920783519744873,95.19287109375,0.0,95.19287109375
cn_mssddsp_lr1e4,351,8.0,0.48005637526512146,,38.81621551513672,0.48716995120048523,,4.794368267059326,,0.47344762086868286,,77.71308898925781,0.5327776670455933,,9.648185729980469,0.5020280480384827,,19.370803833007812,0.3602105379104614,,2.641235113143921,167.755126953125,1.4057257175445557,157.748291015625,0.0,157.748291015625,26.66699981689453,3.2300968170166016,36.31989288330078,44.27336120605469,0.010692727752029896,-0.012376070022583008,1.0250790119171143,0.0,1.0,9.227447299053892e-05,0.0,166.40306091308594,,,262.977783203125,263.9532775878906,159.50091552734375,155.81959533691406,155.81959533691406,1.3676310777664185,155.81959533691406,0.0,155.81959533691406
cw_logmageps_lr1e4,2362,58.0,,,,,,,,,3.3016433715820312,,,,,,,,,,,3.0170326232910156,1.1409025192260742,3.3016433715820312,0.0,3.3016433715820312,9.415578842163086,1.1035401821136475,21.356346130371094,21.653812408447266,0.00883448775857687,-0.0009449413046240807,1.0408376455307007,0.0,1.0,9.999999747378752e-05,0.0,1.684496283531189,,,2.7281062602996826,2.738647699356079,1.640826940536499,1.6081702709197998,1.6081702709197998,1.1806113719940186,1.6081702709197998,0.0,1.6081702709197998
cw_mag_lr1e3,2222,54.0,,,,,,,,,,1.3884352445602417,,,,,,,,,,1.487569808959961,1.0933698415756226,1.3884352445602417,0.0,1.3884352445602417,7.218801498413086,0.8489956259727478,24.736087799072266,22.615386962890625,0.010448128916323185,0.0036909347400069237,0.9803849458694458,0.0,1.0,0.0010000000474974513,0.0,1.3569540977478027,,,2.4975764751434326,2.5090978145599365,1.3833993673324585,1.1467159986495972,1.1467159986495972,1.0543246269226074,1.1467159986495972,0.0,1.1467159986495972
cw_mag_lr1e4,2357,58.0,,,,,,,,,,1.3766378164291382,,,,,,,,,,1.490273118019104,1.1246459484100342,1.3905797004699707,0.0,1.3905797004699707,8.63743782043457,1.030228614807129,24.580820083618164,24.138900756835938,0.011429805308580399,0.007626574020832777,0.9832364320755005,0.0,1.0,9.999999747378752e-05,0.0,1.2987862825393677,,,2.350379705429077,2.361001968383789,1.385788917541504,1.3766378164291382,1.3766378164291382,1.1115301847457886,1.3766378164291382,0.0,1.3766378164291382
cw_mssloge_lr1e4,1783,43.0,,3.261333703994751,,,3.1183323860168457,,,,3.2051339149475098,,,3.184340000152588,,,3.0771162509918213,,,2.9346046447753906,,17.628063201904297,1.074320673942566,18.780858993530273,0.0,18.780858993530273,9.416367530822754,1.0913063287734985,21.5323543548584,25.22750473022461,0.00044512064778245986,-0.03473733365535736,1.719864010810852,0.0,1.0,9.999999747378752e-05,0.0,13.168432235717773,,,15.275067329406738,15.296346664428711,13.447595596313477,13.39443302154541,13.39443302154541,1.0678811073303223,13.39443302154541,0.0,13.39443302154541
fx_logmageps_lr1e4,7999,199.0,,,,,,,,,2.547820568084717,,,,,,,,,,,2.245178699493408,0.48186203837394714,2.547820568084717,0.0,2.547820568084717,7.222687721252441,0.849921703338623,9.762194633483887,15.291816711425781,0.9591408967971802,0.9395489692687988,0.5716475248336792,0.0,1.0,9.999999747378752e-05,0.0,0.8870794773101807,,,2.187777042388916,2.2009153366088867,0.934332013130188,0.8870794773101807,0.8870794773101807,0.5943949222564697,0.8870794773101807,0.0,0.8870794773101807
fx_mag_lr1e3,7237,179.0,,,,,,,,,,0.15514612197875977,,,,,,,,,,0.11342228204011917,0.06589285284280777,0.15514612197875977,0.0,0.15514612197875977,2.039998769760132,0.18079279363155365,4.183901786804199,5.512389183044434,0.9782580733299255,0.9756817817687988,0.9144045114517212,0.0,1.0,0.0010000000474974513,0.0,0.05133751779794693,,,0.9984319806098938,1.0079985857009888,0.04410110041499138,0.04088667780160904,0.04088667780160904,0.017957519739866257,0.04088667780160904,0.0,0.04088667780160904
