filename,target_npz,runtime,best_loss,optimizer,loss_name,budget,num_particles,max_iter,realized_budget,w,c1,c2,seed,optuna_trial,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0055.npz,random_IR_0055.npz,109.741,0.00422603,PSO+Optuna,L1_STFT,2000,54,36,1998,0.17260321874087423,1.5774286900348578,1.3221521940222076,92501,30,1.359e-05,0.00629878,True,16.92861805,19.39758082,24.26538408,111872442368.0,5276.61425781,0.00320823,2.42860198,410.77941895,0.79211688,0.91217422,212636794955.40863,11025.80092305,0.00336394,2.4286026,857.72406697,0.79211807,0.91217589
random_IR_0056.npz,random_IR_0056.npz,190.17,0.04938144,PSO+Optuna,L1_STFT,2000,49,39,1960,0.27870393757230516,0.6033550822484802,1.5799843055811154,37532,2,9.48e-06,0.00331619,True,75.36592826,14.45209195,5.0055966,122306772992.0,16227.03320312,0.00464447,3.73105145,377.25143433,0.54044574,0.71765357,127960441568.8106,14253.29065436,0.0042621,3.73564678,159.4228693,0.54072935,0.7177758
random_IR_0057.npz,random_IR_0057.npz,131.738,0.00253244,PSO+Optuna,L1_STFT,2000,32,61,1984,0.15752480951362482,2.3867075100173825,1.905032225288596,34862,11,8.06e-06,0.00062745,True,83.57665507,10.19155972,0.60070897,150565519360.0,20933.12695312,0.00399255,1.85022521,50.20524597,0.68477094,0.51799172,121371433816.20525,20458.87517103,0.00439615,1.85018379,33.3142935,0.68478638,0.51800097
random_IR_0058.npz,random_IR_0058.npz,101.604,0.03551062,PSO+Optuna,L1_STFT,2000,33,59,1980,0.7072698267783939,0.7507022676548913,1.1627075007949808,47966,26,1.523e-05,0.00022463,True,10.60221237,29.68926103,68.00453621,152232984576.0,3714.06884766,0.00285461,1.63732898,720.99853516,0.93672562,0.73227239,211631134622.2992,4302.76068816,0.00260504,1.63717374,929.29212439,0.93604938,0.73253957
random_IR_0059.npz,random_IR_0059.npz,119.564,0.01155973,PSO+Optuna,L1_STFT,2000,35,56,1995,0.29008563509951774,1.178839532985742,2.4816673323333966,46839,36,6.67e-06,7.53e-06,True,6.56665958,7.53334239,103.72977828,98212691968.0,3683.31445312,0.00178281,2.04692602,681.15814209,0.72016531,0.5438906,69387727860.36472,3051.80231974,0.00193098,2.04743256,614.46856183,0.7201099,0.5433563
random_IR_0060.npz,random_IR_0060.npz,201.687,0.00556293,PSO+Optuna,L1_STFT,2000,40,49,2000,0.3717154393631167,1.6885788823699523,1.3903700058332007,34327,36,6.3e-06,0.0113923,True,36.34010439,4.44173154,27.35163086,67000000512.0,12098.01464844,0.00300381,1.83075011,993.96112061,0.56701201,0.81295639,68841542103.34111,4893.83834685,0.00188464,1.83062887,253.19866181,0.56658731,0.81305533
random_IR_0061.npz,random_IR_0061.npz,207.704,0.10401309,PSO+Optuna,L1_STFT,2000,47,41,1974,0.13471581370876448,2.7502951324252174,1.7725956077434575,90525,27,5.229e-05,0.00641278,True,6.93543462,65.55392344,11.96471619,219999993856.0,2430.0,0.00285409,3.92434168,82.9805069,0.74768865,0.99654245,164730548877.07898,5493.54320968,0.00496138,3.92534302,409.06000483,0.75024962,0.99481079
random_IR_0062.npz,random_IR_0062.npz,69.39,0.04254254,PSO+Optuna,L1_STFT,2000,34,57,1972,0.48833803405962606,2.738396881708457,1.2124775264377816,81659,4,1.124e-05,8.318e-05,True,28.97650628,36.61764966,19.13890121,143813656576.0,6642.77783203,0.00436211,1.28888416,554.57849121,0.62966406,0.83675885,168363199444.49942,6968.67005744,0.00413294,1.2893822,288.40561335,0.63057096,0.83627097
random_IR_0063.npz,random_IR_0063.npz,119.267,0.00940362,PSO+Optuna,L1_STFT,2000,56,34,1960,0.24669187729105532,0.8991715068107272,1.5981333957874588,20516,15,9.28e-06,0.00612056,True,40.9737863,14.46070734,24.40584799,216103550976.0,13065.03808594,0.00313614,2.60020137,1000.0,0.71325403,0.68667293,175105930059.76578,7826.56857449,0.00269636,2.6001947,554.69226178,0.71327987,0.68666732
random_IR_0064.npz,random_IR_0064.npz,208.74,0.34730414,PSO+Optuna,L1_STFT,2000,41,47,1968,0.47231381692752367,2.468219872284299,1.6285568634226981,16208,31,4.366e-05,0.01407183,True,61.855669,34.82356645,16.07513149,194956017664.0,12394.33691406,0.00499064,3.50732088,994.3380127,0.91355169,0.99764264,120323463532.36218,6803.3874652,0.00469987,3.50310505,46.01685081,0.90933357,0.9928908
random_IR_0065.npz,random_IR_0065.npz,270.944,0.04279227,PSO+Optuna,L1_STFT,2000,44,44,1980,0.1708303303972703,1.22327643310143,1.8818427534398685,56844,27,2.74e-05,0.0882286,True,21.92779307,9.45262978,7.38662556,119221698560.0,8138.54296875,0.00269431,3.90984774,161.97239685,0.56207985,0.97598588,105161266281.63704,21079.81137619,0.00461979,3.91001794,296.5632995,0.56189402,0.97596678
random_IR_0066.npz,random_IR_0066.npz,100.99,0.00089708,PSO+Optuna,L1_STFT,2000,35,56,1995,0.34254632394490736,0.9695300889268113,1.8287350101232505,2250,14,8.41e-06,7e-08,True,60.83680694,15.68588611,0.97221584,132346232832.0,14053.81640625,0.00432885,1.77690315,59.14650726,0.6434173,0.69576728,201903192487.07745,16167.3310636,0.00375907,1.77691874,58.36577542,0.64349408,0.69573788
random_IR_0067.npz,random_IR_0067.npz,99.433,0.03243745,PSO+Optuna,L1_STFT,2000,42,46,1974,0.4210810620558396,1.8919748330140922,0.7172335154438967,67350,0,1.408e-05,0.0052207,True,40.8449822,34.03571806,1.93062394,137924100096.0,8438.72265625,0.00484019,2.18547297,78.85630035,0.65927988,0.92121947,135741622249.22392,5660.8382621,0.00399515,2.18545893,237.81486447,0.65918952,0.92120267
random_IR_0068.npz,random_IR_0068.npz,123.007,0.00818553,PSO+Optuna,L1_STFT,2000,34,57,1972,0.45248833156119456,1.2788492973621224,1.618427414296292,56336,18,3.754e-05,0.00671957,True,22.35949407,11.20495396,21.01108548,191821676544.0,9128.92578125,0.0024493,1.78943944,469.79724121,0.97078609,0.87789226,199695279035.7571,14349.1567176,0.00300956,1.7894513,942.58417386,0.97070275,0.87787478
random_IR_0069.npz,random_IR_0069.npz,146.965,0.00031373,PSO+Optuna,L1_STFT,2000,41,47,1968,0.4509887805347135,1.0369288074760974,0.7997117826990474,54002,28,7.58e-06,0.01280049,True,24.47715267,15.03375834,18.60396413,212904083456.0,9102.52539062,0.00268905,3.12876749,455.37207031,0.65347195,0.58465344,77843076062.18388,10924.24763419,0.00487186,3.12876767,994.40084564,0.65346908,0.58465381
random_IR_0070.npz,random_IR_0070.npz,222.014,0.24664994,PSO+Optuna,L1_STFT,2000,39,50,1989,0.21850780375013462,1.3699712500207741,1.8784987430871263,58635,26,3.656e-05,0.00164276,True,23.51327525,4.39024855,20.1344727,67190226944.0,9094.18066406,0.00258553,2.31079245,473.42739868,0.9845686,0.77795619,203994040296.09613,9626.79151217,0.00152516,2.31071049,604.12176284,0.98421939,0.7779736
random_IR_0071.npz,random_IR_0071.npz,108.478,0.00010886,PSO+Optuna,L1_STFT,2000,37,53,1998,0.3285301292911348,2.108772534003205,1.6441483065916922,70501,31,8.6e-06,0.0029127,True,20.23570407,15.16485905,26.41748536,67443417088.0,5449.98242188,0.00371299,1.89698958,534.57641602,0.64310288,0.73317063,151467976333.87152,10076.58690171,0.00336892,1.89698835,896.76219061,0.64310986,0.73316763
random_IR_0072.npz,random_IR_0072.npz,184.24,0.00505317,PSO+Optuna,L1_STFT,2000,42,46,1974,0.4883129972337408,2.490665689026871,1.0609199458475636,7905,28,8.11e-06,0.00121239,True,25.32212157,5.30337108,31.43625674,139319214080.0,11440.25097656,0.00221342,2.26492429,796.03271484,0.76731437,0.87788004,124074334173.75436,8265.15952842,0.00199365,2.26496925,505.87132516,0.76723552,0.87779156
random_IR_0073.npz,random_IR_0073.npz,74.953,0.00497785,PSO+Optuna,L1_STFT,2000,52,37,1976,0.1992365688713906,0.5325517917621415,2.883890384423836,37259,9,8.58e-06,0.0010064,True,7.65452094,62.03490706,54.14012458,170911563776.0,2430.0,0.00315001,2.06727862,414.41671753,0.72848618,0.56113666,105807306211.29388,3345.37756434,0.00469664,2.06717165,862.31992365,0.7286064,0.56126767
random_IR_0074.npz,random_IR_0074.npz,108.012,0.0057054,PSO+Optuna,L1_STFT,2000,32,61,1984,0.2356259088191469,1.8561207618364683,2.0997459786000885,22176,8,8.22e-06,0.01102757,True,29.28416127,17.34021567,11.93332236,67000000512.0,6653.41259766,0.00440137,2.1105566,349.45733643,0.61024094,0.6775105,175710845616.51886,14130.82725704,0.00396039,2.11058037,680.517676,0.61041261,0.67743208
random_IR_0075.npz,random_IR_0075.npz,135.431,0.00683771,PSO+Optuna,L1_STFT,2000,55,35,1980,0.25647007176987313,2.36789031228938,1.3194038020189698,44500,26,1.338e-05,0.00435949,True,51.74926361,16.77430121,13.47748552,209735843840.0,14384.49707031,0.00359757,3.06109905,697.44995117,0.85805923,0.51386291,71625994474.91534,7744.75343778,0.00451694,3.0611032,543.68261705,0.85806505,0.51386321
random_IR_0076.npz,random_IR_0076.npz,88.828,0.00235334,PSO+Optuna,L1_STFT,2000,38,51,1976,0.5133062710073102,1.39377125489521,1.6841077964260043,98651,33,8.81e-06,0.00102422,True,4.70903981,27.20216834,71.74017314,199404699648.0,2435.64892578,0.00193338,2.1807394,337.82733154,0.52197188,0.67797166,129109175261.1474,4112.49744662,0.00312215,2.1807693,922.11224065,0.52191347,0.67787938
random_IR_0077.npz,random_IR_0077.npz,172.28,0.02429882,PSO+Optuna,L1_STFT,2000,57,34,1995,0.33697849819521225,1.627300306470914,1.0978924847647726,39643,23,1.613e-05,0.01330944,True,39.044443,13.42727894,18.25053492,180729954304.0,12218.07226562,0.00319563,2.90446806,712.58197021,0.85069573,0.83928108,155302457335.1123,4605.22078655,0.00211627,2.90447007,209.75785216,0.8506823,0.839259
random_IR_0078.npz,random_IR_0078.npz,275.634,0.03874538,PSO+Optuna,L1_STFT,2000,57,34,1995,0.1953780021999447,1.4526691269343914,1.8358529917602235,62900,2,3.05e-05,3.12e-06,True,13.76869326,1.04056244,44.94070043,73250922496.0,10585.85546875,0.00130067,3.85166645,618.77471924,0.98183161,0.51823008,157077160325.4541,13717.37405744,0.00101081,3.85169696,647.20018193,0.98175746,0.51826712
random_IR_0079.npz,random_IR_0079.npz,105.945,0.00476491,PSO+Optuna,L1_STFT,2000,41,47,1968,0.6609239791131553,1.082656566690029,1.2947474328823199,10607,21,9.13e-06,0.01136943,True,64.13988361,34.74182455,12.3360544,219999993856.0,13229.94238281,0.00484808,3.11982393,791.23309326,0.55762678,0.72658014,187998544973.79297,8708.53954842,0.00425471,3.11979905,509.81209855,0.55764903,0.72659746
random_IR_0080.npz,random_IR_0080.npz,159.038,0.00703654,PSO+Optuna,L1_STFT,2000,58,33,1972,0.22279796470564073,1.2699399366013249,2.4647713356161707,9078,19,1.272e-05,0.00217327,True,13.5032506,24.5024098,2.35557465,219999993856.0,5259.92236328,0.0025672,2.60780096,31.80791473,0.81573963,0.94454432,129776139091.58922,6711.87862891,0.00377583,2.60786189,90.89482318,0.81541439,0.94461078
