step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
14849,59,,0.000552683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14899,59,,0.000552683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14949,59,,0.000552683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14999,59,59,0.000552683,9.3668,0,0.03166,0.199459,4.56178e-05,4.54372e-05,8.46616e-05,0.0122094,0.0122034,0.0244192,0,0.00251201,0.201971,0,3.9345,5.10654,0.783567,0.0683741,2.61749,0.0454074,0.0478396,0.0311139,0.112911,0.0805799,0,0.081663,0,
15049,60,,0.000547157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15099,60,,0.000547157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15149,60,,0.000547157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15199,60,,0.000547157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15249,60,60,0.000547157,9.30013,0,0.0349933,0.196934,4.5524e-05,4.52419e-05,8.41781e-05,0.0121242,0.0121169,0.0242494,0,0.0028012,0.199735,0,3.91727,5.04766,0.78002,0.0684991,2.58126,0.045241,0.0482629,0.0312205,0.11317,0.0787923,0,0.0826026,0,
15299,61,,0.000541685,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15349,61,,0.000541685,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15399,61,,0.000541685,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15449,61,,0.000541685,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15499,61,61,0.000541685,9.23347,0,0.0383267,0.190808,4.53183e-05,4.49528e-05,8.34741e-05,0.0120391,0.0120303,0.0240767,0,0.00304521,0.193853,0,4.04523,5.19519,0.798003,0.0807104,2.73464,0.0463401,0.0530707,0.0307068,0.112464,0.0817997,0,0.0910347,0,
15549,62,,0.000536268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15599,62,,0.000536268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15649,62,,0.000536268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15699,62,,0.000536268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15749,62,62,0.000536268,9.1668,0,0.04166,0.189147,4.51623e-05,4.47226e-05,8.28935e-05,0.0119515,0.011945,0.0239094,0,0.00331642,0.192464,0,3.9239,5.04282,0.78128,0.0687952,2.57852,0.0456552,0.0472444,0.0303512,0.114557,0.0817794,0,0.0826493,0,
15799,63,,0.000530906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15849,63,,0.000530906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15899,63,,0.000530906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15949,63,,0.000530906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15999,63,63,0.000530906,9.10013,0,0.0449934,0.185461,4.48452e-05,4.44474e-05,8.22628e-05,0.011868,0.0118588,0.0237341,0,0.00353862,0.189,0,3.92415,5.1164,0.787909,0.0717252,2.67333,0.0454928,0.0477001,0.0324614,0.113825,0.0789706,0,0.084586,0,
16049,64,,0.000525596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16099,64,,0.000525596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16149,64,,0.000525596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16199,64,,0.000525596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16249,64,64,0.000525596,9.03347,0,0.0483267,0.181515,4.47885e-05,4.41206e-05,8.18752e-05,0.0117824,0.0117721,0.0235644,0,0.00380809,0.185323,0,3.96228,5.05357,0.786108,0.0709943,2.62353,0.0450984,0.0476781,0.0305642,0.113203,0.0791456,0,0.0847567,0,
16299,65,,0.000520341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16349,65,,0.000520341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16399,65,,0.000520341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16449,65,,0.000520341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16499,65,65,0.000520341,8.9668,0,0.05166,0.180629,4.4675e-05,4.3972e-05,8.11438e-05,0.011695,0.0116857,0.0233854,0,0.0040879,0.184717,0,3.97217,5.00549,0.785799,0.0731656,2.57273,0.0453563,0.0480913,0.0306472,0.112842,0.0805571,0,0.086545,0,
16549,66,,0.000515137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16599,66,,0.000515137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16649,66,,0.000515137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16699,66,,0.000515137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16749,66,66,0.000515137,8.90013,0,0.0549933,0.175817,4.43178e-05,4.36156e-05,8.02943e-05,0.011612,0.0115993,0.0232202,0,0.00428225,0.180099,0,3.90956,5.01022,0.777949,0.0677488,2.55908,0.0450522,0.0469915,0.0304746,0.112567,0.0802803,0,0.0819571,0,
16799,67,,0.000509986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16849,67,,0.000509986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16899,67,,0.000509986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16949,67,,0.000509986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
