step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
52449,209,,0.000122393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52499,209,209,0.000122393,0,0,0.5,0,1.59167e-05,0.304965,1.09512e-05,0.000390921,0.000672428,0,0.0581883,0.0581883,0,5.94134,8.2561,1.03253,0.0396412,2.3035,0.0367392,0.0556272,0.0342531,0.00184129,0.0202214,0.0717532,0,0.120375,0,
52549,210,,0.000121169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52599,210,,0.000121169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52649,210,,0.000121169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52699,210,,0.000121169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52749,210,210,0.000121169,0,0,0.5,0,1.58837e-05,0.300787,1.07327e-05,0.000378975,0.000669209,0,0.058936,0.058936,0,5.9666,8.39929,1.04438,0.0448277,2.43716,0.0382168,0.0618366,0.033349,0.00182991,0.0216724,0.0723961,0,0.122368,0,
52799,211,,0.000119957,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52849,211,,0.000119957,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52899,211,,0.000119957,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52949,211,,0.000119957,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52999,211,211,0.000119957,0,0,0.5,0,1.61175e-05,0.302546,1.05234e-05,0.000392781,0.000649004,0,0.0584593,0.0584593,0,6.03264,9.71359,1.08759,0.053886,2.85538,0.0389175,0.0623596,0.0365563,0.00232096,0.0216313,0.0717195,0,0.143835,0,
53049,212,,0.000118758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53099,212,,0.000118758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53149,212,,0.000118758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53199,212,,0.000118758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53249,212,212,0.000118758,0,0,0.5,0,1.62778e-05,0.31564,1.08538e-05,0.000402392,0.000698424,0,0.0583271,0.0583271,0,6.01737,8.62835,1.06222,0.0429107,2.48481,0.0380351,0.0616381,0.0358997,0.00197328,0.01907,0.0715943,0,0.122542,0,
