loss,input_len,n_fft,n_targets,monotonicity,autocorr_length,entropy,metamodel_r2,metamodel_slope,skewness,kurtosis,fdc_7d_global,fdc_6d_global,fdc_7d_q0,fdc_6d_q0,fdc_7d_q1,fdc_6d_q1,fdc_7d_q2,fdc_6d_q2,fdc_7d_q3,fdc_6d_q3,fdc_7d_q4,fdc_6d_q4
l1_stft,4096,512,20,0.6843434343434344,24.75,1.1283039249941147,0.11714661450606242,0.19326761614274857,0.8022646605968475,0.5751142501831055,0.05037593984962406,0.14556390977443606,0.13157894736842105,0.17744360902255638,0.007518796992481203,0.021052631578947364,-0.0015037593984962405,0.0669172932330827,0.03233082706766917,0.1383458646616541,0.08195488721804511,0.3240601503759398
l1_stft,4096,1024,20,0.6919191919191919,25.0,1.1469479997285057,0.11175553125863105,0.2608294814565292,1.141968309879303,1.734158992767334,0.08962406015037594,0.16375939849624058,0.12631578947368421,0.15112781954887217,0.05639097744360902,0.0781954887218045,0.013533834586466165,0.0781954887218045,0.09999999999999998,0.1609022556390977,0.15187969924812028,0.35037593984962406
l1_stft,4096,2048,20,0.6616161616161617,26.5,1.1496381768171564,0.11709265572811799,0.34395418373708336,1.4559799432754517,2.121314764022827,0.09654135338345864,0.19112781954887215,0.16541353383458646,0.2120300751879699,0.06766917293233082,0.1413533834586466,-0.0030075187969924814,0.09097744360902255,0.05789473684210525,0.16616541353383457,0.19473684210526315,0.34511278195488715
l1_stft,4096,4096,20,0.6540404040404041,28.75,1.1458570520386115,0.12284973111918901,0.5029842099810335,1.5905882716178894,2.3827104568481445,0.07789473684210524,0.18917293233082705,0.1609022556390977,0.23082706766917288,0.060902255639097735,0.12932330827067667,-0.03684210526315789,0.09548872180451126,0.012781954887218044,0.1631578947368421,0.19172932330827064,0.3270676691729323
l1_stft,8192,512,20,0.6515151515151516,23.0,1.1186924522472095,0.07978498624454317,0.11643467288526116,0.7310117483139038,0.631181001663208,0.06706766917293232,0.17473684210526313,0.12481203007518796,0.10150375939849623,0.03909774436090225,0.08496240601503759,0.03007518796992481,0.15187969924812028,0.025563909774436087,0.1744360902255639,0.11578947368421053,0.3609022556390977
l1_stft,8192,1024,20,0.6590909090909091,25.75,1.1191799969314529,0.08997661318698462,0.17564553198808944,1.1452177166938782,1.3184289932250977,0.07714285714285714,0.18616541353383456,0.14285714285714285,0.10526315789473684,0.03007518796992481,0.06466165413533834,0.030827067669172925,0.1924812030075188,-0.009022556390977442,0.231578947368421,0.19097744360902255,0.33684210526315783
l1_stft,8192,2048,20,0.6691919191919192,26.75,1.1386618991335986,0.08713576493732,0.25738974062698017,1.353150725364685,1.9691870212554932,0.08962406015037594,0.1861654135338346,0.16090225563909774,0.13383458646616542,0.10375939849624059,0.13233082706766916,-0.04586466165413533,0.12481203007518797,0.025563909774436084,0.24285714285714283,0.20375939849624058,0.2969924812030075
l1_stft,8192,4096,20,0.6666666666666666,27.75,1.152169908944845,0.0990164613145062,0.36341823598059064,1.4551987648010254,2.015103340148926,0.09789473684210526,0.1431578947368421,0.15864661654135337,0.10827067669172932,0.054887218045112776,0.09172932330827067,-0.015789473684210523,0.013533834586466164,0.057894736842105256,0.17894736842105263,0.2338345864661654,0.32330827067669166
l1_stft,16384,512,20,0.6111111111111112,17.75,1.1018818328491966,0.09971476271915436,0.08441741222989926,0.7937802076339722,0.7516463994979858,0.04060150375939849,0.15218045112781953,0.11203007518796992,0.1609022556390977,0.07142857142857142,0.07443609022556391,0.04285714285714286,0.10676691729323308,-0.10150375939849623,0.11278195488721804,0.07819548872180451,0.30601503759398496
l1_stft,16384,1024,20,0.6237373737373737,19.5,1.107120406040321,0.08451713562027847,0.1335980171172934,1.1210829019546509,1.3711817264556885,0.06315789473684211,0.1700751879699248,0.1819548872180451,0.18872180451127818,0.005263157894736842,0.11578947368421053,0.045112781954887216,0.11052631578947367,-0.045112781954887216,0.13458646616541353,0.12857142857142856,0.3007518796992481
