loss,input_len,n_fft,n_targets,monotonicity,autocorr_length,entropy,metamodel_r2,metamodel_slope,skewness,kurtosis,fdc_7d_global,fdc_6d_global,fdc_7d_q0,fdc_6d_q0,fdc_7d_q1,fdc_6d_q1,fdc_7d_q2,fdc_6d_q2,fdc_7d_q3,fdc_6d_q3,fdc_7d_q4,fdc_6d_q4
l1_stft,1024,128,20,0.6212121212121212,20.5,1.1044331196131636,0.11015355426169798,0.16246817637250477,0.6150729358196259,0.31065475940704346,0.17729323308270675,0.136390977443609,0.23007518796992477,0.2285714285714286,0.16992481203007517,0.07744360902255638,0.11353383458646615,0.03759398496240601,0.13383458646616542,0.10676691729323308,0.23909774436090223,0.23157894736842105
l1_stft,1024,256,20,0.6313131313131313,23.75,1.1232618241123624,0.12740949270148627,0.22238574139582357,0.7660331428050995,0.330486536026001,0.1845112781954887,0.1726315789473684,0.21503759398496242,0.262406015037594,0.18045112781954886,0.11353383458646615,0.1383458646616541,0.04060150375939849,0.10075187969924812,0.1518796992481203,0.2879699248120301,0.29473684210526313
l1_stft,1024,512,20,0.6388888888888888,26.0,1.130492643783086,0.1231202281252783,0.3130092855688963,0.9200084209442139,0.2519923448562622,0.17037593984962401,0.16451127819548872,0.17894736842105263,0.2112781954887218,0.19022556390977444,0.12932330827067667,0.08045112781954886,0.06165413533834586,0.11428571428571427,0.13909774436090225,0.28796992481203004,0.281203007518797
l1_stft,1024,1024,20,0.6212121212121212,26.75,1.1282942711005735,0.11892054988728959,0.4148455846763686,0.9722429811954498,0.42146146297454834,0.16345864661654136,0.15804511278195488,0.1781954887218045,0.16616541353383457,0.19323308270676692,0.156390977443609,0.045112781954887216,0.09097744360902255,0.12180451127819547,0.13984962406015036,0.2789473684210526,0.23684210526315785
l1_stft,2048,128,20,0.6313131313131313,20.5,1.1143069705139832,0.0903774001744937,0.1405377797933205,0.46728816628456116,0.1260899305343628,0.1320300751879699,0.13984962406015036,0.17669172932330826,0.15488721804511274,0.07969924812030074,0.054135338345864654,-0.0007518796992481202,0.0781954887218045,0.25037593984962403,0.11729323308270675,0.15413533834586463,0.2947368421052632
l1_stft,2048,256,20,0.6388888888888888,25.0,1.1233742233352748,0.1232996777734745,0.1952306308900515,0.6636388897895813,0.4573032855987549,0.13458646616541353,0.15428571428571428,0.1969924812030075,0.18646616541353384,0.05864661654135338,0.03984962406015037,-0.0030075187969924796,0.10902255639097744,0.218796992481203,0.118796992481203,0.2015037593984962,0.31729323308270674
l1_stft,2048,512,20,0.6590909090909092,29.5,1.135075764649193,0.13048690943994945,0.27124543935758627,0.833384245634079,0.8020981550216675,0.13142857142857142,0.16646616541353382,0.20902255639097744,0.22180451127819548,0.07819548872180451,0.06015037593984962,0.02706766917293233,0.1669172932330827,0.15112781954887217,0.10225563909774435,0.19172932330827067,0.28120300751879695
l1_stft,2048,1024,20,0.6565656565656566,27.5,1.1345204842860328,0.10048724734086277,0.3860840559978932,1.2203208804130554,1.3322575092315674,0.13894736842105262,0.16210526315789472,0.17218045112781954,0.22631578947368416,0.10075187969924812,0.039097744360902256,0.026315789473684206,0.1488721804511278,0.18872180451127818,0.12030075187969923,0.20676691729323307,0.27593984962406015
l1_stft,4096,128,20,0.6641414141414141,20.5,1.1070731262097555,0.11223251218060623,0.09978725073645582,0.11903347820043564,-0.2623114585876465,0.04932330827067668,0.11714285714285713,0.09699248120300752,0.1774436090225564,-0.018796992481203006,0.02781954887218045,0.06165413533834586,0.06616541353383458,0.03609022556390977,0.05864661654135338,0.0706766917293233,0.2556390977443609
l1_stft,4096,256,20,0.6565656565656566,21.5,1.1202481920497298,0.12653532960852557,0.14434248043503936,0.5197117924690247,0.291070818901062,0.05097744360902255,0.1302255639097744,0.07969924812030074,0.16842105263157892,0.009022556390977444,0.0015037593984962398,0.0518796992481203,0.08646616541353383,0.03233082706766917,0.12481203007518796,0.08195488721804511,0.2699248120300752
l1_stft,4096,512,20,0.6843434343434344,24.75,1.1283039249941147,0.11714661450606242,0.19326761614274857,0.8022646605968475,0.5751142501831055,0.05037593984962406,0.14556390977443606,0.13157894736842105,0.17744360902255638,0.007518796992481203,0.021052631578947364,-0.0015037593984962405,0.0669172932330827,0.03233082706766917,0.1383458646616541,0.08195488721804511,0.3240601503759398
l1_stft,4096,1024,20,0.6919191919191919,25.0,1.1469479997285057,0.11175553125863105,0.2608294814565292,1.141968309879303,1.734158992767334,0.08962406015037594,0.16375939849624058,0.12631578947368421,0.15112781954887217,0.05639097744360902,0.0781954887218045,0.013533834586466165,0.0781954887218045,0.09999999999999998,0.1609022556390977,0.15187969924812028,0.35037593984962406
l1_cqt,1024,128,20,0.6338383838383839,22.5,1.1166608910050635,0.05031084962406454,0.019057547809507868,0.010228772647678852,-0.2710742950439453,0.10406015037593982,0.09909774436090225,0.18721804511278195,0.175187969924812,0.11654135338345864,0.0518796992481203,0.10676691729323308,0.09548872180451128,-0.021804511278195486,0.03007518796992481,0.13157894736842102,0.14285714285714285
l1_cqt,1024,256,20,0.6338383838383839,22.25,1.114100632908824,0.05032541474092825,0.01913977139288959,0.007297029718756676,-0.2686035633087158,0.10406015037593982,0.1007518796992481,0.18721804511278195,0.175187969924812,0.11654135338345864,0.0518796992481203,0.10676691729323308,0.09548872180451128,-0.021804511278195486,0.03834586466165413,0.13157894736842102,0.14285714285714285
l1_cqt,1024,512,20,0.6338383838383839,22.0,1.1164467751985816,0.05036009470141971,0.019271536200089937,0.003631436266005039,-0.2635616064071655,0.10556390977443608,0.0981954887218045,0.18721804511278195,0.17368421052631577,0.11654135338345864,0.0518796992481203,0.10526315789473684,0.08270676691729323,-0.012781954887218044,0.03834586466165413,0.13157894736842102,0.14436090225563908
l1_cqt,1024,1024,20,0.6338383838383839,21.75,1.114216290561855,0.05049613691725052,0.019445918990827336,8.12700018286705e-05,-0.2552679777145386,0.1094736842105263,0.09428571428571428,0.19097744360902255,0.1744360902255639,0.11278195488721804,0.0481203007518797,0.10526315789473684,0.06992481203007518,-0.0007518796992481203,0.03759398496240601,0.13909774436090222,0.14135338345864662
l1_cqt,2048,128,20,0.6363636363636364,13.5,1.1159096559208337,0.045707239188637575,0.018318039286312635,0.5398013293743134,0.4747868776321411,0.08526315789473685,0.05894736842105262,0.12556390977443607,0.1263157894736842,0.09473684210526315,0.10827067669172932,0.012781954887218044,-0.04661654135338346,0.04661654135338346,0.08270676691729323,0.14661654135338345,0.024060150375939844
l1_cqt,2048,256,20,0.6363636363636364,13.5,1.1112215176284197,0.04562764162680469,0.01835871052663873,0.5376129448413849,0.47846686840057373,0.0849624060150376,0.05894736842105262,0.12556390977443607,0.1263157894736842,0.09323308270676692,0.10827067669172932,0.012781954887218044,-0.04661654135338346,0.04661654135338346,0.08270676691729323,0.14661654135338345,0.024060150375939844
l1_cqt,2048,512,20,0.6388888888888888,13.5,1.1093530388909811,0.04543470379310649,0.018431015665252,0.532628744840622,0.4837552309036255,0.08300751879699246,0.057894736842105256,0.12180451127819547,0.12857142857142856,0.09323308270676692,0.10827067669172932,0.012781954887218044,-0.03383458646616541,0.04661654135338346,0.0781954887218045,0.14060150375939848,0.008270676691729323
