filename,target_npz,runtime,best_loss,n_restarts_run,total_evaluations,cmaes_gen_count,best_popsize,loss_name,gt_loss,terrain_mean,early_threshold,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,157.2844440937042,4.650674782169517e-06,3,11835,199,59,L1_STFT_512,5.519488240679493e-06,0.4344939291477203,0.004133159380005736,0.01522524967346086,True,80.27924119750564,13.78047120242891,12.31884466218369,150181544501.4293,18413.46403710465,0.004359811985172174,2.691559177955708,988.9475019100491,0.8264879970465689,0.7244176893156065,131819184298.8524,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193
random_IR_0002.npz,random_IR_0002.npz,215.9095559120178,7.750527402095031e-06,13,10907,221,51,L1_STFT_512,7.85616703069536e-06,0.4500053524971008,0.004282832382166361,0.002686482044153353,True,97.22383101216967,17.8971937387893,4.561770047112215,156604845473.4373,19444.8410702765,0.00499998074866174,3.686141644571246,443.5127601768152,0.7883420455341161,0.9635423674814296,147920922722.1944,17314.43071595409,0.0048546510420041,3.686141702268032,383.4476844105894,0.7883418349360268,0.9635423527634041
random_IR_0003.npz,random_IR_0003.npz,213.9971513748169,0.234707310795784,20,10532,250,40,L1_STFT_512,1.662834620219655e-05,0.628121018409729,0.005983620051805701,0.04490220314425151,True,42.87442207114533,26.57609905917371,23.26363937062898,168718395405.9545,10122.90309292684,0.004235387978879587,2.61156104390027,997.4150932872606,0.8731423860278509,0.9895090077750259,186057982895.3271,18083.25309630123,0.0013485171988061,1.306004568773872,20.22819525635132,0.9363059526409414,0.9895229876940544
random_IR_0004.npz,random_IR_0004.npz,66.4148371219635,8.88034173840424e-06,1,7268,158,46,L1_STFT_512,9.779058018466458e-06,0.4706027209758759,0.004480412006238111,0.0001473869883466233,True,16.32802411785226,25.51222175158891,58.93651886924659,216404202544.6432,5857.928291961917,0.002787337656600733,3.417559753150448,962.3169015193133,0.5802432890251701,0.9728876913128853,164907916263.1111,4653.559206335945,0.0028459174490117,3.417559836228498,780.5313709946926,0.5802431108304328,0.972887769354296
random_IR_0005.npz,random_IR_0005.npz,62.22998189926147,3.293208919785684e-06,1,3944,116,34,L1_STFT_512,3.266269231971819e-06,0.4855104386806488,0.004615584407140431,0.000243338134247532,True,41.19553501080179,5.059944736562995,5.858508572151202,80564913864.46896,13392.11948080911,0.0030761027087486,2.613360000691148,241.3443949951373,0.7885326426972012,0.5192069364225169,136791000829.1319,16985.59336136327,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814
random_IR_0006.npz,random_IR_0006.npz,57.33127880096436,4.171463842794765e-06,1,4366,118,37,L1_STFT_512,4.961144441040233e-06,0.4573395550251007,0.004349639786307307,0.004613439086876078,True,86.81879239476504,8.97684546377597,8.86879823929651,103075880322.0003,19741.01238198165,0.004397889566900213,2.891143021521786,769.9783531285415,0.6861588863901693,0.7241455918314692,171318505762.8329,20172.46387607493,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774
random_IR_0007.npz,random_IR_0007.npz,1027.138122081757,0.1458312720060349,20,7203,217,30,L1_STFT_512,4.464340690901736e-06,0.4834938049316406,0.004597613076304924,0.01462125934178607,True,17.97108014625813,0.8982090146897904,42.30254916275635,172551910608.7841,17667.6749647171,0.001017172898083474,3.95635977756132,760.222501394919,0.5612163614147582,0.632503942289897,99188531844.29764,15037.9919488214,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501
random_IR_0008.npz,random_IR_0008.npz,63.12307286262512,2.723010766203515e-06,1,4212,108,39,L1_STFT_512,2.691197323656525e-06,0.5309654474258423,0.005046837381494584,0.01487898802003072,True,37.94378985621636,3.761798123170147,6.362747748277592,181170810019.9979,18334.70290248237,0.002069506664930964,2.154761175075099,241.4267634687588,0.6123497464439794,0.5890416763790803,82612856044.4483,21011.42815551345,0.0032807870816715,2.154761235733606,438.6071274471857,0.612349610486469,0.5890416637636482
random_IR_0009.npz,random_IR_0009.npz,535.7298290729523,3.501830860841437e-06,10,15337,436,31,L1_STFT_512,4.39620771430782e-06,0.4869299232959747,0.004630188715052782,0.001191285687800536,True,22.91181868438808,4.683010680481859,32.97171888296318,117675494229.3956,10544.90073778098,0.002172786568042132,2.994014280832741,755.442044759067,0.5640837325569883,0.8316014212926155,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984
random_IR_0010.npz,random_IR_0010.npz,462.6462047100067,0.2174931615591049,20,14695,383,38,L1_STFT_512,5.319924184732372e-06,0.4279378950595856,0.004070679387971041,0.1692062224635432,True,73.09620641470613,19.44277093189229,12.50903952817601,196341367541.4626,16864.11682471963,0.004334422441118342,3.483561990551338,914.3633354012718,0.7213431406318225,0.785119680021765,81856495196.33838,17864.67272114118,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419
random_IR_0011.npz,random_IR_0011.npz,294.2996845245361,4.399830231704982e-06,3,9456,210,40,L1_STFT_512,4.381715825729771e-06,0.4652878642082214,0.004424574799503489,4.405118634296612e-07,True,39.84131928852739,9.585653034147553,24.62049556333113,109841098502.2334,11736.88062355828,0.003394540727334131,3.93173266815438,980.9130247804478,0.5292019683436789,0.6485753937419921,180107327647.9402,13801.09577120686,0.0028746048065908,3.931732448538848,976.7613205794552,0.5292020182046171,0.6485754116624407
