filename,target_npz,runtime,best_loss,n_restarts_run,total_evaluations,cmaes_gen_count,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,51.98344016075134,8.777643074608932e-07,1,5076,94,54,L1,1.918873522299691e-06,0.00528333786753702,True,30.46365388398351,13.78047042590907,12.31888886297584,187820476405.4872,10398.32655834531,0.002929668895571904,2.691558738203536,375.2783665569552,0.8264878489810267,0.7244178058195907,131819184298.8524,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193
random_IR_0002.npz,random_IR_0002.npz,73.94885897636414,1.597799496266816e-06,3,7309,180,38,L1,1.650532794883475e-06,5.553754582433408e-05,True,85.94887160444486,17.89718537333742,4.561746842958406,184141441417.3499,18904.48624896414,0.004546480156748739,3.686141439703427,392.0769936974137,0.7883412431133652,0.9635422707462563,147920922722.1944,17314.43071595409,0.0048546510420041,3.686141702268032,383.4476844105894,0.7883418349360268,0.9635423527634041
random_IR_0003.npz,random_IR_0003.npz,193.2084331512451,0.1327878534793854,20,33603,671,60,L1,4.961263584846165e-06,0.003220108850148585,True,33.85623646104307,1.654079851347491,7.079937081611433,67435459012.91766,16075.04611694859,0.002106136194865845,1.312454255927264,239.7000239643439,0.9720291142042263,0.953407396054802,186057982895.3271,18083.25309630123,0.0013485171988061,1.306004568773872,20.22819525635132,0.9363059526409414,0.9895229876940544
random_IR_0004.npz,random_IR_0004.npz,68.2824866771698,1.999123242057976e-06,1,7366,127,58,L1,1.960161853276077e-06,0.0002144716614348376,True,16.96433195325431,25.51222384666406,58.93677002583908,122361060104.1117,4969.034040662689,0.003414010009678236,3.417559672409279,999.8229309709429,0.5802432908207806,0.9728877004522236,164907916263.1111,4653.559206335945,0.0028459174490117,3.417559836228498,780.5313709946926,0.5802431108304328,0.972887769354296
random_IR_0005.npz,random_IR_0005.npz,99.37437152862549,1.305487330682809e-06,1,5886,109,54,L1,6.626681852139882e-07,0.002266558430978372,True,57.25414755683591,5.059947431075911,5.858484347726396,137655359194.0273,19938.97524571634,0.002871468912081443,2.613360465723202,335.4225273041407,0.7885322754913653,0.5192073254965305,136791000829.1319,16985.59336136327,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814
random_IR_0006.npz,random_IR_0006.npz,50.4113233089447,1.128011376749782e-06,1,3663,111,33,L1,1.35145080548682e-06,0.02792317317614921,True,27.10819330983898,8.976844245789421,8.868921324194176,194011053282.0431,11218.0439284527,0.002416481294130393,2.891142902774744,240.4204337060089,0.6861590450044432,0.7241454543310293,171318505762.8329,20172.46387607493,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774
random_IR_0007.npz,random_IR_0007.npz,865.1869189739227,2.607172064017504e-06,9,15362,361,41,L1,1.001914370135637e-06,3.622903100077832e-05,True,20.18988033339052,0.9028042105381714,35.73126774669648,204601573844.4897,20174.84099082336,0.001000745450364343,3.123129496019885,721.4100199661382,0.5731735716749645,0.6645596448307265,99188531844.29764,15037.9919488214,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501
random_IR_0008.npz,random_IR_0008.npz,70.63038563728333,7.376973485406779e-07,1,4332,114,38,L1,4.698602253938589e-07,0.01548679129664175,True,37.31715332488358,3.761799031378096,6.362713229781032,139555960366.2685,16621.58482527983,0.002245101999427142,2.154761282131836,237.438345158004,0.6123493763990193,0.5890414601563786,82612856044.4483,21011.42815551345,0.0032807870816715,2.154761235733606,438.6071274471857,0.612349610486469,0.5890416637636482
random_IR_0009.npz,random_IR_0009.npz,168.4562346935272,1.030772295962379e-06,4,8234,181,42,L1,1.065823767021357e-06,0.001235526049791249,True,23.07315859297483,4.683010889863137,32.97166616233413,169849033224.3135,11972.91310305966,0.001927113175746554,2.994014013525276,760.7604824381573,0.5640835219763736,0.8316014369062231,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984
random_IR_0010.npz,random_IR_0010.npz,615.0711896419525,1.474324562877882e-06,7,19183,350,52,L1,1.506189732936036e-06,8.576121814630722e-05,True,29.55939856421012,1.299655958004581,11.55455979206847,117556850519.5144,19152.23233518269,0.001543391811820779,1.500730344306036,341.5458381277488,0.9205928257271023,0.5570882763081173,81856495196.33838,17864.67272114118,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419
random_IR_0011.npz,random_IR_0011.npz,225.6153836250305,1.120711090152327e-06,4,15650,292,58,L1,8.439345151600719e-07,0.0055019215574183,True,20.82773144780493,9.585649528537179,24.62055813833372,167369488067.6764,8764.531761606988,0.002376365562281463,3.931732599793192,512.7903730002829,0.5292018910393356,0.6485753784236383,180107327647.9402,13801.09577120686,0.0028746048065908,3.931732448538848,976.7613205794552,0.5292020182046171,0.6485754116624407
random_IR_0012.npz,random_IR_0012.npz,168.2239203453064,1.156113171418838e-06,9,10617,291,41,L1,7.031814561742067e-07,0.06134532835396161,True,81.29378974386658,6.578049199687092,6.464374638859163,107087496856.7064,21225.99002055281,0.003829917458038519,1.44857004323855,525.5135127170003,0.5414326210577847,0.8493116792643037,130382238160.7445,8408.083772606749,0.0021845607900885,1.44857002751819,118.7365316770545,0.5414322732109044,0.8493113384913098
random_IR_0013.npz,random_IR_0013.npz,302.5428183078766,0.1319521963596344,20,18984,434,48,L1,1.915781012939988e-06,0.1617323510717956,True,99.4011890444697,13.95640462158469,0.0001822345866273759,131284125324.007,20215.74573344144,0.004917018167676968,1.628341642794643,0.01811433459578858,0.923230620318177,0.7481954162888126,155119813820.0954,4196.081602258703,0.0020615579637577,2.743144217199068,523.252820986165,0.965355136812345,0.6660987867011486
random_IR_0014.npz,random_IR_0014.npz,96.68981146812439,1.43203760671895e-06,1,3993,121,33,L1,1.377473040520272e-06,0.0003122243651927249,True,16.50949783323604,2.503031739294884,59.59352516273618,114255041297.5707,10341.29054110222,0.001596463977838919,3.035490072012924,983.8591745490903,0.7973906024527575,0.5198524978098429,95028278387.08888,7870.83454740738,0.0015271914496175,3.035490101894677,716.3300408465243,0.7973913380569407,0.5198526976318718
random_IR_0015.npz,random_IR_0015.npz,601.8063066005707,2.477385351085104e-06,10,42092,776,50,L1,4.042391537950607e-06,1.320024525520137e-05,True,8.570187991770508,2.206073727701098,88.63714560561077,191076848988.4111,8269.363336985676,0.001036378212266881,3.503925710964197,759.6370008940195,0.981472288831958,0.6318890200198551,179484685384.757,7506.149896012699,0.0010187819047701,3.503926084730353,677.8197586308621,0.9814723871075448,0.6318890403247794
random_IR_0016.npz,random_IR_0016.npz,40.15053462982178,1.38931341098214e-06,1,5889,151,39,L1,1.015910015667032e-06,0.004300201593036359,True,38.97081244959913,32.39144264746853,25.65003468434384,219013779014.8632,9700.389698417555,0.00401744812952788,2.770856105997402,999.6026910092762,0.7290912037434318,0.9247402497377639,212770598762.0987,6623.934693643624,0.0033681677250873,2.770856269811727,572.2561832718154,0.7290914355226374,0.9247402495108528
random_IR_0017.npz,random_IR_0017.npz,93.76295614242554,2.050557213806314e-06,1,7056,126,56,L1,1.448624288968858e-06,0.0003765397638665654,True,26.57410339505583,8.702207607879858,37.59914715083397,78039692943.12498,8256.898452381905,0.003218412282567175,3.12848986428978,999.1636239521806,0.7948244140451892,0.9420504243731198,201808789158.0077,9884.307927923312,0.0021897478034205,3.128489898420763,813.7996817242802,0.7948237075915707,0.9420503273088778
random_IR_0018.npz,random_IR_0018.npz,59.18789505958557,1.02544413493888e-06,1,4620,105,44,L1,9.481902907282347e-07,0.005489923682144343,True,60.77339952466568,10.97382442835224,6.298210003360496,139232586408.9319,16089.86772900141,0.003777122382126475,3.108341384522583,382.7636328244734,0.7176890101934649,0.8071326537255015,165530500482.1345,20404.37233279661,0.0039010171192785,3.108341611225521,501.329368682883,0.717688973793508,0.8071326749226829
random_IR_0019.npz,random_IR_0019.npz,108.7050604820251,7.260312031576177e-07,2,9020,220,42,L1,5.443909572022676e-07,4.984114574622571e-05,True,19.18689688214189,8.86713853465543,37.95599066214786,219090350660.2278,9316.059188514024,0.002059550770759147,1.155660248035806,728.2576788941715,0.7200967579052917,0.5763823863296562,161556360636.8228,7883.459015556348,0.0022062992666981,1.155660275097067,660.1769357573102,0.7200966634634254,0.5763822914690007
random_IR_0020.npz,random_IR_0020.npz,43.52936196327209,1.144113639384159e-06,1,5310,90,59,L1,6.734001658514899e-07,1.056472207873435e-07,True,43.30115713651079,12.06829675183436,13.61990917820605,97526950901.43311,11043.54188303202,0.003920948332983766,1.965018685480699,589.7578275105055,0.8295301305076255,0.7213952027574325,166939725438.1414,13227.31467837208,0.003279859642805,1.965018745272489,590.8768525205608,0.8295306023008275,0.7213950333626472
random_IR_0021.npz,random_IR_0021.npz,97.68700122833252,1.846899408519675e-06,1,4802,98,49,L1,8.671622708789073e-07,0.0002768404196243966,True,43.19700323506746,5.377943463135033,9.190920522050366,206266117564,18529.14837942569,0.002331299979389897,3.699985418935208,397.0202235242575,0.8549060401842732,0.5591111069786244,190347680324.0511,19198.15907429464,0.0024702474801915,3.699985127968082,435.8705666163742,0.8549054059347795,0.5591111747830275
random_IR_0022.npz,random_IR_0022.npz,207.7487542629242,1.079642970580608e-06,17,12384,333,34,L1,1.575500277795072e-06,1.789365993508133e-06,True,19.86921299183537,50.42948549664946,49.42580947602635,105511566544.3649,4187.371061077841,0.004745032790746034,3.766499514314165,982.0519357730425,0.5896213551386577,0.8116241617414333,199823286777.3368,5239.628127570282,0.0038569651981964,3.766499579859553,998.8470180978009,0.5896215379914237,0.8116241864990836
random_IR_0023.npz,random_IR_0023.npz,209.4873330593109,1.099576479646203e-06,15,22813,434,60,L1,1.494919729339017e-06,0.02466726192710287,True,17.76105036725018,16.88648087568085,14.00055881872249,113458097425.117,5732.715259013466,0.003098191618592035,1.459077933963213,248.6646303489789,0.5438925066144286,0.8517399635990968,129299044475.5779,13129.09388595436,0.0043920329172889,1.45907795026338,807.3208855354235,0.5438918277730177,0.8517400988408361
random_IR_0024.npz,random_IR_0024.npz,125.611866235733,1.166202878266631e-06,5,12004,279,50,L1,1.018041302813799e-06,0.001566144012375283,True,70.70326869125597,12.80696099673406,10.72826140476616,143145236440.2078,17061.57390681391,0.004144006237491319,2.415273625375073,758.523148691213,0.5157403974258624,0.6863890923431952,197937911386.0695,20769.80429405425,0.0038882223978813,2.4152737797664,866.3836621053699,0.5157399012506509,0.6863892515943983
random_IR_0025.npz,random_IR_0025.npz,382.1075081825256,0.06483101099729538,20,11095,225,42,L1,8.670045303915686e-07,0.03304734621054663,True,41.47460101960648,15.05190921529808,20.86666832706902,176282578224.0461,12143.4821349381,0.003415379588716123,3.86806418901129,865.4367434736472,0.510000029255731,0.8981672053986693,97599468309.14922,3451.554180777968,0.0016865187090457,3.216972631029768,521.0413958380673,0.5190756792857009,0.8989118746451361
random_IR_0026.npz,random_IR_0026.npz,280.2957684993744,7.166420914472837e-07,7,9325,197,41,L1,7.819685947652033e-07,0.0001670039443147077,True,34.04053411627574,2.311631889379505,24.8656888821664,108040091265.0146,16885.04250301088,0.002016017081994656,1.749381706074622,846.4413307180838,0.5906999363982957,0.8145246398255899,71871356218.2901,15672.99075616242,0.0023814067227876,1.749381595375102,928.0820126526562,0.5907001366839773,0.8145244167348842
random_IR_0027.npz,random_IR_0027.npz,113.4524292945862,8.433250400230463e-07,1,5995,109,55,L1,1.429539452146855e-06,6.043437381705213e-05,True,25.2933874954343,3.608993192287317,34.25990406064649,194406579708.0931,14523.19347828344,0.001741585797452574,2.773963044240135,866.5490289623345,0.7990557293935141,0.8677596223131607,148951818862.8186,13972.55997215884,0.001951571285498,2.773962906952086,934.2146557848146,0.7990558884137398,0.8677597944632172
random_IR_0028.npz,random_IR_0028.npz,39.40743041038513,1.007891569315689e-06,1,6180,103,60,L1,1.216569899042952e-06,0.008863409913187979,True,39.29566859458242,21.31156138745864,13.64734639243897,101535506755.4984,8679.869011502033,0.004527219079286819,2.004640385763891,536.2816010327518,0.8723799585380103,0.7503248474009679,211488975667.5418,5930.42851055032,0.0025928842488643,2.004640486890846,209.8516505376324,0.8723798895741509,0.7503248162226079
random_IR_0029.npz,random_IR_0029.npz,385.9947438240051,2.361840870435117e-06,7,17598,391,59,L1,7.304258247131656e-07,0.02440649549348076,True,61.06961896298595,3.915977467546981,2.714743115420362,106464142353.5207,20810.71609899739,0.002934527513252085,1.759502737519895,165.7883276411109,0.8512081489810168,0.6950987145699337,114704769945.0977,10597.03256049267,0.0020174259270815,1.759502421122638,58.03858003227238,0.8512083095195752,0.6950984012533157
random_IR_0030.npz,random_IR_0030.npz,141.7834749221802,1.308431365032448e-06,4,10982,269,46,L1,1.050301420946198e-06,0.002257727210309891,True,28.77515693416424,0.9628623433951833,4.026713682512938,69213648484.11057,17424.89380580379,0.001651382054597083,1.620850768749023,115.8693181432562,0.7729240168965545,0.9493689216591672,136415617217.0749,15202.58414177307,0.0010987149135653,1.620850664922941,67.25895896693396,0.7729238134432739,0.9493689335897676
random_IR_0031.npz,random_IR_0031.npz,276.1587481498718,1.254307107956265e-06,4,12510,320,36,L1,1.042910071191727e-06,0.000474309620274457,True,8.250551946881782,2.947223947713345,48.10632771374192,100005124279.5063,5899.39578240116,0.001398541859404398,3.971982363814897,396.9037557759464,0.8816053734876895,0.6668083715246664,70159602918.25648,7380.460682658432,0.0018675879375938,3.971982947450442,663.0815723180698,0.8816055403797093,0.6668084039030092
random_IR_0032.npz,random_IR_0032.npz,53.07187676429749,1.623397679395566e-06,1,6095,115,53,L1,1.334711896561203e-06,9.500828864049247e-05,True,50.2767569452237,14.05948269688533,17.38559451438543,213722338256.2616,15059.85724360404,0.0033384617219115,2.212045508445319,874.091309747971,0.6440355018624772,0.9010429078947471,200515550283.4515,14254.8586595136,0.0033532684542144,2.212045293098504,831.0501447516381,0.6440355970596615,0.9010429486171564
