step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
2749,10,10,0.000904382,10,0,0,4.89149e-05,4.96173e-05,9.46434e-05,0.0130208,0.0130208,0.0260416,0.502289,4.24982,5.53823,0.881363,0.101308,3.33297,0.0537713,0.0607321,0.0357875,0.129663,0.0964453,0,2.30295,0,
2799,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,
2849,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,
2899,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,
2949,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,
2999,11,11,0.000895338,10,0,0,4.88764e-05,4.95333e-05,9.45262e-05,0.0130208,0.0130208,0.0260416,0.482953,4.44279,5.6924,0.891405,0.108972,3.49777,0.0562634,0.0620549,0.0366697,0.135574,0.103281,0,2.33498,0,
3049,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,
3099,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,
3149,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,
3199,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,
3249,12,12,0.000886385,10,0,0,4.86675e-05,4.94354e-05,9.43948e-05,0.0130208,0.0130208,0.0260416,0.473273,4.19208,5.41019,0.869902,0.0978613,3.26192,0.0537429,0.0561965,0.0425296,0.129949,0.0937817,0,2.21099,0,
3299,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,
3349,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,
3399,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,
3449,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,
3499,13,13,0.000877521,10,0,0,4.88113e-05,4.93029e-05,9.42624e-05,0.0130208,0.0130208,0.0260416,0.454513,4.10553,5.34316,0.833917,0.0862594,3.01702,0.0529007,0.0542534,0.0356488,0.133975,0.0935266,0,1.99457,0,
3549,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,
3599,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,
3649,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,
3699,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,
3749,14,14,0.000868746,10,0,0,4.87101e-05,4.92805e-05,9.40333e-05,0.0130208,0.0130208,0.0260416,0.446229,4.12648,5.30037,0.829381,0.0855324,2.96864,0.0508595,0.0559705,0.0351959,0.124931,0.0890604,0,2.02321,0,
3799,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,
3849,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,
3899,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,
3949,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,
3999,15,15,0.000860058,10,0,0,4.87634e-05,4.92846e-05,9.41364e-05,0.0130208,0.0130208,0.0260416,0.431023,4.08891,5.26416,0.821214,0.0798585,2.88222,0.0491489,0.0527953,0.0343689,0.122284,0.0854454,0,1.88201,0,
4049,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,
4099,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,
4149,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,
4199,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,
4249,16,16,0.000851458,10,0,0,4.84828e-05,4.92273e-05,9.34188e-05,0.0130208,0.0130208,0.0260416,0.422582,4.07944,5.25412,0.824171,0.0844085,2.92969,0.0516285,0.0537511,0.0353277,0.123728,0.0969638,0,2.05742,0,
4299,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,
4349,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,
4399,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,
4449,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,
4499,17,17,0.000842943,10,0,0,4.84383e-05,4.91542e-05,9.37754e-05,0.0130208,0.0130208,0.0260416,0.40619,4.12345,5.36768,0.828818,0.0822845,2.96883,0.0490174,0.05255,0.0344599,0.120455,0.0866387,0,1.86984,0,
4549,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,
4599,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,
4649,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,
4699,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,
4749,18,18,0.000834514,10,0,0,4.84725e-05,4.90931e-05,9.33409e-05,0.0130208,0.0130208,0.0260416,0.398921,4.21333,5.42698,0.850536,0.0945626,3.26257,0.0520505,0.0534498,0.0431424,0.118703,0.0970084,0,2.18008,0,
4799,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,
4849,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,
4899,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,
4949,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,
4999,19,19,0.000826169,10,0,0,4.83459e-05,4.9047e-05,9.35168e-05,0.0130208,0.0130208,0.0260416,0.388126,4.06273,5.20431,0.817991,0.0843359,2.87075,0.049668,0.0525359,0.0330839,0.123518,0.0888702,0,2.04388,0,
5049,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,
5099,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,
5149,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,
5199,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,
5249,20,20,0.000817907,10,0,0,4.85333e-05,4.90532e-05,9.34139e-05,0.0130208,0.0130208,0.0260416,0.383052,4.05129,5.26695,0.820181,0.0810773,2.9425,0.0503588,0.0517539,0.0351745,0.124755,0.0904694,0,1.91666,0,
5299,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,
5349,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,
5399,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,
5449,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,
5499,21,21,0.000809728,10,0,0,4.83508e-05,4.90396e-05,9.31518e-05,0.0130208,0.0130208,0.0260416,0.377124,4.0441,5.24488,0.813672,0.0785788,2.84471,0.0481534,0.0517371,0.0333593,0.116523,0.0873008,0,1.84821,0,
5549,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,
5599,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,
5649,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,
5699,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,
5749,22,22,0.000801631,10,0,0,4.83376e-05,4.89399e-05,9.28946e-05,0.0130208,0.0130208,0.0260416,0.368699,4.04145,5.2157,0.81083,0.0792476,2.83551,0.0482278,0.0513918,0.0341083,0.119323,0.0845436,0,1.90803,0,
5799,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,
5849,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,
5899,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,
5949,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,
