step,epoch,epoch,lr-Adam,lw/log_mag_w,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
39299,157,,0.000206408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39349,157,,0.000206408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39399,157,,0.000206408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39449,157,,0.000206408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39499,157,157,0.000206408,0.14996,2.83347,0,0.716653,0.064705,3.4956e-05,2.04022e-05,0.23103,3.1985e-05,0.0906233,0.00382011,0.00371722,0.00757721,0,0.151837,0.216542,0,6.11217,13.5969,1.2584,0.0524381,0.0510481,0.0310294,0.00460228,0.0424826,0.100807,0.084659,0,0.274811,0,6.21587,17.0333,2.50388,0,0,0.424575,0
39549,158,,0.000204343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39599,158,,0.000204343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39649,158,,0.000204343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39699,158,,0.000204343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39749,158,158,0.000204343,0.16996,2.7668,0,0.72332,0.066476,3.54778e-05,2.04719e-05,0.231092,3.16936e-05,0.089405,0.00373335,0.0036269,0.00742252,0,0.156132,0.222608,0,6.0395,13.4903,1.2414,0.0522444,0.0520895,0.0313133,0.00456642,0.0399756,0.0998305,0.0856912,0,0.272705,0,6.30721,17.0887,2.50872,0,0,0.426108,0
39799,159,,0.0002023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39849,159,,0.0002023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39899,159,,0.0002023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39949,159,,0.0002023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39999,159,159,0.0002023,0.18996,2.70013,0,0.729987,0.0676703,3.52711e-05,2.07533e-05,0.231219,3.13841e-05,0.0873358,0.00364465,0.00354781,0.00725292,0,0.161825,0.229495,0,6.16848,13.5969,1.2857,0.0527567,0.0515568,0.0332638,0.0046009,0.0428166,0.099455,0.0848468,0,0.278768,0,6.44342,17.0073,2.51913,0,0,0.420213,0
40049,160,,0.000200277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40099,160,,0.000200277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40149,160,,0.000200277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40199,160,,0.000200277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40249,160,160,0.000200277,0.20996,2.63347,0,0.736653,0.0625549,3.60643e-05,2.10381e-05,0.249017,3.14353e-05,0.0929325,0.00357133,0.00346117,0.00708395,0,0.158501,0.221055,0,5.98423,13.4043,1.2376,0.0510863,0.0496056,0.0310465,0.00451137,0.0381121,0.0989934,0.0842486,0,0.270672,0,6.28866,17.0494,2.50475,0,0,0.426129,0
40299,161,,0.000198274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40349,161,,0.000198274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40399,161,,0.000198274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40449,161,,0.000198274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
