step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/mfccdb,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
14249,56,56,0.000569601,9.5668,0,0.02166,0.228604,4.60096e-05,4.60352e-05,0.0331076,8.64368e-05,0.0331822,0.0124592,0.0124582,0.0249203,0,0.00819791,0.236802,0,6.1823,15.3088,1.26971,0.139953,5.26123,0.044499,0.044308,0.0299956,0.00853871,0.00857367,0.102938,0.07264,0,0.398913,0,5.54824,17.5688,2.46895,0.34426,12.0786,0,0,0.519361,0
14299,57,,0.000563905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14349,57,,0.000563905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14399,57,,0.000563905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14449,57,,0.000563905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14499,57,57,0.000563905,9.50013,0,0.0249933,0.223779,4.57225e-05,4.57449e-05,0.0339971,8.56093e-05,0.0353421,0.0123728,0.0123715,0.0247482,0,0.00943602,0.233215,0,6.18091,14.8313,1.26949,0.135976,5.26545,0.0466529,0.0462133,0.0328172,0.00759004,0.0114874,0.105016,0.0767939,0,0.389211,0,5.56021,17.401,2.45089,0.347212,11.9833,0,0,0.513683,0
14549,58,,0.000558266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14599,58,,0.000558266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14649,58,,0.000558266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14699,58,,0.000558266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14749,58,58,0.000558266,9.43347,0,0.0283267,0.224912,4.5563e-05,4.5536e-05,0.0353177,8.54824e-05,0.0362754,0.0122864,0.0122852,0.0245754,0,0.0106006,0.235512,0,6.14574,14.7516,1.26521,0.137818,5.42304,0.0461191,0.0470859,0.0311592,0.00735269,0.0120719,0.103441,0.0756038,0,0.38278,0,5.60796,17.4016,2.44107,0.341986,11.8865,0,0,0.512799,0
14799,59,,0.000552683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14849,59,,0.000552683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14899,59,,0.000552683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14949,59,,0.000552683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14999,59,59,0.000552683,9.3668,0,0.03166,0.218479,4.50517e-05,4.51236e-05,0.0365102,8.45246e-05,0.0382185,0.0122001,0.0121981,0.0244031,0,0.0120531,0.230532,0,6.09573,14.6494,1.26577,0.130644,5.20965,0.0456608,0.0443209,0.0312628,0.00669294,0.0138754,0.103418,0.0743944,0,0.381067,0,5.61402,17.5319,2.4694,0.346345,12.1037,0,0,0.520971,0
15049,60,,0.000547157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15099,60,,0.000547157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15149,60,,0.000547157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15199,60,,0.000547157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15249,60,60,0.000547157,9.30013,0,0.0349933,0.216561,4.49142e-05,4.49895e-05,0.0374452,8.40896e-05,0.0393938,0.0121135,0.0121116,0.0242306,0,0.0133062,0.229867,0,6.14945,14.7765,1.27867,0.133359,5.47551,0.0459291,0.0448889,0.0310797,0.00683955,0.0125324,0.104369,0.0758655,0,0.381368,0,5.51433,17.4352,2.42449,0.340155,11.9074,0,0,0.51459,0
15299,61,,0.000541685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15349,61,,0.000541685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15399,61,,0.000541685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15449,61,,0.000541685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15499,61,61,0.000541685,9.23347,0,0.0383267,0.212632,4.44985e-05,4.45618e-05,0.0389761,8.34476e-05,0.0414307,0.0120268,0.0120251,0.0240567,0,0.0146597,0.227292,0,6.07896,15.2545,1.28804,0.147225,5.58736,0.0464631,0.0455834,0.0307297,0.00784751,0.0143649,0.103857,0.0763964,0,0.397874,0,5.56799,17.4794,2.4379,0.345545,11.8732,0,0,0.517079,0
15549,62,,0.000536268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15599,62,,0.000536268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15649,62,,0.000536268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15699,62,,0.000536268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15749,62,62,0.000536268,9.1668,0,0.04166,0.21099,4.44959e-05,4.43888e-05,0.0394416,8.27994e-05,0.0429056,0.0119407,0.0119387,0.0238851,0,0.0157791,0.226769,0,6.08083,14.7494,1.25724,0.126091,5.12839,0.0465474,0.0443215,0.0309927,0.00742239,0.0113639,0.108851,0.0763325,0,0.381974,0,5.528,17.5087,2.43354,0.34427,12.0123,0,0,0.517379,0
15799,63,,0.000530906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15849,63,,0.000530906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15899,63,,0.000530906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15949,63,,0.000530906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15999,63,63,0.000530906,9.10013,0,0.0449934,0.21168,4.43137e-05,4.41404e-05,0.0410554,8.22242e-05,0.0457098,0.0118546,0.0118522,0.0237106,0,0.0170707,0.228751,0,6.08985,15.4268,1.29858,0.141126,5.56624,0.0458613,0.0448538,0.0310507,0.00798706,0.0109221,0.103257,0.0770976,0,0.405876,0,5.50525,17.5659,2.45611,0.353529,12.0178,0,0,0.523852,0
16049,64,,0.000525596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16099,64,,0.000525596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16149,64,,0.000525596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16199,64,,0.000525596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16249,64,64,0.000525596,9.03347,0,0.0483267,0.210572,4.3994e-05,4.37894e-05,0.0415374,8.16594e-05,0.046306,0.0117668,0.0117656,0.0235379,0,0.0189262,0.229498,0,6.18395,15.381,1.30081,0.156039,5.87979,0.0479678,0.0477016,0.0308308,0.00873934,0.0102465,0.106505,0.0837832,0,0.405711,0,5.65694,17.3615,2.41659,0.326021,11.8432,0,0,0.507511,0
16299,65,,0.000520341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16349,65,,0.000520341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16399,65,,0.000520341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16449,65,,0.000520341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16499,65,65,0.000520341,8.9668,0,0.05166,0.20612,4.37042e-05,4.36235e-05,0.043427,8.09659e-05,0.0484769,0.011681,0.011679,0.0233667,0,0.0202293,0.226349,0,6.15132,14.8279,1.28031,0.136585,5.39064,0.045268,0.0438092,0.0303805,0.00708642,0.0115019,0.105502,0.0733275,0,0.388592,0,5.56608,17.4061,2.43303,0.341335,11.9006,0,0,0.513429,0
16549,66,,0.000515137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16599,66,,0.000515137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16649,66,,0.000515137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16699,66,,0.000515137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16749,66,66,0.000515137,8.90013,0,0.0549933,0.200143,4.34391e-05,4.32185e-05,0.0443532,8.02204e-05,0.0507795,0.0115949,0.0115926,0.0231924,0,0.0211467,0.22129,0,6.14978,14.6913,1.2746,0.144156,5.55792,0.0446358,0.0448386,0.0305067,0.00700439,0.00969837,0.102049,0.0737175,0,0.387828,0,5.57541,17.4086,2.43903,0.340806,11.9314,0,0,0.512743,0
16799,67,,0.000509986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16849,67,,0.000509986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16899,67,,0.000509986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16949,67,,0.000509986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16999,67,67,0.000509986,8.83346,0,0.0583267,0.200591,4.30931e-05,4.28763e-05,0.0443758,7.98817e-05,0.0506111,0.0115079,0.0115047,0.0230209,0,0.0231235,0.223715,0,6.08826,14.5407,1.26146,0.134821,5.32912,0.0455649,0.0448559,0.0317231,0.00690756,0.0108772,0.10495,0.074076,0,0.380525,0,5.53019,17.3324,2.4237,0.341016,11.8532,0,0,0.509865,0
17049,68,,0.000504886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17099,68,,0.000504886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17149,68,,0.000504886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17199,68,,0.000504886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17249,68,68,0.000504886,8.7668,0,0.06166,0.19873,4.3089e-05,4.27648e-05,0.0473931,7.91448e-05,0.0545672,0.0114211,0.0114188,0.0228467,0,0.0243399,0.22307,0,6.10024,14.5194,1.25877,0.134272,5.30164,0.0448948,0.0453739,0.0310968,0.00722909,0.010172,0.102113,0.0733836,0,0.378683,0,5.51771,17.3923,2.42862,0.342583,11.8443,0,0,0.513087,0
17299,69,,0.000499837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17349,69,,0.000499837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17399,69,,0.000499837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17449,69,,0.000499837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17499,69,69,0.000499837,8.70013,0,0.0649933,0.19513,4.26387e-05,4.24574e-05,0.0474125,7.86283e-05,0.0557635,0.0113341,0.0113315,0.0226738,0,0.026038,0.221168,0,6.08236,14.6427,1.2474,0.128589,5.17149,0.0448091,0.043722,0.0304631,0.00699698,0.0100792,0.10468,0.0729132,0,0.382195,0,5.55523,17.4649,2.426,0.335814,11.8737,0,0,0.514962,0
17549,70,,0.000494839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17599,70,,0.000494839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17649,70,,0.000494839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17699,70,,0.000494839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17749,70,70,0.000494839,8.63347,0,0.0683267,0.194361,4.23295e-05,4.20604e-05,0.0482415,7.79633e-05,0.0582419,0.0112474,0.0112452,0.022504,0,0.0273516,0.221713,0,6.14896,17.0608,1.43349,0.187819,7.74901,0.0473428,0.0447684,0.0313675,0.014956,0.0153838,0.103623,0.0739585,0,0.459178,0,5.5444,17.6442,2.46357,0.351547,12.1512,0,0,0.523854,0
17799,71,,0.00048989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17849,71,,0.00048989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17899,71,,0.00048989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17949,71,,0.00048989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17999,71,71,0.00048989,8.5668,0,0.07166,0.197976,4.21434e-05,4.18868e-05,0.0488241,7.76471e-05,0.0576608,0.0111618,0.011158,0.0223294,0,0.0289482,0.226924,0,6.15266,14.8103,1.26651,0.131431,5.17656,0.0448064,0.0447654,0.0301582,0.00718553,0.0107096,0.102334,0.0736858,0,0.387244,0,5.54265,17.4862,2.44761,0.344953,11.9938,0,0,0.518082,0
18049,72,,0.000484991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18099,72,,0.000484991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18149,72,,0.000484991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18199,72,,0.000484991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18249,72,72,0.000484991,8.50013,0,0.0749934,0.187243,4.19331e-05,4.15414e-05,0.0505333,7.688e-05,0.0636341,0.0110749,0.0110709,0.0221555,0,0.030412,0.217655,0,6.17091,15.3397,1.33108,0.153903,6.03816,0.0456784,0.0457989,0.030368,0.00802938,0.012995,0.10329,0.0735889,0,0.406246,0,5.51157,17.4046,2.41436,0.334102,11.8498,0,0,0.510854,0
18299,73,,0.000480141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18349,73,,0.000480141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18399,73,,0.000480141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18449,73,,0.000480141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18499,73,73,0.000480141,8.43347,0,0.0783266,0.189109,4.16326e-05,4.13921e-05,0.0508399,7.60323e-05,0.0608884,0.0109883,0.0109853,0.0219848,0,0.031686,0.220795,0,6.21795,16.1717,1.36385,0.175915,6.55816,0.0466965,0.045693,0.0305101,0.0106629,0.0139518,0.104669,0.0746917,0,0.429554,0,5.57559,17.5261,2.45323,0.349845,12.0061,0,0,0.517407,0
18549,74,,0.00047534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18599,74,,0.00047534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18649,74,,0.00047534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18699,74,,0.00047534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18749,74,74,0.00047534,8.3668,0,0.08166,0.189365,4.13997e-05,4.10619e-05,0.0515444,7.57483e-05,0.0620103,0.010902,0.0108982,0.021813,0,0.0335518,0.222917,0,6.08582,16.3429,1.38131,0.169259,6.65353,0.0464619,0.0442597,0.0302391,0.0111468,0.0149031,0.103675,0.0745483,0,0.432595,0,5.5952,17.5403,2.47549,0.349842,12.0795,0,0,0.517709,0
