filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0019.npz,random_IR_0019.npz,27.414,9.8e-07,1,31,L1_STFT,1.9e-07,0.00120731,True,26.22098021,8.86713907,37.95582,180023671072.12653,10745.59510501,0.00244016,1.1556603,995.23880492,0.72009671,0.57638223,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,48.035,6.1e-07,1,47,L1_STFT,3.2e-07,0.00349095,True,58.39474011,12.06829694,13.61980892,67740723814.51646,11938.03719419,0.00489149,1.96501872,795.32520205,0.82953065,0.72139501,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,108.394,1.15e-06,1,35,L1_STFT,1.09e-06,0.01216657,True,75.44769416,5.37794528,9.19091509,92266182274.77734,20552.05234942,0.00367105,3.69998505,693.43335085,0.85490544,0.55911117,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,94.91,1.67e-06,3,46,L1_STFT,1.05e-06,1e-08,True,20.2277595,50.42948569,49.42563267,117754315581.50797,4395.53535862,0.00460189,3.76649948,999.76981081,0.58962176,0.81162416,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,1870.815,8.9e-07,174,57,L1_STFT,5.6e-07,0.00293388,True,71.42471495,16.8864837,14.00066737,169972464260.16748,16588.02259511,0.0043058,1.459078,999.99367601,0.54389191,0.85174008,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,74.36,1.96e-06,2,32,L1_STFT,1.74e-06,0.00058727,True,74.60079652,12.80696698,10.72816066,164656994516.75586,18527.75362344,0.00402644,2.41527369,800.3293307,0.51573992,0.68638928,197937911386.0695,20769.80429405,0.00388822,2.41527378,866.38366211,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,461.922,1.25e-06,13,51,L1_STFT,9.9e-07,0.0001344,True,8.76648391,7.14928354,89.50896177,144491237810.22296,5168.43567756,0.00169616,3.21697271,784.67887303,0.51907566,0.89891186,97599468309.14922,3451.55418078,0.00168652,3.21697263,521.04139584,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,344.78,1.07e-06,4,55,L1_STFT,8.2e-07,0.00016722,True,34.03844337,2.3116313,24.86573715,118118355592.05005,17393.8302795,0.00195693,1.74938158,846.39098594,0.59070008,0.81452442,71871356218.2901,15672.99075616,0.00238141,1.7493816,928.08201265,0.59070014,0.81452442
random_IR_0027.npz,random_IR_0027.npz,116.371,1.68e-06,1,41,L1_STFT,1.72e-06,1.899e-05,True,26.16126799,3.60899406,34.25991023,139058432815.04166,13283.89415879,0.0019694,2.77396302,896.28269294,0.79905581,0.86775983,148951818862.8186,13972.55997216,0.00195157,2.77396291,934.21465578,0.79905589,0.86775979
random_IR_0028.npz,random_IR_0028.npz,52.639,2.48e-06,1,59,L1_STFT,2.85e-06,0.01205808,True,43.27517778,21.31157077,13.64724453,102172322843.29971,9275.72081225,0.00466542,2.00464048,590.58693308,0.87237991,0.75032481,211488975667.54184,5930.42851055,0.00259288,2.00464049,209.85165054,0.87237989,0.75032482
random_IR_0029.npz,random_IR_0029.npz,84.588,8e-07,1,42,L1_STFT,5.3e-07,0.05147658,True,79.02124953,3.91597488,2.71474915,67491717762.97766,21228.30323574,0.00372245,1.75950242,214.52286967,0.85120827,0.69509842,114704769945.09769,10597.03256049,0.00201743,1.75950242,58.03858003,0.85120831,0.6950984
random_IR_0030.npz,random_IR_0030.npz,293.508,9.1e-07,6,55,L1_STFT,1.14e-06,0.00222079,True,28.67598702,0.96286235,4.02668527,115305168875.03717,20608.96897962,0.00139143,1.62085067,115.46917462,0.7729238,0.94936895,136415617217.07494,15202.58414177,0.00109871,1.62085066,67.25895897,0.77292381,0.94936893
random_IR_0031.npz,random_IR_0031.npz,224.156,2.05e-06,1,57,L1_STFT,1.19e-06,0.00075797,True,20.77829626,2.94722445,48.10642088,106550447151.17432,11153.29365606,0.00186297,3.97198285,999.56946508,0.88160546,0.66680846,70159602918.25648,7380.46068266,0.00186759,3.97198295,663.08157232,0.88160554,0.6668084
random_IR_0032.npz,random_IR_0032.npz,53.611,2.7e-06,1,51,L1_STFT,2.51e-06,0.00100261,True,39.75578147,14.05947901,17.38571157,138423644708.67908,11141.99706667,0.0035681,2.2120451,691.18254974,0.64403551,0.90104298,200515550283.45148,14254.85865951,0.00335327,2.21204529,831.05014475,0.6440356,0.90104295
random_IR_0033.npz,random_IR_0033.npz,20.169,1.98e-06,1,47,L1_STFT,1.56e-06,0.00080745,True,23.96448065,67.28193404,22.04659369,165493300368.88998,5007.50998093,0.00478571,1.63834428,528.33516779,0.86811933,0.63443143,211947700344.80545,6481.54432973,0.00481117,1.63834424,687.49140151,0.86811935,0.6344314
random_IR_0034.npz,random_IR_0034.npz,212.513,1.47e-06,11,30,L1_STFT,1.27e-06,0.0635741,True,83.51090657,17.49770013,1.31971363,135309760002.3638,16861.41468528,0.00495278,1.71860477,110.21048192,0.69334332,0.73715201,131976876718.98044,6330.43741829,0.0030728,1.71860473,25.67246143,0.69334329,0.73715196
random_IR_0035.npz,random_IR_0035.npz,80.495,9.8e-07,3,42,L1_STFT,9.5e-07,9.243e-05,True,17.97193908,31.37181812,55.62729444,67082413015.282776,3944.89498873,0.00455575,1.90512326,999.73034701,0.57471326,0.86126122,146159003394.57947,4639.59889209,0.00334714,1.90512325,863.85696737,0.57471337,0.86126124
random_IR_0036.npz,random_IR_0036.npz,119.349,2.63e-06,6,33,L1_STFT,2.81e-06,0.02169705,True,54.23090244,25.99834157,10.90482244,182319708905.74652,12238.91836419,0.00443102,2.24857306,591.37836181,0.6842503,0.97081166,141672610939.29004,5153.13787566,0.00326169,2.24857314,183.28800342,0.68425024,0.97081165
