filename,target_npz,runtime,best_loss,optimizer,loss_name,num_particles,max_iter,w,c1,c2,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0017.npz,random_IR_0017.npz,0.223,0.69630474,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.814e-05,0.07858439,True,8.99137915,87.95682156,8.15913554,175625772288.52924,2430.0,0.00370016,2.88307564,73.3618812,0.60635322,0.75819462,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,0.402,0.52619678,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.266e-05,0.11589595,True,8.9811917,3.24577628,84.37104796,196335000251.10187,7569.45918691,0.0011865,2.41089269,757.75255532,0.54248571,0.76149583,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,0.249,0.39565995,PSO,L1_STFT,10,5,0.2,2.0,1.0,6.66e-06,0.0571025,True,53.91234874,23.91506587,10.27300254,178495513916.7788,12446.86279928,0.0043314,2.47687047,553.84169567,0.73503976,0.57848738,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,0.218,0.49613753,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.063e-05,0.02251415,True,74.11101439,15.24307628,6.78672126,209709462286.4552,18867.72186692,0.00392793,2.03910667,502.97079729,0.73139331,0.75944276,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,0.263,0.4733924,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.145e-05,0.15180867,True,35.88406956,4.0358579,17.07348261,122735632628.54785,15155.20743909,0.00236777,1.56887245,612.66603749,0.63019442,0.7474422,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,0.211,0.54253179,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.24e-05,0.12010722,True,87.28007216,11.28594193,6.48449641,133826674388.5254,20024.46162253,0.00435867,2.58847735,565.9673146,0.73512769,0.82193422,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,0.252,0.48843697,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.132e-05,0.15269681,True,17.23726415,25.85865786,30.60863234,165872039958.28305,5533.29450528,0.00311519,2.24395665,527.60908102,0.81324949,0.54761927,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,0.306,0.50790793,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.061e-05,0.09133378,True,35.33461267,6.95598767,21.10502291,99655817355.23425,11671.60728638,0.0030274,1.69045949,745.73780975,0.76521481,0.59731629,197937911386.0695,20769.80429405,0.00388822,2.41527378,866.38366211,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,0.296,0.48617515,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.26e-05,0.0558435,True,56.40771883,14.30360588,12.46492368,140826001834.57687,14068.69955612,0.00400945,3.61633594,703.11791027,0.61937976,0.89956846,97599468309.14922,3451.55418078,0.00168652,3.21697263,521.04139584,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,0.318,0.31897479,PSO,L1_STFT,10,5,0.2,2.0,1.0,7.29e-06,0.01323472,True,38.39019847,3.06727227,6.14944451,116838696523.36462,17088.64084573,0.00224653,1.83772048,236.07839517,0.7251416,0.79892902,71871356218.2901,15672.99075616,0.00238141,1.7493816,928.08201265,0.59070014,0.81452442
random_IR_0027.npz,random_IR_0027.npz,0.226,0.57523215,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.214e-05,0.07803,True,65.53803126,33.03072289,7.88312155,198032639948.9715,13179.05648944,0.00497289,2.98395343,516.64426642,0.58035449,0.71124036,148951818862.8186,13972.55997216,0.00195157,2.77396291,934.21465578,0.79905589,0.86775979
random_IR_0028.npz,random_IR_0028.npz,0.195,0.47529709,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.564e-05,0.0189317,True,43.56416237,21.69258285,18.49973108,152918209180.69522,10594.60372863,0.00411192,1.99160046,805.92528838,0.77655738,0.76819527,211488975667.54184,5930.42851055,0.00259288,2.00464049,209.85165054,0.87237989,0.75032482
random_IR_0029.npz,random_IR_0029.npz,0.547,0.38625407,PSO,L1_STFT,10,5,0.2,2.0,1.0,9.72e-06,0.10984922,True,37.03754454,3.63727394,20.24377417,125758890418.17332,16154.67327072,0.00229268,3.9132448,749.77968758,0.73542018,0.61445016,114704769945.09769,10597.03256049,0.00201743,1.75950242,58.03858003,0.85120831,0.6950984
random_IR_0030.npz,random_IR_0030.npz,0.783,0.52419269,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.426e-05,0.08785176,True,17.90242358,1.14226829,19.9983982,96252436453.11754,13389.72268244,0.00133703,3.3956774,358.01979555,0.78504459,0.7594014,136415617217.07494,15202.58414177,0.00109871,1.62085066,67.25895897,0.77292381,0.94936893
random_IR_0031.npz,random_IR_0031.npz,0.226,0.61553532,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.491e-05,0.02891768,True,40.30120627,31.50252417,17.25873108,124268235761.53705,8288.94864918,0.00486204,3.50584272,695.54768128,0.79455197,0.74416255,70159602918.25648,7380.46068266,0.00186759,3.97198295,663.08157232,0.88160554,0.6668084
random_IR_0032.npz,random_IR_0032.npz,0.255,0.5308091,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.419e-05,0.00987396,True,28.7047417,10.44850933,28.72724854,186866474130.43173,10941.51029851,0.00262347,2.07888957,824.60824921,0.70944751,0.86877416,200515550283.45148,14254.85865951,0.00335327,2.21204529,831.05014475,0.6440356,0.90104295
random_IR_0033.npz,random_IR_0033.npz,0.232,0.80021411,PSO,L1_STFT,10,5,0.2,2.0,1.0,2.086e-05,0.09770631,True,18.19370266,55.28366167,13.03840914,141273970461.0072,4220.70505535,0.00431058,2.60493483,237.21693901,0.61515334,0.84739355,211947700344.80545,6481.54432973,0.00481117,1.63834424,687.49140151,0.86811935,0.6344314
random_IR_0034.npz,random_IR_0034.npz,0.26,0.46775267,PSO,L1_STFT,10,5,0.2,2.0,1.0,9.34e-06,0.06900829,True,65.95174645,15.25697813,6.95280645,151046750998.97424,15642.79357289,0.00421611,3.04944533,458.54972797,0.69166496,0.71449402,131976876718.98044,6330.43741829,0.0030728,1.71860473,25.67246143,0.69334329,0.73715196
random_IR_0035.npz,random_IR_0035.npz,0.171,0.53875339,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.492e-05,0.03828552,True,30.52759599,34.83915893,7.00488637,148228351496.30524,7063.69765207,0.00432176,1.94888949,213.84234112,0.7518476,0.73765261,146159003394.57947,4639.59889209,0.00334714,1.90512325,863.85696737,0.57471337,0.86126124
random_IR_0036.npz,random_IR_0036.npz,0.287,0.71568602,PSO,L1_STFT,10,5,0.2,2.0,1.0,2.684e-05,0.06735685,True,41.8660104,7.168277,21.63393656,68538557691.59984,11420.81082146,0.00366577,1.5437931,905.72661303,0.93268329,0.90118364,141672610939.29004,5153.13787566,0.00326169,2.24857314,183.28800342,0.68425024,0.97081165
random_IR_0037.npz,random_IR_0037.npz,0.153,1.14910316,PSO,L1_STFT,10,5,0.2,2.0,1.0,3.484e-05,0.10405368,True,31.66917857,33.63921538,12.28117417,164608247041.06378,7584.18531087,0.00417569,1.70952061,388.93469803,0.95870348,0.78418295,151485447898.1282,3998.34178631,0.00399465,3.31944324,903.72070255,0.79639327,0.98134883
random_IR_0038.npz,random_IR_0038.npz,0.213,0.57221735,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.683e-05,0.03336132,True,50.50300338,23.75030724,11.62269344,139123513881.4497,10991.85688819,0.00459458,1.96601714,586.98092639,0.78952314,0.90576908,209217985469.20517,2738.87703632,0.00196332,1.94722783,100.30293933,0.83825911,0.89472493
random_IR_0039.npz,random_IR_0039.npz,0.231,0.67720377,PSO,L1_STFT,10,5,0.2,2.0,1.0,2.702e-05,0.00279312,True,37.89514943,18.52533747,19.37797677,159194738876.36682,10313.17616036,0.00367444,2.01318731,734.33132537,0.88375383,0.68964217,216556756380.9004,11559.79880357,0.00334564,1.91701731,63.96462657,0.93948757,0.67569789
random_IR_0040.npz,random_IR_0040.npz,0.265,0.66819847,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.739e-05,0.25905004,True,5.01148121,2.02191264,153.132037,113993743632.3699,5011.481209,0.001,1.32630347,767.41832591,0.83252453,0.56874634,189277995864.91592,20127.90084848,0.00192681,3.88855345,949.31932923,0.81891949,0.9384011
random_IR_0041.npz,random_IR_0041.npz,0.407,1.04361618,PSO,L1_STFT,10,5,0.2,2.0,1.0,3.052e-05,0.03966817,True,29.50372653,4.67335417,8.29493488,156702564620.81024,13740.93267037,0.00214714,2.55268539,244.73149018,0.65856584,1.0,120126728243.6296,2678.85292587,0.00439577,1.94975883,617.88051315,0.58258902,0.9910964
random_IR_0042.npz,random_IR_0042.npz,0.229,0.71304172,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.777e-05,0.10862381,True,47.30754068,7.95896565,12.01408916,145059838712.6214,15362.65437814,0.00307939,1.83879086,568.35701175,0.6359514,0.84655529,87945741567.89664,9359.39059524,0.00298957,2.48727389,639.47612167,0.91283769,0.60302548
random_IR_0043.npz,random_IR_0043.npz,0.344,0.95906627,PSO,L1_STFT,10,5,0.2,2.0,1.0,4.237e-05,0.05874209,True,15.45878421,9.81411447,30.63402358,208671777342.63416,7672.50030321,0.00201483,3.7743255,473.56475988,0.97481348,0.77011557,215856681820.5389,18639.20052753,0.00189727,2.58282505,97.85350605,0.98080898,0.95421219
