index,filename,mode,source,mu_source,nmse_orig_csv,nmse_refined_csv,nmse_recomputed,sqerr_mu,sqerr_D_mu,sqerr_T0_mu,sqerr_Ly,sqerr_op_x,sqerr_op_y,pct_mu,pct_D_mu,pct_T0_mu,pct_Ly,pct_op_x,pct_op_y
79,random_IR_0080.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.564851644717748e-14,2.1808088393670285e-15,9.98428504648317e-16,3.314764230110212e-16,4.5638355765833265e-16,6.521638996271923e-14,2.470761139566095e-14,2.322700309140573,1.0633899471328727,0.3530435021640763,0.48607755587021423,69.45960892721165,26.315179758480618
80,random_IR_0081.npz,full_or_composite,raw7_vs_gt_raw7,,,,3.9458266098188286e-14,1.60433368994202e-13,1.3065759103628026e-21,4.6507372642999175e-14,3.0819376172240787e-18,2.3061613233082442e-14,6.74415847465299e-15,67.76500205515799,5.518809447562935e-07,19.644119066319266,0.0013017710110706836,9.740930318502308,2.8486462371284333
81,random_IR_0082.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.5870848355051988e-14,6.45567640497441e-14,4.915571378834411e-18,1.4916488554868454e-15,5.1593667193656415e-19,2.2973795504239702e-14,6.197450212790504e-15,67.79385974998881,0.005162054845112394,1.5664452020424244,0.0005418074913140271,24.12577974229369,6.50821144333865
82,random_IR_0083.npz,full_or_composite,raw7_vs_gt_raw7,,,,7.920786452771481e-15,3.084368480864986e-17,2.889759913161987e-18,2.353247568413116e-14,3.874252313562701e-15,9.531271238788592e-15,1.055298603542462e-14,0.06490029955265714,0.006080540803181779,49.5162860919725,8.152078367182636,20.055397477720582,22.205257222768438
83,random_IR_0084.npz,full_or_composite,raw7_vs_gt_raw7,,,,7.335700681378756e-15,7.461903802121092e-17,4.714200041907997e-17,1.983734261706228e-16,1.9324011672037127e-15,3.3542360114450394e-14,8.219308342007517e-15,0.16953399377973294,0.10710633395649843,0.4507031997506433,4.390403523662934,76.20803513152168,18.674217817328493
84,random_IR_0085.npz,full_or_composite,raw7_vs_gt_raw7,,,,6.482027340924717e-14,3.6850026702838143e-13,6.38950984560341e-17,6.426284887999264e-15,1.5529940623020932e-16,1.8023146169589308e-17,1.3757870888246475e-14,94.7492319010109,0.016428784569869594,1.6523341001218557,0.03993077012848435,0.004634133021881122,3.537440311147005
85,random_IR_0086.npz,full_or_composite,raw7_vs_gt_raw7,,,,5.4985175029954166e-15,1.1557865381937204e-14,4.602893262084921e-17,9.793880955819521e-17,1.532590642052668e-14,3.378747395503094e-15,2.5846180778264797e-15,35.033277532355605,0.13951922069834918,0.2968642896466828,46.45466228602411,10.24138898549309,7.83428768578216
86,random_IR_0087.npz,full_or_composite,raw7_vs_gt_raw7,,,,6.917622604089552e-15,6.363785471926518e-15,2.0795760440844767e-19,5.046502260071885e-16,2.793691296521052e-15,1.732826085618083e-14,1.451513981629732e-14,15.332303779635659,0.0005010334144891232,1.2158566000908317,6.730855999741589,41.74907538787658,34.97140719924086
87,random_IR_0088.npz,full_or_composite,raw7_vs_gt_raw7,,,,2.5902103233434297e-14,1.2706123392694245e-13,1.283488701373955e-19,2.8388697205755706e-15,6.05252342747793e-16,1.7953776111084403e-15,2.3111757450361402e-14,81.75734661508908,8.258587406377323e-05,1.8266661558916528,0.3894486465012466,1.1552328363249003,14.871223160319062
88,random_IR_0089.npz,full_or_composite,raw7_vs_gt_raw7,,,,3.413300602281422e-13,2.017639914493246e-12,5.5227704945954994e-18,3.243639750075932e-17,3.82324219995742e-16,2.6725206191442107e-14,3.1949572961739266e-15,98.51851866121764,0.00026966911396084504,0.001583823659279579,0.018668353818598125,1.3049542220013868,0.15600527018913615
