step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag,final_spec_losses_weighted/1024_spectrogram_mag,final_spec_losses_weighted/128_spectrogram_logmag,final_spec_losses_weighted/128_spectrogram_mag,final_spec_losses_weighted/2048_spectrogram_logmag,final_spec_losses_weighted/2048_spectrogram_mag,final_spec_losses_weighted/256_spectrogram_logmag,final_spec_losses_weighted/256_spectrogram_mag,final_spec_losses_weighted/512_spectrogram_logmag,final_spec_losses_weighted/512_spectrogram_mag,final_spec_losses_weighted/64_spectrogram_logmag,final_spec_losses_weighted/64_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
31,,,,,,,,,,,,,,170.58766174316406,,,,,,,,,,,,0.0,1.0,,0.0,176.5507049560547,263.0792541503906,263.9532775878906,,,,,,,
32,,,,,,,,,,,,,,165.99302673339844,,,,,,,,,,,,0.0,1.0,,0.0,156.5520477294922,262.8792724609375,263.9532775878906,,,,,,,
33,,,,,,,,,,,,,,168.37159729003906,,,,,,,,,,,,0.0,1.0,,0.0,169.6695556640625,263.01043701171875,263.9532775878906,,,,,,,
34,,,,,,,,,,,,,,156.87120056152344,,,,,,,,,,,,0.0,1.0,,0.0,177.75303649902344,263.0912780761719,263.9532775878906,,,,,,,
35,,,,,,,,,,,,,,155.29541015625,,,,,,,,,,,,0.0,1.0,,0.0,123.72161865234375,262.55096435546875,263.9532775878906,,,,,,,
36,,,,,,,,,,,,,,159.78912353515625,,,,,,,,,,,,0.0,1.0,,0.0,165.0596923828125,262.96435546875,263.9532775878906,,,,,,,
37,,,,,,,,,,,,,,137.8440399169922,,,,,,,,,,,,0.0,1.0,,0.0,166.5536651611328,262.9792785644531,263.9532775878906,,,,,,,
38,,,,,,,,,,,,,,176.59063720703125,,,,,,,,,,,,0.0,1.0,,0.0,175.98561096191406,263.0736083984375,263.9532775878906,,,,,,,
39,0.0,0.530446469783783,40.640968322753906,0.5118919610977173,4.881468296051025,0.5222238302230835,81.58268737792969,0.5684045553207397,10.007003784179688,0.5459755063056946,20.187952041625977,0.3617875277996063,2.5460314750671387,156.83139038085938,1.2357183694839478,162.8868408203125,0.0,162.8868408203125,26.83182716369629,3.30454421043396,31.996532440185547,45.62638473510742,0.009310901165008545,0.0015697743510827422,1.0920517444610596,0.0,1.0,,0.0,183.082763671875,263.14459228515625,263.9532775878906,187.80894470214844,,,,,,
40,,,,,,,,,,,,,,163.98158264160156,,,,,,,,,,,,0.0,1.0,,0.0,167.9936065673828,262.9936828613281,263.9532775878906,,,,,,,
41,,,,,,,,,,,,,,139.31861877441406,,,,,,,,,,,,0.0,1.0,,0.0,174.90647888183594,263.06280517578125,263.9532775878906,,,,,,,
