step,epoch,final_spec_losses_weighted/2048_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
39,0.0,5.3741984367370605,4.150022506713867,1.005571961402893,5.3741984367370605,0.0,5.3741984367370605,12.851895332336426,1.4451247453689575,28.695032119750977,36.334869384765625,0.001539794378913939,-0.019510146230459213,5.057671546936035,0.0,1.0,,0.0,5.075007915496826,5.221484661102295,5.222963809967041,5.476377964019775,,,,,,
40,,,4.488606929779053,,,,,,,,,,,,0.0,1.0,,0.0,5.18754768371582,5.222609996795654,5.222963809967041,,,,,,,
41,,,4.67350959777832,,,,,,,,,,,,0.0,1.0,,0.0,5.557659149169922,5.226311206817627,5.222963809967041,,,,,,,
42,,,4.316378593444824,,,,,,,,,,,,0.0,1.0,,0.0,5.248233795166016,5.223216533660889,5.222963809967041,,,,,,,
43,,,4.602202892303467,,,,,,,,,,,,0.0,1.0,,0.0,5.228840351104736,5.223022937774658,5.222963809967041,,,,,,,
44,,,4.830580711364746,,,,,,,,,,,,0.0,1.0,,0.0,4.914058208465576,5.219874858856201,5.222963809967041,,,,,,,
45,,,3.8352739810943604,,,,,,,,,,,,0.0,1.0,,0.0,5.342742443084717,5.224161624908447,5.222963809967041,,,,,,,
46,,,4.7008442878723145,,,,,,,,,,,,0.0,1.0,,0.0,5.280110836029053,5.223535537719727,5.222963809967041,,,,,,,
47,,,4.061534404754639,,,,,,,,,,,,0.0,1.0,,0.0,5.1622700691223145,5.222357273101807,5.222963809967041,,,,,,,
48,,,4.4096293449401855,,,,,,,,,,,,0.0,1.0,,0.0,4.775080680847168,5.218485355377197,5.222963809967041,,,,,,,
