step,epoch,final_spec_losses_weighted/2048_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
39,0.0,1.5723752975463867,1.3691173791885376,1.115918755531311,1.5723752975463867,0.0,1.5723752975463867,12.441487312316895,1.3627105951309204,25.0872802734375,33.933597564697266,0.0018588320817798376,-0.01384925376623869,1.8924062252044678,0.0,1.0,,0.0,1.6316171884536743,2.5003230571746826,2.5090978145599365,2.0572662353515625,,,,,,
40,,,1.4377717971801758,,,,,,,,,,,,0.0,1.0,,0.0,1.5598640441894531,2.499605417251587,2.5090978145599365,,,,,,,
41,,,1.274659514427185,,,,,,,,,,,,0.0,1.0,,0.0,1.6318968534469604,2.500325918197632,2.5090978145599365,,,,,,,
42,,,1.433330774307251,,,,,,,,,,,,0.0,1.0,,0.0,1.6836004257202148,2.500842809677124,2.5090978145599365,,,,,,,
43,,,1.3234483003616333,,,,,,,,,,,,0.0,1.0,,0.0,1.633561372756958,2.500342607498169,2.5090978145599365,,,,,,,
44,,,1.3366135358810425,,,,,,,,,,,,0.0,1.0,,0.0,1.6008096933364868,2.5000150203704834,2.5090978145599365,,,,,,,
45,,,1.4621514081954956,,,,,,,,,,,,0.0,1.0,,0.0,1.4237192869186401,2.498244047164917,2.5090978145599365,,,,,,,
46,,,1.3219072818756104,,,,,,,,,,,,0.0,1.0,,0.0,1.5765914916992188,2.499772787094116,2.5090978145599365,,,,,,,
47,,,1.500433325767517,,,,,,,,,,,,0.0,1.0,,0.0,1.4445148706436157,2.4984519481658936,2.5090978145599365,,,,,,,
48,,,1.401855707168579,,,,,,,,,,,,0.0,1.0,,0.0,1.6096458435058594,2.500103235244751,2.5090978145599365,,,,,,,
49,1.0,1.406337022781372,1.442238450050354,,,,,,,,,,,,0.0,1.0,0.00016666666488163173,0.0,1.406337022781372,2.498070240020752,2.5090978145599365,,1.406337022781372,1.406337022781372,1.1418805122375488,1.406337022781372,0.0,1.406337022781372
50,,,1.4544551372528076,,,,,,,,,,,,0.0,1.0,,0.0,1.4502187967300415,2.498509168624878,2.5090978145599365,,,,,,,
51,,,1.3680340051651,,,,,,,,,,,,0.0,1.0,,0.0,1.4456480741500854,2.4984633922576904,2.5090978145599365,,,,,,,
52,,,1.4742283821105957,,,,,,,,,,,,0.0,1.0,,0.0,1.518965721130371,2.4991965293884277,2.5090978145599365,,,,,,,
53,,,1.2542792558670044,,,,,,,,,,,,0.0,1.0,,0.0,1.63637113571167,2.500370502471924,2.5090978145599365,,,,,,,
54,,,1.5537718534469604,,,,,,,,,,,,0.0,1.0,,0.0,1.4227548837661743,2.498234510421753,2.5090978145599365,,,,,,,
55,,,1.365466594696045,,,,,,,,,,,,0.0,1.0,,0.0,1.5333139896392822,2.499340057373047,2.5090978145599365,,,,,,,
56,,,1.4350446462631226,,,,,,,,,,,,0.0,1.0,,0.0,1.270039677619934,2.4967072010040283,2.5090978145599365,,,,,,,
57,,,1.2717875242233276,,,,,,,,,,,,0.0,1.0,,0.0,1.4228695631027222,2.4982354640960693,2.5090978145599365,,,,,,,
58,,,1.4280345439910889,,,,,,,,,,,,0.0,1.0,,0.0,1.583525538444519,2.4998421669006348,2.5090978145599365,,,,,,,
59,,,1.3213272094726562,,,,,,,,,,,,0.0,1.0,,0.0,1.4324473142623901,2.498331308364868,2.5090978145599365,,,,,,,
60,,,1.3333699703216553,,,,,,,,,,,,0.0,1.0,,0.0,1.4346035718917847,2.4983530044555664,2.5090978145599365,,,,,,,
61,,,1.4600261449813843,,,,,,,,,,,,0.0,1.0,,0.0,1.4491254091262817,2.4984982013702393,2.5090978145599365,,,,,,,
62,,,1.3198738098144531,,,,,,,,,,,,0.0,1.0,,0.0,1.2777124643325806,2.496783971786499,2.5090978145599365,,,,,,,
63,,,1.4957265853881836,,,,,,,,,,,,0.0,1.0,,0.0,1.3555124998092651,2.4975619316101074,2.5090978145599365,,,,,,,
64,,,1.3978922367095947,,,,,,,,,,,,0.0,1.0,,0.0,1.410862684249878,2.4981155395507812,2.5090978145599365,,,,,,,
65,,,1.4401814937591553,,,,,,,,,,,,0.0,1.0,,0.0,1.3241398334503174,2.4972481727600098,2.5090978145599365,,,,,,,
66,,,1.4529905319213867,,,,,,,,,,,,0.0,1.0,,0.0,1.6074546575546265,2.5000815391540527,2.5090978145599365,,,,,,,
67,,,1.3649126291275024,,,,,,,,,,,,0.0,1.0,,0.0,1.5319689512252808,2.499326467514038,2.5090978145599365,,,,,,,
68,,,1.471826195716858,,,,,,,,,,,,0.0,1.0,,0.0,1.38218092918396,2.497828722000122,2.5090978145599365,,,,,,,
69,,,1.252636432647705,,,,,,,,,,,,0.0,1.0,,0.0,1.2437694072723389,2.4964444637298584,2.5090978145599365,,,,,,,
70,,,1.5502650737762451,,,,,,,,,,,,0.0,1.0,,0.0,1.27031409740448,2.4967100620269775,2.5090978145599365,,,,,,,
71,,,1.3637527227401733,,,,,,,,,,,,0.0,1.0,,0.0,1.4351530075073242,2.4983584880828857,2.5090978145599365,,,,,,,
72,,,1.4330495595932007,,,,,,,,,,,,0.0,1.0,,0.0,1.525124430656433,2.499258041381836,2.5090978145599365,,,,,,,
73,,,1.270566701889038,,,,,,,,,,,,0.0,1.0,,0.0,1.526444911956787,2.4992713928222656,2.5090978145599365,,,,,,,
74,,,1.4244176149368286,,,,,,,,,,,,0.0,1.0,,0.0,1.331195592880249,2.497318744659424,2.5090978145599365,,,,,,,
75,,,1.3181287050247192,,,,,,,,,,,,0.0,1.0,,0.0,1.23490571975708,2.4963560104370117,2.5090978145599365,,,,,,,
76,,,1.3302700519561768,,,,,,,,,,,,0.0,1.0,,0.0,1.3006900548934937,2.497013807296753,2.5090978145599365,,,,,,,
77,,,1.4565646648406982,,,,,,,,,,,,0.0,1.0,,0.0,1.4885095357894897,2.498892068862915,2.5090978145599365,,,,,,,
78,,,1.3175588846206665,,,,,,,,,,,,0.0,1.0,,0.0,1.4074699878692627,2.498081684112549,2.5090978145599365,,,,,,,
79,1.0,1.4056198596954346,1.4937622547149658,1.2872068881988525,1.4056198596954346,0.0,1.4056198596954346,17.222408294677734,1.9493794441223145,30.697813034057617,37.68566131591797,0.012976129539310932,0.054962798953056335,0.9933586120605469,0.0,1.0,,0.0,1.1645536422729492,2.495652437210083,2.5090978145599365,1.4528497457504272,,,,,,
80,,,1.5801557302474976,,,,,,,,,,,,0.0,1.0,,0.0,1.3662467002868652,2.4976694583892822,2.5090978145599365,,,,,,,
81,,,1.6206461191177368,,,,,,,,,,,,0.0,1.0,,0.0,1.4877642393112183,2.498884439468384,2.5090978145599365,,,,,,,
82,,,1.5973834991455078,,,,,,,,,,,,0.0,1.0,,0.0,1.3504602909088135,2.497511386871338,2.5090978145599365,,,,,,,
83,,,1.5433954000473022,,,,,,,,,,,,0.0,1.0,,0.0,1.3386179208755493,2.4973931312561035,2.5090978145599365,,,,,,,
84,,,1.628627896308899,,,,,,,,,,,,0.0,1.0,,0.0,1.36558997631073,2.4976627826690674,2.5090978145599365,,,,,,,
85,,,1.4328887462615967,,,,,,,,,,,,0.0,1.0,,0.0,1.5252374410629272,2.4992592334747314,2.5090978145599365,,,,,,,
