step,epoch,final_spec_losses_weighted/2048_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
38,,,0.05349412187933922,,,,,,,,,,,,0.0,1.0,,0.0,0.16085106134414673,0.25996503233909607,0.2609661817550659,,,,,,,
39,0.0,0.16455620527267456,0.04650910571217537,0.34161177277565,0.16455620527267456,0.0,0.16455620527267456,8.08410930633545,0.7845260500907898,12.993157386779785,23.315866470336914,0.9635749459266663,0.9449396133422852,2.7090868949890137,0.0,1.0,,0.0,0.1364147812128067,0.25972065329551697,0.2609661817550659,0.2345157414674759,,,,,,
40,,,0.04771024361252785,,,,,,,,,,,,0.0,1.0,,0.0,0.13795965909957886,0.2597361207008362,0.2609661817550659,,,,,,,
41,,,0.042820367962121964,,,,,,,,,,,,0.0,1.0,,0.0,0.1572411209344864,0.2599289119243622,0.2609661817550659,,,,,,,
42,,,0.03612877056002617,,,,,,,,,,,,0.0,1.0,,0.0,0.15163369476795197,0.2598728537559509,0.2609661817550659,,,,,,,
43,,,0.051336951553821564,,,,,,,,,,,,0.0,1.0,,0.0,0.15644952654838562,0.25992101430892944,0.2609661817550659,,,,,,,
44,,,0.06057877093553543,,,,,,,,,,,,0.0,1.0,,0.0,0.13573360443115234,0.2597138583660126,0.2609661817550659,,,,,,,
45,,,0.03800952434539795,,,,,,,,,,,,0.0,1.0,,0.0,0.13900652527809143,0.25974658131599426,0.2609661817550659,,,,,,,
46,,,0.05696195363998413,,,,,,,,,,,,0.0,1.0,,0.0,0.144391730427742,0.25980043411254883,0.2609661817550659,,,,,,,
47,,,0.03995313495397568,,,,,,,,,,,,0.0,1.0,,0.0,0.13064883649349213,0.2596629858016968,0.2609661817550659,,,,,,,
