filename,target_npz,runtime,best_loss,n_restarts_run,total_evaluations,cmaes_gen_count,best_popsize,loss_name,gt_loss,terrain_mean,early_threshold,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,123.1008064746857,1.202029579872033e-05,3,9851,207,43,L1_STFT,1.40260717671481e-05,0.8307740092277527,0.007906245911749011,0.0001218768593812423,True,46.12570306061775,13.78047098127876,12.31888723522779,97647392738.59558,11024.95152737087,0.004183755633401626,2.691559081520318,568.2173346493512,0.8264879226857569,0.7244177411955459,131819184298.8524,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193
random_IR_0002.npz,random_IR_0002.npz,89.12754416465759,2.057680103462189e-05,1,7645,139,55,L1_STFT,2.06587774300715e-05,0.9768026471138,0.009300087666625587,0.01564362311202191,True,52.27896460619692,17.89718864611774,4.561565064406466,152834614147.6764,12753.99122974099,0.004099027799571304,3.68614165583456,238.47389855097,0.788341937611615,0.9635423417296897,147920922722.1944,17314.43071595409,0.0048546510420041,3.686141702268032,383.4476844105894,0.7883418349360268,0.9635423527634041
random_IR_0003.npz,random_IR_0003.npz,83.90729975700378,4.070207796758041e-05,1,6336,198,32,L1_STFT,4.550604717223905e-05,1.508827328681946,0.01437893336220259,1.266931064841562e-07,True,24.4760082455574,1.663152998264657,0.8295170634100871,210785717863.2314,18897.85645256396,0.00129517378370374,1.306004633024593,20.30326648385585,0.9363058815018619,0.9895229668337029,186057982895.3271,18083.25309630123,0.0013485171988061,1.306004568773872,20.22819525635132,0.9363059526409414,0.9895229876940544
random_IR_0004.npz,random_IR_0004.npz,99.20872068405151,2.176839734602254e-05,3,10450,228,54,L1_STFT,2.429556116112508e-05,1.070224642753601,0.0101911988594893,0.0002090085558387181,True,16.91663889317471,25.51222015897739,58.93656303298327,132907388319.3859,5098.301345532815,0.003318093173915121,3.417559670250605,997.0085544338075,0.5802430709496406,0.9728876901925154,164907916263.1111,4653.559206335945,0.0028459174490117,3.417559836228498,780.5313709946926,0.5802431108304328,0.972887769354296
random_IR_0005.npz,random_IR_0005.npz,85.11953830718994,8.884120688890107e-06,1,5085,113,45,L1_STFT,8.543735020793974e-06,0.9167076349258423,0.008717185101333598,0.002452781997232355,True,57.74122912940479,5.059946661914867,5.858490526229253,163113737987.8018,21218.82719488354,0.002721226229851564,2.613359870242589,338.2764438274505,0.7885325193856052,0.5192069538982552,136791000829.1319,16985.59336136327,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814
random_IR_0006.npz,random_IR_0006.npz,49.78400611877441,1.05155777418986e-05,1,3848,104,37,L1_STFT,1.207354125654092e-05,0.8701455593109131,0.008278341656068278,0.02897333615511414,True,26.31723148174929,8.976843983009861,8.868848663928508,152315525423.3716,10146.49684657328,0.002593725881917291,2.891142908012125,233.4035432652094,0.6861587404418998,0.7241456233563712,171318505762.8329,20172.46387607493,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774
random_IR_0007.npz,random_IR_0007.npz,231.2946898937225,9.810340998228639e-06,1,5896,134,44,L1_STFT,1.169749702967238e-05,0.8956045508384705,0.008519829603773359,7.108262918519464e-05,True,20.80267459245058,0.9028048581042428,35.73129159358865,205494523472.1756,20610.92096184724,0.001009303496479284,3.123130438014377,743.3064317893898,0.5731738702601138,0.6645598476234492,99188531844.29764,15037.9919488214,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501
random_IR_0008.npz,random_IR_0008.npz,62.16748642921448,6.870529432490002e-06,1,4030,130,31,L1_STFT,6.883208698127419e-06,1.058950304985046,0.01006684571557344,0.003683695478329875,True,53.51417757240495,3.761799122791541,6.362719473618863,101639162264.0604,19017.35972200707,0.002813964627827796,2.154761193865249,340.4956997546388,0.6123496406735073,0.5890416303545321,82612856044.4483,21011.42815551345,0.0032807870816715,2.154761235733606,438.6071274471857,0.612349610486469,0.5890416637636482
random_IR_0009.npz,random_IR_0009.npz,246.4916322231293,9.230130672222003e-06,4,13640,341,35,L1_STFT,1.054739368555602e-05,0.8335312008857727,0.007928993601860383,0.0001091951516875395,True,16.79774785634249,4.683010408153685,32.97171172529789,119306747686.6569,8613.172778108286,0.001950239277567562,2.994014156066709,553.8504999535653,0.5640839030220646,0.8316014689187714,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984
random_IR_0010.npz,random_IR_0010.npz,361.5252313613892,1.29541822389001e-05,6,14460,370,30,L1_STFT,1.330400573351653e-05,0.8491778373718262,0.008080367072711397,0.00241432378219567,True,19.42870462328143,1.29965661955093,11.55450962259332,162699322833.6981,16134.81897042634,0.001204147667159606,1.500730569955155,224.4891545242286,0.9205929834435879,0.5570882193015565,81856495196.33838,17864.67272114118,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419
