file_id,parameter_nmse,spectral_mse
0001,2.6267056879421122e-14,3.3860691051991306e-07
0002,6.003513662173371e-14,1.5684530085726593e-05
0003,1.8149802658552735e-13,0.0005098463672686325
0004,1.0023127234621144e-14,3.7494766136443198e-06
0005,1.9087280714703e-14,2.01639360003365e-07
0006,1.533196735790426e-14,3.2393566265504074e-06
0007,1.1679756300850174e-15,7.888658486924585e-05
0008,2.010290177632243e-14,6.287290597721967e-05
0009,1.0420219575252756e-14,8.307663418227274e-06
0010,3.302723712307954e-15,8.292088345136655e-07
0011,2.3542506469277547e-14,2.089414984281307e-07
0012,9.874076619885429e-15,4.439966499173364e-07
0013,1.7588647916983217e-14,4.7093636578029626e-05
0014,6.026021276243856e-15,1.3762073235285942e-05
0015,1.2447300366327649e-14,2.9967272295459024e-05
0016,4.660533980731923e-13,3.7437883281267464e-05
0017,1.6892438856795679e-15,1.553813347408871e-05
0018,3.5027221867457514e-14,1.455524810492355e-07
0019,3.222967010838933e-14,7.5034988703769175e-06
0020,2.4550878109273567e-15,3.3099934746528167e-06
0021,6.654822387453943e-15,1.2537941335629959e-06
0022,1.2111176628452945e-14,1.9703063193853913e-07
0023,1.56607568273807e-14,2.0388563963853105e-06
0024,6.574464702232191e-14,3.882448407007034e-07
0025,2.119193734987727e-15,1.9725521080191287e-07
0026,2.6143070996802895e-15,1.5719507391435624e-07
0027,3.631224598636236e-15,3.9311469247371405e-06
0028,6.039794314717629e-14,2.5190267989993307e-06
0029,2.3884853638726317e-15,1.3163064816968666e-06
0030,8.976525530374235e-15,7.507198282575632e-06
0031,2.0866665789059643e-14,6.437748859536335e-06
0032,4.660119432514272e-15,1.1352094902876538e-05
0033,1.7856708075480149e-13,6.081365092795027e-06
0034,3.588464611444144e-15,7.705354998331433e-07
0035,4.5844628274323404e-14,6.525366348833958e-06
0036,9.663422084723066e-15,1.8248457458079235e-05
0037,8.674065633058107e-13,1.2657447500162625e-05
0038,4.331025182112914e-14,0.0002784789977406146
0039,7.647286104812776e-14,3.254767928338407e-06
0040,8.541177137438686e-15,1.0733409841573706e-05
0041,2.6599007491249455e-12,5.217863596163653e-06
0042,1.1852004169912048e-14,4.3611496394321425e-06
0043,5.919300105071397e-13,2.378181630739403e-05
0044,4.710248769922101e-15,7.421206850993376e-05
0045,5.049915486871783e-15,0.00021494913575829984
0046,1.0971291689240236e-14,6.178707348493619e-06
0047,1.9681184177137655e-14,2.572272065138015e-06
0048,1.5500579115078016e-14,4.1450152340510694e-06
0049,2.013709765424533e-14,1.2589319162956425e-06
0050,1.6879871109305295e-12,0.0002091630042029816
0051,1.004735824069558e-14,4.144463705569385e-07
0052,2.50311923657106e-14,1.954874827018685e-06
0053,1.6250039572100523e-14,4.277731035102061e-06
0054,1.5584593843436994e-12,3.0625445293213875e-05
0055,2.7352210608786022e-15,9.362595272549756e-05
0056,1.811914206330181e-14,2.852001294956283e-07
0057,4.259130221659493e-14,3.0497681520146605e-06
0058,1.2428560078304926e-13,1.961283726497047e-05
0059,1.9806080800693612e-14,5.076686152542371e-07
0060,9.205685636475325e-15,1.0630973229350132e-05
0061,5.811295501982257e-12,1.962519678461518e-06
0062,9.348100073678573e-15,1.291205820278083e-05
0063,1.3107950825356681e-14,1.1616201430776546e-06
0064,2.4737672811144237e-12,8.597657238313612e-06
0065,5.25803547270787e-13,1.413944689055655e-05
0066,2.573795192661212e-14,2.0664832269825234e-07
0067,2.3662948123259563e-14,2.205907340751996e-06
0068,3.678380127788327e-14,3.934000697274616e-05
0069,2.3544429779576638e-14,1.106679966834867e-06
0070,6.532021200313999e-14,4.837102795245047e-06
0071,4.940581759876923e-15,6.573277596493622e-07
0072,1.9336408571833127e-14,6.039554456952516e-05
0073,4.186168767422261e-13,9.45630617822713e-07
0074,1.824148513602923e-14,2.336863370588661e-07
0075,2.0248733471131e-14,0.0001412439641821216
0076,4.458604207487529e-15,2.397997211290323e-06
0077,3.86529834588734e-15,2.3904582274488885e-06
0078,1.6345792228118724e-14,1.411525025775747e-05
0079,8.789146009648596e-15,1.4819157838017878e-05
0080,1.2609053836522394e-14,4.227733781279439e-06
0081,1.1824007781642077e-14,8.158764250839445e-05
0082,1.4498319143711096e-14,1.8840113504859177e-05
0083,5.8453580206405814e-15,7.570699490215343e-06
0084,1.566760678252849e-14,5.222163094115144e-08
0085,1.744664001971413e-14,3.881304159790014e-05
0086,6.21898261027713e-15,6.585620702472338e-07
0087,3.1276888417514376e-15,1.3624810513902703e-06
0088,7.79984706697517e-15,3.5497141483974434e-07
0089,1.312889990630714e-14,1.4708649339088339e-06
0090,1.4524373009003911e-15,6.285576437999447e-07
0091,3.7446815996512543e-13,2.6036238728357445e-05
0092,1.9523434783320177e-11,8.434345335187832e-06
0093,2.896612052942225e-14,3.45496389108215e-06
0094,6.84229485774534e-15,5.2876013228766834e-08
0095,2.155521091734584e-14,1.9437791785351516e-06
0096,1.6166209025373547e-14,4.861895551363249e-07
0097,3.0874478982239334e-15,3.0467974714145745e-07
0098,2.071188783654496e-14,3.981113946183447e-05
0099,2.2733926746442622e-14,9.431660529315782e-07
0100,2.3387675786384255e-14,3.2058043080213006e-06
