loss,fft_config,reduction,input_len,n_targets,monotonicity,autocorr_length,entropy,metamodel_r2,metamodel_slope,skewness,kurtosis,fdc_7d_global,fdc_6d_global,fdc_7d_q0,fdc_6d_q0,fdc_7d_q1,fdc_6d_q1,fdc_7d_q2,fdc_6d_q2,fdc_7d_q3,fdc_6d_q3,fdc_7d_q4,fdc_6d_q4
multi_resolution_l1_stft,4096,mean,11025,20,0.6641414141414141,29.5,1.1452573600702451,0.10508992546005917,0.3462443159021478,1.3731374144554138,1.5302667617797852,0.09187969924812027,0.15699248120300752,0.17894736842105258,0.08646616541353383,0.060150375939849614,0.10902255639097744,-0.04887218045112782,0.09999999999999999,0.03458646616541353,0.18796992481203006,0.23458646616541348,0.30150375939849616
multi_resolution_l1_stft,"512,1024,2048,4096",mean,11025,20,0.6565656565656566,21.75,1.129833312225129,0.10032276842363594,0.2185630902341802,1.2909279465675354,1.784073829650879,0.078796992481203,0.1795488721804511,0.19248120300751878,0.16842105263157892,0.012030075187969922,0.08571428571428572,-0.014285714285714282,0.10225563909774435,-0.006015037593984962,0.22105263157894733,0.20977443609022556,0.3203007518796992
multi_resolution_l1_stft,"1024,2048,4096",mean,11025,20,0.6565656565656566,23.25,1.1326718510150287,0.09779316210757052,0.2500927164739527,1.3125219345092773,1.7572176456451416,0.07924812030075187,0.1726315789473684,0.1669172932330827,0.15187969924812028,0.05263157894736842,0.08796992481203007,-0.03308270676691729,0.09548872180451126,-0.015789473684210527,0.21503759398496242,0.22556390977443608,0.31278195488721805
multi_resolution_l1_stft,"2048,4096",mean,11025,20,0.6590909090909091,26.75,1.147729744936623,0.09860130570280029,0.2883910834244705,1.3585960268974304,1.6414437294006348,0.08541353383458646,0.16240601503759397,0.18120300751879698,0.1481203007518797,0.05037593984962406,0.04511278195488721,-0.051879699248120296,0.08796992481203007,0.010526315789473682,0.22180451127819548,0.23684210526315785,0.3090225563909774
multi_resolution_l1_stft,"500,1372,2916,4096",mean,11025,20,0.6565656565656566,22.25,1.136865065053028,0.09963864156770585,0.23478687792639139,1.3003031015396118,1.7456965446472168,0.08451127819548872,0.17142857142857143,0.19999999999999996,0.17218045112781954,0.022556390977443608,0.08646616541353383,-0.03834586466165413,0.08571428571428572,0.006766917293233082,0.21052631578947367,0.23157894736842105,0.30225563909774433
