testId,uuid,trial_id,trial_type,stimulus,score,comment,time
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_bright_3,mushra,L1_STFT_hyb1e2,60,,95722
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_bright_3,mushra,L1_STFT_eps1e2,35,,95722
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_bright_3,mushra,reference,100,,95722
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_bright_3,mushra,L1_STFT,77,,95722
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_bright_3,mushra,anchor35,0,,95722
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_bright_4,mushra,L1_STFT_eps1e2,24,,53858
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_bright_4,mushra,anchor35,0,,53858
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_bright_4,mushra,L1_STFT_hyb1e2,50,,53858
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_bright_4,mushra,L1_STFT,79,,53858
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_bright_4,mushra,reference,100,,53858
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_dark_2,mushra,L1_STFT_eps1e2,19,,109530
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_dark_2,mushra,anchor35,62,,109530
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_dark_2,mushra,reference,100,,109530
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_dark_2,mushra,L1_STFT_hyb1e2,55,,109530
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_dark_2,mushra,L1_STFT,71,,109530
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_dark_3,mushra,anchor35,50,,72875
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_dark_3,mushra,L1_STFT,68,,72875
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_dark_3,mushra,L1_STFT_eps1e2,33,,72875
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_dark_3,mushra,reference,100,,72875
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_dark_3,mushra,L1_STFT_hyb1e2,49,,72875
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_dark_4,mushra,L1_STFT_eps1e2,33,,56512
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_dark_4,mushra,L1_STFT,64,,56512
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_dark_4,mushra,anchor35,52,,56512
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_dark_4,mushra,reference,100,,56512
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_dark_4,mushra,L1_STFT_hyb1e2,49,,56512
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_medium_2,mushra,L1_STFT_hyb1e2,74,,55586
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_medium_2,mushra,reference,100,,55586
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_medium_2,mushra,L1_STFT,74,,55586
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_medium_2,mushra,anchor35,36,,55586
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_medium_2,mushra,L1_STFT_eps1e2,35,,55586
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_medium_3,mushra,reference,100,,34905
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_medium_3,mushra,L1_STFT,70,,34905
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_medium_3,mushra,L1_STFT_eps1e2,34,,34905
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_medium_3,mushra,L1_STFT_hyb1e2,46,,34905
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_medium_3,mushra,anchor35,49,,34905
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_medium_4,mushra,L1_STFT,73,,50880
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_medium_4,mushra,anchor35,50,,50880
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_medium_4,mushra,L1_STFT_hyb1e2,43,,50880
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_medium_4,mushra,reference,100,,50880
snare14,bcafca9d-e1f2-4962-9f19-f9c42c4906ff,emt_140_medium_4,mushra,L1_STFT_eps1e2,34,,50880
