step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
2499,9,9,0.000913517,10,0,0,4.92436e-05,4.95921e-05,9.48278e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.549258,4.60629,11.5916,1.03802,0.140591,5.14276,0.0582062,0.0581454,0.0370892,0.0197392,0.141668,0.0925948,0,4.80219,0,
2549,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,10,10,0.000904382,10,0,0,4.92553e-05,4.94991e-05,9.47096e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.52689,4.69524,11.4571,1.02461,0.135253,4.99584,0.0553385,0.0588962,0.0369892,0.0174606,0.135274,0.0834108,0,4.94121,0,
2799,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2849,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2949,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2999,11,11,0.000895338,10,0,0,4.92094e-05,4.94483e-05,9.43614e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.507726,4.55393,11.0859,0.986884,0.132783,4.7847,0.0567007,0.0552753,0.03531,0.0166966,0.146958,0.0859647,0,4.46226,0,
3049,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,
3099,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,
3199,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,
3249,12,12,0.000886385,10,0,0,4.90423e-05,4.94673e-05,9.4598e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.494954,4.54295,10.9421,0.974788,0.122609,4.58003,0.0538553,0.0552179,0.0346234,0.0155056,0.131535,0.08625,0,4.32991,0,
3299,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,
3449,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,
3499,13,13,0.000877521,10,0,0,4.8925e-05,4.93696e-05,9.42438e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.484404,4.51271,10.785,0.966915,0.132437,4.57627,0.053105,0.0542218,0.0352272,0.0154694,0.130354,0.0833577,0,4.25564,0,
3549,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,
3599,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,
3649,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,
3699,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,
3749,14,14,0.000868746,10,0,0,4.90754e-05,4.93054e-05,9.41714e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.469264,4.95111,10.8695,1.03331,0.158551,5.07241,0.0568097,0.0589303,0.0365743,0.0148778,0.138432,0.0920441,0,4.33798,0,
3799,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,
3899,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,
3949,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,
3999,15,15,0.000860058,10,0,0,4.88948e-05,4.91593e-05,9.3942e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.460611,4.5753,10.7118,0.947263,0.133431,4.27867,0.0517007,0.0577186,0.0336882,0.0140138,0.123014,0.0817702,0,5.01996,0,
4049,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,
4099,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,
4149,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,
4199,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,
4249,16,16,0.000851458,10,0,0,4.87942e-05,4.91363e-05,9.37657e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.447681,4.39712,10.3122,0.940798,0.133213,4.32859,0.0530509,0.0565609,0.0357803,0.013242,0.13041,0.0823125,0,4.71298,0,
4299,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,
4349,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,
4399,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,
4449,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,
4499,17,17,0.000842943,10,0,0,4.86917e-05,4.9081e-05,9.36193e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.435983,4.53098,10.2061,0.944091,0.124403,4.2212,0.0497864,0.0527535,0.0337099,0.012138,0.123672,0.0764454,0,3.89582,0,
4549,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,
4599,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,
4649,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,
4749,18,18,0.000834514,10,0,0,4.88173e-05,4.90441e-05,9.38113e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.423196,4.51493,10.251,0.939792,0.116825,4.19265,0.0510679,0.053437,0.0356246,0.0119338,0.125875,0.0795377,0,3.88929,0,
4799,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,
4849,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,
4899,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,
4949,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,
4999,19,19,0.000826169,10,0,0,4.86658e-05,4.90166e-05,9.33704e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.413529,4.3283,10.0599,0.920493,0.120837,4.1848,0.051543,0.0511156,0.0362348,0.0117374,0.133593,0.0765769,0,3.923,0,
5049,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,
5099,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,
5149,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,
5199,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,
5249,20,20,0.000817907,10,0,0,4.85898e-05,4.89658e-05,9.31797e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.402973,4.464,10.6918,0.935098,0.114365,4.10673,0.0484241,0.0495764,0.0330472,0.012047,0.121275,0.0745991,0,4.04481,0,
5299,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,
5349,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,
5399,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,
5449,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,
5499,21,21,0.000809728,10,0,0,4.86038e-05,4.88703e-05,9.31667e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.395613,4.49804,10.5688,0.93535,0.112214,4.12392,0.0482829,0.0513522,0.0321899,0.0123598,0.119169,0.0746261,0,4.01878,0,
5549,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,
5599,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,
5649,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,
5699,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,
5749,22,22,0.000801631,10,0,0,4.85037e-05,4.8844e-05,9.28655e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.384027,4.31444,9.95977,0.918921,0.116089,3.96495,0.0495104,0.0523115,0.0346546,0.011284,0.122873,0.0759393,0,4.17868,0,
5799,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,
5849,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,
5899,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,
5949,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,
5999,23,23,0.000793614,10,0,0,4.86313e-05,4.87546e-05,9.3046e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.377954,4.58601,9.64003,0.930708,0.121781,4.17519,0.0481367,0.0520813,0.0331641,0.0101697,0.11613,0.077275,0,3.63728,0,
6049,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,
6099,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,
6149,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,
6199,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,
6249,24,24,0.000785678,10,0,0,4.83994e-05,4.88468e-05,9.26207e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.367547,4.59715,9.32058,0.927009,0.131971,4.15916,0.0483367,0.0547226,0.0331329,0.00994881,0.117673,0.0745422,0,3.55198,0,
6299,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,
6349,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,
6399,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,
