step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
2499,9,9,0.000913517,10,0,0,4.92267e-05,4.9727e-05,9.44741e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.575443,4.88807,13.2476,1.20988,0.18699,7.3876,0.0636101,0.064095,0.0367661,0.0316129,0.147134,0.102053,0,4.57027,0,
2549,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,10,10,0.000904382,10,0,0,4.91031e-05,4.95511e-05,9.45294e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.552727,4.61131,12.7094,1.10049,0.155544,6.21418,0.0582524,0.0616285,0.0366469,0.026581,0.139214,0.0854435,0,4.42935,0,
2799,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2849,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2949,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,
2999,11,11,0.000895338,10,0,0,4.90573e-05,4.94934e-05,9.43268e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.538334,4.61465,12.4051,1.08148,0.144287,5.86986,0.0573104,0.0613598,0.0350512,0.0249238,0.139066,0.0834615,0,4.45118,0,
3049,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,
3099,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,
3199,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,
3249,12,12,0.000886385,10,0,0,4.9085e-05,4.94942e-05,9.43534e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.522639,4.82541,12.613,1.11749,0.150575,5.89348,0.0566239,0.0597301,0.0359909,0.0227459,0.133856,0.08742,0,4.57766,0,
3299,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,
3449,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,
3499,13,13,0.000877521,10,0,0,4.90499e-05,4.93955e-05,9.40636e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.507819,4.78994,12.4836,1.0865,0.146457,5.82026,0.0567692,0.0601435,0.0354817,0.0225399,0.134499,0.0879508,0,4.70525,0,
3549,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,
3599,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,
3649,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,
3699,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,
3749,14,14,0.000868746,10,0,0,4.88923e-05,4.93243e-05,9.39216e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.494097,4.69934,12.4146,1.06802,0.143034,5.7149,0.0557089,0.0590202,0.0354277,0.0223304,0.134795,0.0826804,0,4.37393,0,
3799,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,
3899,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,
3949,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,
3999,15,15,0.000860058,10,0,0,4.89162e-05,4.93025e-05,9.36585e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.479338,4.64187,12.3374,1.04794,0.145017,5.66139,0.0566504,0.0609875,0.0356155,0.022402,0.13321,0.0876872,0,4.14505,0,
4049,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,
4099,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,
4149,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,
4199,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,
4249,16,16,0.000851458,10,0,0,4.87458e-05,4.91623e-05,9.37185e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.464593,4.65629,12.4745,1.06955,0.145728,5.70484,0.0539735,0.059845,0.0348429,0.022312,0.125582,0.081259,0,4.49736,0,
4299,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,
4349,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,
4399,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,
4449,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,
4499,17,17,0.000842943,10,0,0,4.87491e-05,4.90595e-05,9.3658e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.451591,4.67053,12.2357,1.04088,0.141738,5.40804,0.0542791,0.0567447,0.0347131,0.0197268,0.134947,0.0795428,0,4.67023,0,
4549,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,
4599,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,
4649,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,
4749,18,18,0.000834514,10,0,0,4.8795e-05,4.90371e-05,9.32987e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.44396,4.88362,12.372,1.07566,0.155709,5.82529,0.0560289,0.0638452,0.0362015,0.0209309,0.127153,0.0880427,0,4.15657,0,
4799,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,
4849,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,
4899,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,
4949,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,
4999,19,19,0.000826169,10,0,0,4.87335e-05,4.90858e-05,9.33969e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.433743,4.58365,12.2904,1.04798,0.133587,5.40295,0.0536305,0.0571998,0.0340762,0.0213409,0.126039,0.083127,0,4.45758,0,
5049,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,
5099,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,
5149,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,
5199,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,
5249,20,20,0.000817907,10,0,0,4.86441e-05,4.89876e-05,9.32709e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.424031,4.63935,12.1746,1.04732,0.136399,5.56974,0.0526913,0.0551062,0.0385253,0.0204193,0.121791,0.0803055,0,4.33372,0,
