step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
2099,8,,0.000947809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2149,8,,0.000947809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2199,8,,0.000947809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2249,8,8,0.000947809,10,0,0,4.92074e-05,4.965e-05,0.0260416,9.51813e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.641124,6.39559,17.1505,1.51978,0.0676575,0.0594766,0.0359777,0.0113079,0.0630032,0.124072,0.112108,0,7.09853,0,6.19992,17.9231,2.68661,0,0,10.655,0
2299,9,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,9,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,9,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,9,,0.00094148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499,9,9,0.00094148,10,0,0,4.93017e-05,4.96396e-05,0.0260416,9.51095e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.613674,6.08938,15.9861,1.41458,0.0622891,0.0585599,0.0352627,0.0087533,0.0575558,0.119429,0.0941735,0,5.41678,0,6.22831,17.8293,2.69024,0,0,9.60959,0
2549,10,,0.000935193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,10,,0.000935193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,10,,0.000935193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,10,,0.000935193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,10,10,0.000935193,10,0,0,4.90672e-05,4.95341e-05,0.0260416,9.47325e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.592535,6.27075,16.1397,1.46081,0.0659932,0.0658547,0.0360832,0.00989127,0.0547551,0.123919,0.105455,0,5.46896,0,6.10853,17.6288,2.64085,0,0,8.82173,0
2799,11,,0.000928948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2849,11,,0.000928948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,11,,0.000928948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2949,11,,0.000928948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2999,11,11,0.000928948,10,0,0,4.90113e-05,4.94448e-05,0.0260416,9.43831e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.572419,6.41299,17.038,1.48264,0.0617366,0.0562952,0.0382116,0.0108174,0.0553643,0.118256,0.0914753,0,6.92656,0,6.37633,18.1511,2.74026,0,0,11.3489,0
3049,12,,0.000922745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3099,12,,0.000922745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,12,,0.000922745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3199,12,,0.000922745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3249,12,12,0.000922745,10,0,0,4.88585e-05,4.93323e-05,0.0260416,9.42998e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.54991,6.26695,16.803,1.45685,0.061781,0.0538935,0.0369996,0.0113636,0.056605,0.115516,0.0963083,0,6.43219,0,6.25107,18.0317,2.71521,0,0,10.8438,0
3299,13,,0.000916583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,13,,0.000916583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,13,,0.000916583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3449,13,,0.000916583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3499,13,13,0.000916583,10,0,0,4.89566e-05,4.93567e-05,0.0260416,9.43986e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.539149,6.12235,15.5516,1.35457,0.0610391,0.0540377,0.0340322,0.007682,0.0509847,0.120408,0.0990902,0,5.3501,0,6.0566,17.805,2.6576,0,0,10.1846,0
3549,14,,0.000910462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3599,14,,0.000910462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3649,14,,0.000910462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3699,14,,0.000910462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3749,14,14,0.000910462,10,0,0,4.86898e-05,4.92443e-05,0.0260416,9.38885e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.519868,6.2468,15.9517,1.37021,0.0582746,0.053481,0.0346989,0.00872444,0.048255,0.111578,0.0929101,0,5.82423,0,6.00421,17.6718,2.6043,0,0,10.0264,0
3799,15,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,15,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3899,15,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3949,15,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3999,15,15,0.000904382,10,0,0,4.87552e-05,4.92077e-05,0.0260416,9.41236e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.503488,6.10585,15.9917,1.35883,0.0581369,0.0522114,0.0365109,0.00837639,0.0511665,0.112287,0.0882691,0,5.5768,0,6.0919,17.7152,2.61665,0,0,10.3641,0
4049,16,,0.000898343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4099,16,,0.000898343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4149,16,,0.000898343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4199,16,,0.000898343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4249,16,16,0.000898343,10,0,0,4.8638e-05,4.91275e-05,0.0260416,9.37192e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.493053,6.17196,16.1125,1.37018,0.057975,0.0532198,0.03474,0.00917895,0.0486116,0.110879,0.0912207,0,5.67928,0,6.11025,17.6632,2.60529,0,0,10.1408,0
4299,17,,0.000892344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4349,17,,0.000892344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4399,17,,0.000892344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4449,17,,0.000892344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4499,17,17,0.000892344,10,0,0,4.86132e-05,4.91135e-05,0.0260416,9.35613e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.486343,6.19088,16.0528,1.38013,0.0593162,0.0535746,0.0337155,0.00837923,0.0499067,0.112061,0.0982604,0,5.53542,0,6.36488,17.8933,2.72471,0,0,9.80622,0
4549,18,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4599,18,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4649,18,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,18,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749,18,18,0.000886385,10,0,0,4.85143e-05,4.90312e-05,0.0260416,9.39576e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.471456,6.14561,15.586,1.333,0.0557311,0.053654,0.0332205,0.00733331,0.0452343,0.106081,0.0888635,0,5.85545,0,6.11616,17.7216,2.62279,0,0,10.5735,0
4799,19,,0.000880466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4849,19,,0.000880466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899,19,,0.000880466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4949,19,,0.000880466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4999,19,19,0.000880466,10,0,0,4.84261e-05,4.89437e-05,0.0260416,9.36596e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.460692,6.32751,16.2212,1.40108,0.057754,0.0512204,0.0334408,0.00870322,0.0507606,0.109949,0.0924494,0,5.97234,0,6.29842,17.8441,2.64438,0,0,10.6195,0
5049,20,,0.000874586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5099,20,,0.000874586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5149,20,,0.000874586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5199,20,,0.000874586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5249,20,20,0.000874586,10,0,0,4.84332e-05,4.90256e-05,0.0260416,9.37067e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.45226,6.28543,15.6759,1.34509,0.0575507,0.0543705,0.0363202,0.0080942,0.0427826,0.11017,0.0935664,0,6.09362,0,6.18137,17.7071,2.64457,0,0,10.9111,0
5299,21,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5349,21,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5399,21,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5449,21,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5499,21,21,0.000868746,10,0,0,4.85806e-05,4.89598e-05,0.0260416,9.34742e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.448039,6.18211,15.5485,1.33684,0.055028,0.0504267,0.0322455,0.00788485,0.044419,0.1063,0.0888915,0,5.67774,0,6.10124,17.7315,2.64995,0,0,10.4838,0
5549,22,,0.000862944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5599,22,,0.000862944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5649,22,,0.000862944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5699,22,,0.000862944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5749,22,22,0.000862944,10,0,0,4.83376e-05,4.88468e-05,0.0260416,9.31387e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.434237,6.11296,15.6438,1.36834,0.0569932,0.0514538,0.0334454,0.00752062,0.0491616,0.109587,0.0907902,0,5.38548,0,6.1306,17.6317,2.58953,0,0,10.0967,0
5799,23,,0.000857182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5849,23,,0.000857182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5899,23,,0.000857182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5949,23,,0.000857182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
