ir_name,popsize,n_runs,n_success,success_rate,successful_run_indices,success_threshold,mean_best_loss,std_best_loss,min_best_loss,max_best_loss,total_runtime_s,avg_runtime_s
random_IR_0012,10,20,0,0.0,,0.01,0.3759300038218498,0.016385852360815644,0.35120776295661926,0.41112416982650757,343.18643593788147,17.159321796894073
random_IR_0012,30,20,0,0.0,,0.01,0.35063194781541823,0.025852151556015213,0.27852076292037964,0.39661905169487,299.52587604522705,14.976293802261353
random_IR_0012,50,20,0,0.0,,0.01,0.322366495244205,0.08898225002574908,0.042872656136751175,0.3835037052631378,308.87077593803406,15.443538796901702
random_IR_0012,100,20,0,0.0,,0.01,0.29369584447704256,0.11040568830561198,0.010763230733573437,0.37155112624168396,305.0388596057892,15.25194298028946
