ir_name,popsize,n_runs,n_success,success_rate,successful_run_indices,success_threshold,mean_best_loss,std_best_loss,min_best_loss,max_best_loss,total_runtime_s,avg_runtime_s
random_IR_0020,10,20,0,0.0,,0.01,0.3396870166063309,0.09884581605986427,0.08157946169376373,0.46739402413368225,266.0095319747925,13.300476598739625
random_IR_0020,30,20,1,0.05,5,0.01,0.18649330330081285,0.14197942397709074,0.004535220563411713,0.4499714970588684,255.0505781173706,12.75252890586853
random_IR_0020,50,20,2,0.1,0;2,0.01,0.21620075348764659,0.17212858900950864,0.008796043694019318,0.4368111789226532,273.77143836021423,13.688571918010712
random_IR_0020,100,20,2,0.1,3;13,0.01,0.11815917629282921,0.13404394962300692,0.0037926905788481236,0.3846559226512909,266.63063311576843,13.331531655788421
