step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/mfccdb,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
1899,7,,0.000932065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,7,,0.000932065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,7,7,0.000932065,10,0,0,4.93794e-05,4.97312e-05,0.0260416,9.52724e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.606121,6.31536,16.3649,1.45294,0.201852,7.56579,0.0641056,0.060797,0.0377832,0.0119219,0.0217346,0.145668,0.106729,0,6.74295,0,5.7995,17.6947,2.54883,0.35357,12.2874,0,0,8.95929,0
2049,8,,0.000922745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2099,8,,0.000922745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2149,8,,0.000922745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2199,8,,0.000922745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2249,8,8,0.000922745,10,0,0,4.93123e-05,4.95921e-05,0.0260416,9.50273e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.578042,6.27855,16.1788,1.41429,0.180251,7.05461,0.0611443,0.0555176,0.0383588,0.0115688,0.0187754,0.144281,0.0983643,0,6.89679,0,5.75148,17.7603,2.55801,0.357509,12.3818,0,0,9.06611,0
2299,9,,0.000913517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,9,,0.000913517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,9,,0.000913517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,9,,0.000913517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499,9,9,0.000913517,10,0,0,4.91916e-05,4.95335e-05,0.0260416,9.46807e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.556,6.27248,16.2692,1.36657,0.175323,6.72906,0.0590022,0.0553472,0.0403069,0.0106638,0.0170676,0.135837,0.0947902,0,7.0225,0,5.57718,17.8692,2.5109,0.354762,12.2848,0,0,9.60132,0
2549,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,10,,0.000904382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,10,10,0.000904382,10,0,0,4.91264e-05,4.9452e-05,0.0260416,9.47788e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.537845,6.23935,15.7995,1.35288,0.171993,6.45316,0.0563234,0.0555007,0.0361376,0.00945844,0.0178715,0.129138,0.0898347,0,6.71107,0,5.80149,17.9423,2.5446,0.366915,12.4264,0,0,9.74185,0
2799,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2849,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2949,11,,0.000895338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2999,11,11,0.000895338,10,0,0,4.89396e-05,4.93358e-05,0.0260416,9.40963e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.515606,6.21161,15.6294,1.34108,0.159278,6.26658,0.0550306,0.0551517,0.0368239,0.00905838,0.0160471,0.125418,0.0876841,0,6.58685,0,5.79296,17.8316,2.5615,0.36832,12.4974,0,0,9.98463,0
3049,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3099,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
